date,base_regime_mix,remove_159949,remove_159954,remove_159941,remove_513650,remove_513880,remove_511580,remove_518880,remove_512890,remove_511580_cap28_hi18_hm30,remove_511580_cap28_hi20_hm30,remove_511580_cap29_hi18_hm30,remove_511580_cap29_hi20_hm30,remove_511580_cap30_hi18_hm30
2014-11-07,1.0028777291183764,1.0028777291183764,1.0028777291183764,1.0028777291183764,1.0028777291183764,1.0028777291183764,1.0028777291183764,1.0313648838993443,1.0028777291183764,1.0028777291183764,1.0028777291183764,1.0028777291183764,1.0028777291183764,1.0028777291183764
2014-11-10,1.0263531872734821,1.0263531872734821,1.0263531872734821,1.0263531872734821,1.0263531872734821,1.0263531872734821,1.0263531872734821,1.0431417557499585,1.0263531872734821,1.0263531872734821,1.0263531872734821,1.0263531872734821,1.0263531872734821,1.0263531872734821
2014-11-11,1.016065208710039,1.016065208710039,1.016065208710039,1.016065208710039,1.016065208710039,1.016065208710039,1.016065208710039,1.0329830978855459,1.016065208710039,1.016065208710039,1.016065208710039,1.016065208710039,1.016065208710039,1.016065208710039
2014-11-12,1.0375752242704745,1.0375752242704745,1.0375752242704745,1.0375752242704745,1.0375752242704745,1.0375752242704745,1.0375752242704745,1.0548512637460756,1.0375752242704745,1.0375752242704745,1.0375752242704745,1.0375752242704745,1.0375752242704745,1.0375752242704745
2014-11-13,1.0290844286545133,1.0290844286545133,1.0290844286545133,1.0290844286545133,1.0290844286545133,1.0290844286545133,1.0290844286545133,1.0462190930116562,1.0290844286545133,1.0290844286545133,1.0290844286545133,1.0290844286545133,1.0290844286545133,1.0290844286545133
2014-11-14,1.0307825877777055,1.0307825877777055,1.0307825877777055,1.0307825877777055,1.0307825877777055,1.0307825877777055,1.0307825877777055,1.0479455271585398,1.0307825877777055,1.0307825877777055,1.0307825877777055,1.0307825877777055,1.0307825877777055,1.0307825877777055
2014-11-17,1.0245560043260005,1.0245560043260005,1.0245560043260005,1.0245560043260005,1.0245560043260005,1.0245560043260005,1.0245560043260005,1.0416152686199656,1.0245560043260005,1.0245560043260005,1.0245560043260005,1.0245560043260005,1.0245560043260005,1.0245560043260005
2014-11-18,1.008706519176206,1.008706519176206,1.008706519176206,1.008706519176206,1.008706519176206,1.008706519176206,1.008706519176206,1.025501883249049,1.008706519176206,1.008706519176206,1.008706519176206,1.008706519176206,1.008706519176206,1.008706519176206
2014-11-19,1.0041780948476933,1.0041780948476933,1.0041780948476933,1.0041780948476933,1.0041780948476933,1.0041780948476933,1.0041780948476933,1.0208980588573586,1.0041780948476933,1.0041780948476933,1.0041780948476933,1.0041780948476933,1.0041780948476933,1.0041780948476933
2014-11-20,0.9992415366664475,0.9992415366664475,0.9992415366664475,0.9992415366664475,0.9992415366664475,0.9992415366664475,0.9992415366664475,1.0211748389382571,0.9992415366664475,0.9992415366664475,0.9992415366664475,0.9992415366664475,0.9992415366664475,0.9992415366664475
2014-11-21,1.0261143360131082,1.0261143360131082,1.0261143360131082,1.0261143360131082,1.0261143360131082,1.0261143360131082,1.0261143360131082,1.0489396983268444,1.0261143360131082,1.0261143360131082,1.0261143360131082,1.0261143360131082,1.0261143360131082,1.0261143360131082
2014-11-24,1.0682372562106908,1.0682372562106908,1.0682372562106908,1.0682372562106908,1.0682372562106908,1.0682372562106908,1.0682372562106908,1.091999620261444,1.0682372562106908,1.0682372562106908,1.0682372562106908,1.0682372562106908,1.0682372562106908,1.0682372562106908
2014-11-25,1.0839631464177881,1.0839631464177881,1.0839631464177881,1.0839631464177881,1.0839631464177881,1.0839631464177881,1.0839631464177881,1.108075324450361,1.0839631464177881,1.0839631464177881,1.0839631464177881,1.0839631464177881,1.0839631464177881,1.0839631464177881
2014-11-26,1.1008123144968212,1.1008123144968212,1.1008123144968212,1.1008123144968212,1.1008123144968212,1.1008123144968212,1.1008123144968212,1.1252992932242007,1.1008123144968212,1.1008123144968212,1.1008123144968212,1.1008123144968212,1.1008123144968212,1.1008123144968212
2014-11-27,1.1148532878960153,1.1148532878960153,1.1148532878960153,1.1148532878960153,1.1148532878960153,1.1148532878960153,1.1148532878960153,1.139652600535734,1.1148532878960153,1.1148532878960153,1.1148532878960153,1.1148532878960153,1.1148532878960153,1.1148532878960153
2014-11-28,1.151921457669888,1.151921457669888,1.151921457669888,1.151921457669888,1.151921457669888,1.151921457669888,1.151921457669888,1.1775453318381817,1.151921457669888,1.151921457669888,1.151921457669888,1.151921457669888,1.151921457669888,1.151921457669888
2014-12-01,1.1536063744777914,1.1536063744777914,1.1536063744777914,1.1536063744777914,1.1536063744777914,1.1536063744777914,1.1536063744777914,1.1792677287155657,1.1536063744777914,1.1536063744777914,1.1536063744777914,1.1536063744777914,1.1536063744777914,1.1536063744777914
2014-12-02,1.2170715742421487,1.2170715742421487,1.2170715742421487,1.2170715742421487,1.2170715742421487,1.2170715742421487,1.2170715742421487,1.2441446777636955,1.2170715742421487,1.2170715742421487,1.2170715742421487,1.2170715742421487,1.2170715742421487,1.2170715742421487
2014-12-03,1.2201777970069694,1.2201777970069694,1.2201777970069694,1.2201777970069694,1.2201777970069694,1.2201777970069694,1.2201777970069694,1.2473199967856736,1.2201777970069694,1.2201777970069694,1.2201777970069694,1.2201777970069694,1.2201777970069694,1.2201777970069694
2014-12-04,1.2504116387906952,1.2504116387906952,1.2504116387906952,1.2504116387906952,1.2504116387906952,1.2504116387906952,1.2504116387906952,1.2782263741423172,1.2504116387906952,1.2504116387906952,1.2504116387906952,1.2504116387906952,1.2504116387906952,1.2504116387906952
2014-12-05,1.2483536009264402,1.2483536009264402,1.2483536009264402,1.2483536009264402,1.2483536009264402,1.2483536009264402,1.2483536009264402,1.2761225563310734,1.2483536009264402,1.2483536009264402,1.2483536009264402,1.2483536009264402,1.2483536009264402,1.2483536009264402
2014-12-08,1.2644204719967889,1.2644204719967889,1.2644204719967889,1.2644204719967889,1.2644204719967889,1.2644204719967889,1.2644204719967889,1.2925468263194158,1.2644204719967889,1.2644204719967889,1.2644204719967889,1.2644204719967889,1.2644204719967889,1.2644204719967889
2014-12-09,1.2460124412588882,1.2460124412588882,1.2460124412588882,1.2460124412588882,1.2460124412588882,1.2460124412588882,1.2460124412588882,1.2737293188240735,1.2460124412588882,1.2460124412588882,1.2460124412588882,1.2460124412588882,1.2460124412588882,1.2460124412588882
2014-12-10,1.30589288059809,1.30589288059809,1.30589288059809,1.30589288059809,1.30589288059809,1.30589288059809,1.30589288059809,1.3349417663766423,1.30589288059809,1.30589288059809,1.30589288059809,1.30589288059809,1.30589288059809,1.30589288059809
2014-12-11,1.301631737167569,1.301631737167569,1.301631737167569,1.301631737167569,1.301631737167569,1.301631737167569,1.301631737167569,1.3305858360990235,1.301631737167569,1.301631737167569,1.301631737167569,1.301631737167569,1.301631737167569,1.301631737167569
2014-12-12,1.3065121267494668,1.3065121267494668,1.3065121267494668,1.3065121267494668,1.3065121267494668,1.3065121267494668,1.3065121267494668,1.3355747873260806,1.3065121267494668,1.3065121267494668,1.3065121267494668,1.3065121267494668,1.3065121267494668,1.3065121267494668
2014-12-15,1.3264959831734975,1.3264959831734975,1.3264959831734975,1.3264959831734975,1.3264959831734975,1.3264959831734975,1.3264959831734975,1.3560031739036187,1.3264959831734975,1.3264959831734975,1.3264959831734975,1.3264959831734975,1.3264959831734975,1.3264959831734975
2014-12-16,1.334171685207207,1.334171685207207,1.334171685207207,1.334171685207207,1.334171685207207,1.334171685207207,1.334171685207207,1.3638496178067112,1.334171685207207,1.334171685207207,1.334171685207207,1.334171685207207,1.334171685207207,1.334171685207207
2014-12-17,1.3401786193349172,1.3401786193349172,1.3401786193349172,1.3401786193349172,1.3401786193349172,1.3401786193349172,1.3401786193349172,1.3699901729579738,1.3401786193349172,1.3401786193349172,1.3401786193349172,1.3401786193349172,1.3401786193349172,1.3401786193349172
2014-12-18,1.339764504659186,1.339764504659186,1.339764504659186,1.339764504659186,1.339764504659186,1.339764504659186,1.339764504659186,1.3695668465236877,1.339764504659186,1.339764504659186,1.339764504659186,1.339764504659186,1.339764504659186,1.339764504659186
2014-12-19,1.34494734606986,1.34494734606986,1.34494734606986,1.34494734606986,1.34494734606986,1.34494734606986,1.34494734606986,1.3748649774580153,1.34494734606986,1.34494734606986,1.34494734606986,1.34494734606986,1.34494734606986,1.34494734606986
2014-12-22,1.3424973471092774,1.3424973471092774,1.3424973471092774,1.3424973471092774,1.3424973471092774,1.3424973471092774,1.3424973471092774,1.372360479586365,1.3424973471092774,1.3424973471092774,1.3424973471092774,1.3424973471092774,1.3424973471092774,1.3424973471092774
2014-12-23,1.335401803872928,1.335401803872928,1.335401803872928,1.335401803872928,1.335401803872928,1.335401803872928,1.335401803872928,1.3651070998014965,1.335401803872928,1.335401803872928,1.335401803872928,1.335401803872928,1.335401803872928,1.335401803872928
2014-12-24,1.286031022060475,1.286031022060475,1.286031022060475,1.286031022060475,1.286031022060475,1.286031022060475,1.286031022060475,1.3146380914629816,1.286031022060475,1.286031022060475,1.286031022060475,1.286031022060475,1.286031022060475,1.286031022060475
2014-12-25,1.3479957671005467,1.3479957671005467,1.3479957671005467,1.3479957671005467,1.3479957671005467,1.3479957671005467,1.3479957671005467,1.377981208977327,1.3479957671005467,1.3479957671005467,1.3479957671005467,1.3479957671005467,1.3479957671005467,1.3479957671005467
2014-12-26,1.361209339382875,1.361209339382875,1.361209339382875,1.361209339382875,1.361209339382875,1.361209339382875,1.361209339382875,1.3914887100785185,1.361209339382875,1.361209339382875,1.361209339382875,1.361209339382875,1.361209339382875,1.361209339382875
2014-12-29,1.3594939532620813,1.3594939532620813,1.3594939532620813,1.3594939532620813,1.3594939532620813,1.3594939532620813,1.3594939532620813,1.3897351661147428,1.3594939532620813,1.3594939532620813,1.3594939532620813,1.3594939532620813,1.3594939532620813,1.3594939532620813
2014-12-30,1.3594939532620813,1.3594939532620813,1.3594939532620813,1.3594939532620813,1.3594939532620813,1.3594939532620813,1.3594939532620813,1.3897351661147428,1.3594939532620813,1.3594939532620813,1.3594939532620813,1.3594939532620813,1.3594939532620813,1.3594939532620813
2014-12-31,1.3690271447284474,1.3690271447284474,1.3690271447284474,1.3690271447284474,1.3690271447284474,1.3690271447284474,1.3690271447284474,1.3994804183053275,1.3690271447284474,1.3690271447284474,1.3690271447284474,1.3690271447284474,1.3690271447284474,1.3690271447284474
2015-01-05,1.3802753677554056,1.3802753677554056,1.3802753677554056,1.3802753677554056,1.3802753677554056,1.3802753677554056,1.3802753677554056,1.4109788520124849,1.3802753677554056,1.3802753677554056,1.3802753677554056,1.3802753677554056,1.3802753677554056,1.3802753677554056
2015-01-06,1.3778865214976082,1.3778865214976082,1.3778865214976082,1.3778865214976082,1.3778865214976082,1.3778865214976082,1.3778865214976082,1.4085368671526501,1.3778865214976082,1.3778865214976082,1.3778865214976082,1.3778865214976082,1.3778865214976082,1.3778865214976082
2015-01-07,1.3777903003718053,1.3777903003718053,1.3777903003718053,1.3777903003718053,1.3777903003718053,1.3777903003718053,1.3777903003718053,1.4084385056395807,1.3777903003718053,1.3777903003718053,1.3777903003718053,1.3777903003718053,1.3777903003718053,1.3777903003718053
2015-01-08,1.3700904593637895,1.3700904593637895,1.3700904593637895,1.3700904593637895,1.3700904593637895,1.3700904593637895,1.3700904593637895,1.4005673858036627,1.3700904593637895,1.3700904593637895,1.3700904593637895,1.3700904593637895,1.3700904593637895,1.3700904593637895
2015-01-09,1.3567475604410282,1.3567475604410282,1.3567475604410282,1.3567475604410282,1.3567475604410282,1.3567475604410282,1.3567475604410282,1.3869276812603788,1.3567475604410282,1.3567475604410282,1.3567475604410282,1.3567475604410282,1.3567475604410282,1.3567475604410282
2015-01-12,1.3513343492822136,1.3513343492822136,1.3513343492822136,1.3513343492822136,1.3513343492822136,1.3513343492822136,1.3513343492822136,1.381394056126587,1.3513343492822136,1.3513343492822136,1.3513343492822136,1.3513343492822136,1.3513343492822136,1.3513343492822136
2015-01-13,1.3478895785447862,1.3478895785447862,1.3478895785447862,1.3478895785447862,1.3478895785447862,1.3478895785447862,1.3478895785447862,1.3778726583141738,1.3478895785447862,1.3478895785447862,1.3478895785447862,1.3478895785447862,1.3478895785447862,1.3478895785447862
2015-01-14,1.343952697702012,1.343952697702012,1.343952697702012,1.343952697702012,1.343952697702012,1.343952697702012,1.343952697702012,1.3738482036714161,1.343952697702012,1.343952697702012,1.343952697702012,1.343952697702012,1.343952697702012,1.343952697702012
2015-01-15,1.3931637082366883,1.3931637082366883,1.3931637082366883,1.3931637082366883,1.3931637082366883,1.3931637082366883,1.3931637082366883,1.4241538867058876,1.3931637082366883,1.3931637082366883,1.3931637082366883,1.3931637082366883,1.3931637082366883,1.3931637082366883
2015-01-16,1.3957546876257434,1.3957546876257434,1.3957546876257434,1.3957546876257434,1.3957546876257434,1.3957546876257434,1.3957546876257434,1.426802501039926,1.3957546876257434,1.3957546876257434,1.3957546876257434,1.3957546876257434,1.3957546876257434,1.3957546876257434
2015-01-19,1.3600686089899752,1.3600686089899752,1.3600686089899752,1.3600686089899752,1.3600686089899752,1.3600686089899752,1.3600686089899752,1.390322604750676,1.3600686089899752,1.3600686089899752,1.3600686089899752,1.3600686089899752,1.3600686089899752,1.3600686089899752
2015-01-20,1.380275001514491,1.380275001514491,1.380275001514491,1.380275001514491,1.380275001514491,1.380275001514491,1.380275001514491,1.4091305263614076,1.380275001514491,1.380275001514491,1.380275001514491,1.380275001514491,1.380275001514491,1.380275001514491
2015-01-21,1.461073816873486,1.461073816873486,1.461073816873486,1.461073816873486,1.461073816873486,1.461073816873486,1.461073816873486,1.492021483108604,1.461073816873486,1.461073816873486,1.461073816873486,1.461073816873486,1.461073816873486,1.461073816873486
