date,hs300_benchmark,base_pool,plus_kc50,plus_hstech,plus_10y_bond,plus_germany,plus_china_internet,plus_30y_bond,plus_semiconductor,plus_solar,plus_convertible_bond,plus_kc50_convertible_bond,plus_csi500,plus_csi500_convertible_bond,plus_csi1000,plus_csi1000_convertible_bond,plus_hshares,plus_sse50,plus_financial,plus_india_lof,plus_dow,replace_div_lowvol_with_dividend
2023-07-21,0.9487804878048786,1.1483442880491541,1.1483442880491541,1.1394844638757062,1.1483442880491541,1.1483442880491541,1.1483442880491541,0.9833231213872832,1.1483442880491541,1.1005712300236903,1.1483442880491541,1.1483442880491541,1.1483442880491541,1.1483442880491541,1.1483442880491541,1.1483442880491541,1.1483442880491541,1.1483442880491541,1.1157473000270375,1.1454559679880434,,1.153999814875759
2023-07-24,0.9446341463414639,1.1450434674223215,1.1450434674223215,1.1362091100802814,1.1450434674223215,1.1450434674223215,1.1450434674223215,0.9804966404479905,1.1450434674223215,1.0974077290987785,1.1450434674223215,1.1450434674223215,1.1450434674223215,1.1450434674223215,1.1450434674223215,1.1450434674223215,1.1450434674223215,1.1450434674223215,1.1125401767447693,1.1421634495982087,,1.1506827379050764
2023-07-25,0.9719512195121957,1.1405066000142547,1.1405066000142547,1.1317072459791078,1.1405066000142547,1.1405066000142547,1.1405066000142547,0.9766117370549502,1.1405066000142547,1.0930596030222053,1.1405066000142547,1.1405066000142547,1.1405066000142547,1.1405066000142547,1.1405066000142547,1.1405066000142547,1.1405066000142547,1.1405066000142547,1.1081320931989098,1.1376379933368561,,1.1461235266968077
2023-07-26,0.9697560975609761,1.137668797995516,1.137668797995516,1.1288913384629033,1.137668797995516,1.137668797995516,1.137668797995516,0.9741817372996626,1.137668797995516,1.090339858350829,1.137668797995516,1.137668797995516,1.137668797995516,1.137668797995516,1.137668797995516,1.137668797995516,1.137668797995516,1.137668797995516,1.1053748452434224,1.1348073289688947,,1.1500649469696114
2023-07-27,0.9687804878048786,1.13959500971699,1.13959500971699,1.1308026888772322,1.13959500971699,1.13959500971699,1.13959500971699,0.9758311455321277,1.13959500971699,1.092185936417878,1.13959500971699,1.13959500971699,1.13959500971699,1.13959500971699,1.13959500971699,1.13959500971699,1.13959500971699,1.13959500971699,1.1072463793729352,1.1367286958750855,,1.1518800498034691
2023-07-28,0.9921951219512201,1.154998194642415,1.154998194642415,1.1724916146738398,1.154998194642415,1.154998194642415,1.154998194642415,0.989020837889901,1.154998194642415,1.1069483228868844,1.154998194642415,1.154998194642415,1.154998194642415,1.154998194642415,1.154998194642415,1.154998194642415,1.154998194642415,1.154998194642415,1.1554640679323207,1.1520931386493212,,1.1676737907632002
2023-07-31,0.9960975609756102,1.1607551949895423,1.1607551949895423,1.2035509951950012,1.1607551949895423,1.1607551949895423,1.1803529939860669,0.9939505367703491,1.1607551949895423,1.1124658223156039,1.1607551949895423,1.1607551949895423,1.1607551949895423,1.1607551949895423,1.1607551949895423,1.1607551949895423,1.1783954686587783,1.1556513382859641,1.1597435644802183,1.1578356589665761,,1.173727835044539
2023-08-01,0.9917073170731714,1.1545991565296119,1.1545991565296119,1.1880213049344206,1.1545991565296119,1.1545991565296119,1.169795274898535,0.9886791429759996,1.1545991565296119,1.10656588543219,1.1545991565296119,1.1545991565296119,1.1545991565296119,1.1545991565296119,1.1545991565296119,1.1545991565296119,1.1621042870644174,1.1522660542485097,1.1479749489734998,1.1516951041987455,,1.1675029964866637
2023-08-02,0.9846341463414642,1.1375166693541214,1.1375166693541214,1.1569619244132592,1.1375166693541214,1.1375166693541214,1.1497356086322241,0.9740514700861923,1.1375166693541214,1.0901940585173433,1.1375166693541214,1.1375166693541214,1.1375166693541214,1.1375166693541214,1.1375166693541214,1.1375166693541214,1.1449107602303699,1.1416870416314648,1.1351364593298074,1.134655582962056,,1.1502295948458938
2023-08-03,0.9934146341463423,1.1383890343276803,1.1383890343276803,1.1744328259564125,1.1383890343276803,1.1383890343276803,1.1560702400847434,0.9747984731041167,1.1383890343276803,1.0910301316375488,1.1383890343276803,1.1383890343276803,1.1383890343276803,1.1383890343276803,1.1383890343276803,1.1383890343276803,1.1457887957545814,1.1522660542485097,1.1586736903432437,1.135525753759809,,1.153984257363608
