date,hs300_benchmark,base_pool,resource_risk,resource_cap_70,resource_cap_60,resource_abs_08,resource_abs_10,resource_margin_03,resource_margin_05,resource_margin_03_cap_70
2024-09-20,0.8018324607329845,1.0130580555840634,1.07890160314284,1.084468369848404,1.0862210034004234,1.1128185294916648,1.0598637630015648,1.071665075529324,1.0519336397712256,1.0776510869298197
2024-09-23,0.8041884816753929,1.0199274586097438,1.0862174819280572,1.0918219960892972,1.0935865140009138,1.1203643941451136,1.0670505488923048,1.0789318844469165,1.0590666526208132,1.0849584861419168
2024-09-24,0.841884816753927,1.017927250671304,1.084087270792075,1.0896807937856376,1.0914418512523916,1.118167216555475,1.064957926558634,1.0768159612975896,1.0569896877268623,1.0828307440573801
2024-09-25,0.854188481675393,1.024073765929,1.090633277833544,1.0962605760054422,1.0980322672051883,1.124919007366342,1.0713884255359234,1.0833180622399519,1.063372072360495,1.0893691638564982
2024-09-26,0.8976439790575919,1.0684995610151062,1.1379465204212664,1.1438179388936651,1.1456664886096768,1.1737196142878437,1.1178667987098583,1.1303139602380716,1.109502684586578,1.136627567359012
2024-09-27,0.9575916230366495,1.1917879719014648,1.2692480420083356,1.2757969318429343,1.2778587757569473,1.3091488005518257,1.2468514293302266,1.260734801804003,1.2375222251157987,1.2677769020542826
2024-09-30,1.0528795811518323,1.4298621446475361,1.5227958078316417,1.5306529182277298,1.5331266405930557,1.570667229199515,1.4959251988040412,1.5125819441382151,1.4847323723446384,1.5210307897417017
2024-10-08,1.099738219895288,1.4865184694343778,1.5831345014571154,1.5913029390676159,1.5938746792861223,1.632902762186167,1.5551991814306352,1.572515927434858,1.5435628545865692,1.581299546948107
2024-10-09,0.997643979057592,1.44036397360388,1.5339802014944501,1.541895019572205,1.5443869105485843,1.5822032214279504,1.506912237399428,1.5236913206045104,1.4956372036101404,1.532202219974326
2024-10-10,1.0143979057591628,1.3919356421371258,1.4824042783091886,1.4900529820988935,1.4924610900007205,1.5290059300076697,1.4562464010820324,1.4724613331294523,1.4453504597191407,1.4806860765947083
2024-10-11,0.9858638743455501,1.3173425288577856,1.4029629974695659,1.410201811167406,1.4124808698085687,1.4470672906847108,1.3782069073941177,1.3935528895947091,1.367894873910127,1.4013368732989353
2024-10-14,1.0023560209424087,1.3553427941132985,1.443433083935034,1.4508807095664655,1.4532255102838156,1.4888096163775388,1.41796287587664,1.4337515306407103,1.4073533798883038,1.4417600523364045
2024-10-15,0.9738219895287962,1.3088980254676716,1.393969644921684,1.4011620559676148,1.4034265052585138,1.4377912183085269,1.3693722477313348,1.3846198582511533,1.3591263170260879,1.3923539446239421
2024-10-16,0.9672774869109951,1.2751200119072155,1.3579962347301566,1.3650030351684503,1.367209047058294,1.4006869288037906,1.3340336090802034,1.34888773287693,1.3240520894899306,1.3564222299239694
2024-10-17,0.9560209424083772,1.272305177443844,1.3549984505475294,1.3619897834351866,1.3641909255416091,1.397594904678396,1.3310887225259425,1.3459100557624113,1.3211292371952508,1.3534279203656383
2024-10-18,0.9960732984293197,1.3848985559786975,1.4749098178526203,1.482519852765734,1.484915786209008,1.521275869694183,1.4488841846963798,1.4650171403431556,1.438043328982441,1.4732003026988805
2024-10-21,0.9960732984293197,1.3891208076737547,1.4794064941265614,1.4870397303656298,1.4894429684840358,1.5259139058822753,1.4533015145277715,1.4694836560149336,1.4424276074244609,1.4776917670363772
2024-10-22,1.0023560209424087,1.3947504766004974,1.485402062491816,1.4930662338321572,1.4954792115174058,1.5320979541330646,1.4591912876362934,1.475439010243971,1.4482733120138205,1.4836803861530394
2024-10-23,1.0062827225130893,1.3834911387470121,1.4734109257613068,1.4810132268991025,1.483406725450666,1.519729857631486,1.4474117414192496,1.4635283017858964,1.4365819028351015,1.4717031479197151
2024-10-24,0.9947643979057594,1.3637872975034127,1.4524264364829158,1.4599204647662567,1.462279874833871,1.498085688753723,1.426797535539423,1.442684561984266,1.416121936772343,1.4507429810113976
2024-10-25,1.0023560209424087,1.4088246489173541,1.5003909834049522,1.5081324924984758,1.5105698191008305,1.547558074760038,1.4739157204075979,1.490327395816564,1.462887573487219,1.4986519339446946
2024-10-28,1.003926701570681,1.3989727282955546,1.489898738765757,1.497586111432053,1.5000063937924333,1.5367359903211568,1.4636086174676848,1.479905525915749,1.45265759045584,1.4881718504905361
2024-10-29,0.9952879581151836,1.3637872975034129,1.452426436482916,1.459920464766257,1.462279874833871,1.4980856887537233,1.4267975355394231,1.4426845619842663,1.4161219367723432,1.4507429810113979
2024-10-30,0.9842931937172779,1.3483057079548706,1.4359386234784661,1.4433475802333067,1.4456802064921037,1.4810795560640526,1.410600659490988,1.426307337854414,1.4000462491516046,1.434274278440577
2024-10-31,0.9842931937172779,1.35815762857667,1.4464308681176614,1.4538939612997295,1.456243631800501,1.491901640502934,1.420907762430901,1.436729207755229,1.4102762321829836,1.4447543618947356
2024-11-01,0.9863874345549742,1.3342315356380137,1.4209497025653295,1.428281321566988,1.4305895989086785,1.465619435437079,1.395876226719683,1.4114189522818208,1.3854319876782055,1.4193027306489217
2024-11-04,1.0002617801047125,1.3736392181252124,1.4629186811221115,1.4704668458326797,1.4728433001422683,1.5089077731926048,1.4371046384793362,1.4531064318850815,1.4263519198037222,1.4612230644655566
2024-11-05,1.0277486910994766,1.446824914172867,1.5408610698704208,1.5488113908975356,1.5513144595760777,1.5893004004528666,1.5136716888901205,1.5305260368625653,1.502346079465396,1.539075112982164
2024-11-06,1.0209424083769636,1.4228988212342104,1.5153799043180887,1.523198751164794,1.5256604266842553,1.5630181953870115,1.4886401531789022,1.505215781389157,1.4775018349606177,1.5136234817363499
2024-11-07,1.0568062827225133,1.4820103449650086,1.5783333721532617,1.5864770375633315,1.58904097853464,1.6279507020203,1.550482770818382,1.567747000794048,1.5388817331488929,1.5765039824613023
2024-11-08,1.0426701570680632,1.459491669258038,1.5543510986922435,1.562371023697222,1.5648960064011601,1.6032145090171424,1.5269236783842945,1.5439255838778991,1.5154989147914548,1.552549505994654
2024-11-11,1.048167539267016,1.5003067689769225,1.597818969340339,1.6060631738295454,1.6086587683930924,1.6480488588353652,1.569624533421078,1.5871019020384192,1.5578802730643113,1.5959669945904544
