date,nav,strategy_return,current_momentum,signal,holding,exposure,trade_cost_rate,turnover,drawdown,weight_510300,weight_159949,weight_159954,weight_159941,weight_513880,weight_518880,weight_512890,weight_159985,weight_511260,effective_momentum,signal_risk_winner,signal_defensive_winner,top2_close_risk_cap_triggered,stress_bond_trigger,weak_market_trigger,target_weight_510300,target_weight_159949,target_weight_159954,target_weight_159941,target_weight_513880,target_weight_518880,target_weight_512890,target_weight_159985,target_weight_511260
2025-04-25,2.6630788334620132,-0.006858348720654162,0.10621419127368892,518880,518880,1.0,0.0,0.0,-0.05662741167627183,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.011363636363636465,513880,518880,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025-04-28,2.64009076916254,-0.00863213811420993,0.10200767640980213,518880,518880,1.0,0.0,0.0,-0.06477073415184187,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.004562737642585524,513880,518880,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2025-04-29,2.6584812206021184,0.006965840589417294,0.006838905775075954,518880,518880,1.0,0.0,0.0,-0.05825607617138584,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.006838905775075954,513880,518880,False,False,False,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0
2025-04-30,2.6452018929393817,-0.004995080484235692,0.0076045627376426506,518880,518880,0.8,9.999999999999998e-05,0.19999999999999996,-0.06296016286644979,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0076045627376426506,513880,518880,False,False,False,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0
2025-05-06,2.685140157364969,0.015098380404229728,0.01669195751138086,518880,518880,0.8,0.0,0.0,-0.04881237895148993,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.01669195751138086,513880,518880,False,False,False,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0
2025-05-07,2.7017900017458976,0.006200735680504499,0.02297090352220521,518880,518880,0.8,0.0,0.0,-0.042914315930800195,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.02297090352220521,513880,518880,False,False,False,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0
2025-05-08,2.669668603211257,-0.011888932342589031,0.037896365042536795,518880,518880,0.8,0.0,0.0,-0.054293042874759445,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.037896365042536795,513880,518880,False,False,False,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0
2025-05-09,2.662320567357506,-0.002752414979489304,0.060677698975571515,513880,518880,0.8,0.0,0.0,-0.0568960208697582,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.060677698975571515,513880,518880,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025-05-12,2.653995969607255,-0.003126820208023906,0.057480314960629775,513880,513880,1.0,0.0009000000000000001,1.8,-0.05984493744997044,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.057480314960629775,513880,518880,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025-05-13,2.638186611634911,-0.005956813104988856,0.04705882352941182,518880,513880,1.0,0.0,0.0,-0.06544526544729012,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.04705882352941182,513880,518880,False,False,False,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0
2025-05-14,2.6199944942678934,-0.006895690125477305,0.07348242811501593,513880,518880,0.8,0.0009000000000000001,1.8,-0.07188966530206331,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.07348242811501593,513880,518880,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2025-05-15,2.6078982681991567,-0.004616889880952435,0.224191866527633,159941,513880,1.0,0.0009000000000000001,1.8,-0.07617464851473765,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.224191866527633,159941,512890,False,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-05-16,2.6097286840194265,0.0007018739352642189,0.18309859154929575,159941,159941,1.0,0.001,2.0,-0.07552623957979387,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.18309859154929575,159941,512890,False,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-05-19,2.5853179565328506,-0.009353741496598511,0.1779575328614762,159941,159941,1.0,0.0,0.0,-0.08417352815515278,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1779575328614762,159941,512890,False,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-05-20,2.611947841063661,0.010300429184549431,0.10866910866910873,159949,159941,1.0,0.0,0.0,-0.07474012243657924,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10866910866910873,159949,512890,False,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-21,2.640946790607453,0.011102422907488974,0.10456730769230771,159949,159949,1.0,0.001,2.0,-0.06446749597653856,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10456730769230771,159949,512890,False,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-22,2.617957047054831,-0.008705114254624613,0.09101796407185647,159949,159949,1.0,0.0,0.0,-0.07261141331297793,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09101796407185647,159949,512890,False,False,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-23,2.5834724317258977,-0.013172338090010949,0.07966260543580139,159941,159949,1.0,0.0,0.0,-0.08482728931763683,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07966260543580139,159941,512890,True,False,False,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0
2025-05-26,2.5875504160482063,0.0015784895833335089,0.10834132310642386,159941,159941,0.7,0.00085,1.7,-0.08338269872687365,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.10834132310642386,159941,512890,False,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-05-27,2.607304550398751,0.007634299307958559,0.10531309297912705,159941,159941,1.0,0.00015000000000000001,0.30000000000000004,-0.07638496789810134,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.10531309297912705,159941,512890,False,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-05-28,2.636398935939681,0.011158798283261717,0.1272727272727272,159941,159941,1.0,0.0,0.0,-0.06607853406348796,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1272727272727272,159941,512890,False,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-05-29,2.676683469765585,0.015280135823429575,0.15110683349374399,159941,159941,1.0,0.0,0.0,-0.051808087215561516,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.15110683349374399,159941,512890,False,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-05-30,2.6229707579977135,-0.02006688963210701,0.1290944123314064,159941,159941,1.0,0.0,0.0,-0.07083534967946337,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1290944123314064,159941,512890,False,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-06-03,2.6319228766256924,0.0034129692832765013,0.09599254426840642,159941,159941,1.0,0.0,0.0,-0.06766413926881287,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09599254426840642,159941,512890,False,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-06-04,2.652065143538644,0.007653061224489832,0.11898016997167149,159941,159941,1.0,0.0,0.0,-0.06052891584484976,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.11898016997167149,159941,512890,False,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025-06-05,2.6431130249106656,-0.0033755274261603185,0.08348623853211001,159941,159941,1.0,0.0,0.0,-0.06370012625550003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08348623853211001,159941,512890,False,False,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
