date,baseline_cf60top2_nav,baseline_cf60top2__prs_rc184_en01_ex01_nav,baseline_cf60top2__prs_rc186_en01_ex01_nav,baseline_cf60top2__prs_rc188_en01_ex01_nav,baseline_cf60top2__prs_rc184_en01_ex02_nav,baseline_cf60top2__prs_rc186_en01_ex02_nav,baseline_cf60top2__prs_rc188_en01_ex02_nav,baseline_cf60top2__prs_rc184_en01_ex03_nav,baseline_cf60top2__prs_rc186_en01_ex03_nav,baseline_cf60top2__prs_rc188_en01_ex03_nav,baseline_cf60top2__prs_rc184_en01_ex05_nav,baseline_cf60top2__prs_rc186_en01_ex05_nav,baseline_cf60top2__prs_rc188_en01_ex05_nav,baseline_cf60top2__prs_rc184_en02_ex01_nav,baseline_cf60top2__prs_rc186_en02_ex01_nav,baseline_cf60top2__prs_rc188_en02_ex01_nav,baseline_cf60top2__prs_rc184_en02_ex02_nav,baseline_cf60top2__prs_rc186_en02_ex02_nav,baseline_cf60top2__prs_rc188_en02_ex02_nav,baseline_cf60top2__prs_rc184_en02_ex03_nav,baseline_cf60top2__prs_rc186_en02_ex03_nav,baseline_cf60top2__prs_rc188_en02_ex03_nav,baseline_cf60top2__prs_rc184_en02_ex05_nav,baseline_cf60top2__prs_rc186_en02_ex05_nav,baseline_cf60top2__prs_rc188_en02_ex05_nav,baseline_cf60top2__prs_rc184_en03_ex01_nav,baseline_cf60top2__prs_rc186_en03_ex01_nav,baseline_cf60top2__prs_rc188_en03_ex01_nav,baseline_cf60top2__prs_rc184_en03_ex02_nav,baseline_cf60top2__prs_rc186_en03_ex02_nav,baseline_cf60top2__prs_rc188_en03_ex02_nav,baseline_cf60top2__prs_rc184_en03_ex03_nav,baseline_cf60top2__prs_rc186_en03_ex03_nav,baseline_cf60top2__prs_rc188_en03_ex03_nav,baseline_cf60top2__prs_rc184_en03_ex05_nav,baseline_cf60top2__prs_rc186_en03_ex05_nav,baseline_cf60top2__prs_rc188_en03_ex05_nav,hs300_benchmark
2019-11-25,2.507961600599485,2.2231479576173774,2.2230279258096477,2.222907786698241,2.2463622551923934,2.2462670850072635,2.246171789181884,2.1369919009411946,2.1371993885755383,2.1374067547483215,2.03735647975714,2.0378273150518105,2.0382981084647676,2.2047965826223135,2.2047740335085857,2.204751392518206,2.2083958457139206,2.208403912604704,2.208411875838419,2.1239503178694337,2.124197160744072,2.12444391573216,2.0313999722254894,2.0318925147404037,2.032385048908682,2.2285639806549273,2.228316483061985,2.2280689429436946,2.2016810984496837,2.201656169012742,2.201631152588209,2.1177995314024414,2.1180131871333137,2.118226763674562,2.0798115431713105,2.0801474355016456,2.080483274560046,1.6594356034175959
2019-11-26,2.5307368929126213,2.2413177981284615,2.241196785297946,2.241075664286758,2.2488406465163546,2.248784294142968,2.2487278126881853,2.139349624934476,2.1395943743996426,2.1398390094556308,2.0396042768840617,2.0401109426616677,2.040617582826959,2.2228164369142274,2.222793703506063,2.2227708774703365,2.22644511686768,2.2264532496893517,2.226461278006763,2.1413094137392896,2.141558274066544,2.1418070457889495,2.0480026519450685,2.0484992200215344,2.0489957796831466,2.246778086449597,2.2465285660530103,2.246279002783515,2.2196754898162276,2.2196503566304115,2.2196251357460532,2.135108356749933,2.135323758694115,2.1355390808014554,2.0968098917981086,2.097148529384355,2.0974871132632726,1.6619652308618302
2019-11-27,2.545473846762298,2.2543694105050704,2.254247692994229,2.2541258666727586,2.2600903260152014,2.260038215501492,2.2599859750334237,2.142908626381644,2.1431755963656975,2.143442456738395,2.042997342930152,2.043525650705616,2.0440539431566402,2.2357603124071113,2.235737446618063,2.2357144876620647,2.239410122842029,2.2394183030226413,2.239426378090445,2.1537786586048973,2.154028968092342,2.154279188458976,2.059928554100387,2.0604280137855566,2.060927465006871,2.2598614951054716,2.259610521704987,2.2593595051819375,2.2326010749872065,2.232575795446153,2.232550427695872,2.1475414917018916,2.1477581479718473,2.1479747239400564,2.109020007631767,2.109360617167959,2.1097011726840758,1.6594356034175963
2019-11-28,2.6137997237017068,2.3148814315238906,2.314756446858811,2.3146313504623954,2.320755908450346,2.3207023991807425,2.320648756468531,2.198633255395184,2.1989115691265413,2.199189771492281,2.053583529768289,2.0542230643039443,2.054862639529046,2.2957728260559334,2.2957493465009686,2.295725771278257,2.2995206050867356,2.2995290048406174,2.299537296660241,2.2115906120727127,2.211847640393768,2.212104577201822,2.1152213731841343,2.1157342394187477,2.1162470969623186,2.32052093523725,2.320263225182331,2.320005470847347,2.2925287880526524,2.292502829955497,2.292476781281392,2.2051860264791525,2.2054084982595126,2.205630887582658,2.1656305446787245,2.165980296891941,2.166329993635069,1.6569059759733622
2019-11-29,2.615201074040504,2.3184409621720565,2.318315785321434,2.3181904965676683,2.324324472123002,2.32427088057364,2.3242171553764788,2.2020140343629886,2.2022927760498523,2.202571406199855,2.0541489804141997,2.0547950466734406,2.055441157590937,2.299302973917629,2.2992794582587868,2.299255846785092,2.303056515807013,2.303064928476969,2.3030732330467,2.2149913152178784,2.21524873876444,2.2155060706572836,2.1184738919537667,2.1189875468089356,2.119501192959698,2.324089137597943,2.323831031269234,2.3235728805923714,2.2960539476447375,2.2960279496325176,2.29600186090407,2.2085768814660507,2.2087996953352578,2.209022426620458,2.1689605762697224,2.1693108662874696,2.1696611007498334,1.6387769792896845
2019-12-02,2.617412814725798,2.3279640795434187,2.327945823113234,2.327927443119495,2.3338717563188522,2.333925655199264,2.333979415315965,2.2110589220460373,2.211440866571536,2.2118227253172886,2.0642709497584386,2.0650113665296117,2.0657518855122867,2.3522551918430596,2.352231134626056,2.3522069793876135,2.356095176611165,2.3561037830222413,2.356112278843578,2.266001862395362,2.266265214324521,2.2665284724892056,2.1672616734982486,2.1677871576617505,2.168312632920386,2.377612173008335,2.3773481225727724,2.377084026767732,2.3489313415260122,2.34890474478782,2.3488780552442345,2.2594397062695157,2.2596676514714322,2.2598955121874584,2.2189110501346843,2.219269407220394,2.2196277074712976,1.6421498158819967
2019-12-03,2.614595766794139,2.305558105432916,2.3053009477888597,2.305043671545713,2.311408922545416,2.311222611617405,2.3110361522190583,2.1897781259205766,2.1899292823183556,2.1900802753292274,2.0444029449795926,2.044924161546489,2.0454453272405106,2.327714456688678,2.32745393528336,2.3271933207746636,2.3315143794560624,2.3312857911826326,2.331057090795409,2.2423609956402504,2.242393536005093,2.242425929667002,2.1446509487248493,2.1449527968086617,2.1452545294280916,2.2551038919578805,2.2548534469224495,2.2546029588552376,2.2279008621977585,2.2278756358767917,2.2278503215323004,2.1430203517193607,2.1432365518708534,2.1434526718896554,2.104579965510436,2.1049198579739206,2.1052596965310557,1.648895489066621
2019-12-04,2.6091392191069165,2.298675834053217,2.2984194440448533,2.2981629357914275,2.304509186018746,2.304323431243436,2.304137528440986,2.1832414668407636,2.1833921720248655,2.183542714309783,2.0383002421920766,2.03881990288673,2.039339512860368,2.320766046866505,2.3205063031379702,2.3202464665839786,2.3245546265670436,2.3243267206474996,2.32409870294883,2.235667372579143,2.23569981580845,2.2357321127727428,2.1382489978006576,2.138549944844317,2.138850776768264,2.248372230353995,2.248122532916595,2.247872792575867,2.2212504037666396,2.2212252527482153,2.2212000139690233,2.1366232682548425,2.136838823031963,2.137054297915595,2.098297629607129,2.09863650746501,2.0989753315774564,1.6497386982146989
2019-12-05,2.6140636452309853,2.3050888791002704,2.3048317737928428,2.304574549910462,2.3109385054566363,2.3107522324465566,2.3105658109963576,2.1893324630865267,2.1894835887210116,2.189634551001842,2.0439868688485845,2.0445079793376784,2.0450290389642505,2.3272407211036215,2.3269802527195234,2.3267196912509958,2.3310398705121305,2.330811328760902,2.330582674918696,2.241904631160009,2.241937164902249,2.2419695519714113,2.1442144701572072,2.144516256809009,2.144817928019928,2.254644934048095,2.2543945399831453,2.2541441028951716,2.227447440638526,2.2274222194516105,2.227396910259085,2.142584205010218,2.142800361160736,2.1430164371948712,2.1041516421744726,2.104491465463169,2.104831234856487,1.661965230861831
2019-12-06,2.610960468459135,2.307274071676111,2.307070212135079,2.306866221967614,2.3131292433978645,2.312996420701565,2.3128634407716566,2.191407920170963,2.19161000162039,2.1918119265682345,2.0459245403073383,2.046493592823224,2.0470626186134058,2.3294469133212226,2.329240201527302,2.329033384466723,2.3332496642711544,2.3330749982860017,2.33290020949062,2.244029925937218,2.244114520389909,2.244198969533728,2.146247156004456,2.1465989977141686,2.146950737875662,2.2567823064573367,2.2565839939963213,2.2563856268474343,2.2295590301978225,2.229585478114157,2.229611836766724,2.144615345388514,2.1448814355986703,2.1451474556456858,2.106146349011424,2.106535334538893,2.106924281890322,1.6720837406387672
