date,baseline,leader_margin_005,leader_margin_010,leader_margin_015,cash_tail_soft,cash_tail_mid,cash_tail_strict,hs300_benchmark
2025-06-25,13.217666649842217,8.084871112724484,7.9971251369412375,7.161553348477328,8.759532112497993,8.778132984127776,8.956680090814684,1.8695311822902436
2025-06-26,13.249753333537148,8.104497625404873,8.016538640968507,7.1789384515476735,8.78167527610627,8.800323168757092,8.979321623500539,1.8625221926040767
2025-06-27,13.44723013978575,8.22528857652872,8.136018634907712,7.285934695325176,8.904537706708032,8.923446497803019,9.104949279401225,1.851775075085287
2025-06-30,13.595526287803883,8.321823266679388,8.231505623683045,7.37144481958735,9.01039584727729,9.029529428196483,9.213189935170332,1.8606531286877657
2025-07-01,13.53743446698459,8.238325272372782,8.14891384208957,7.297482559412728,8.97189566052538,8.9909474862752,9.173823237069932,1.8634567245622322
2025-07-02,13.368392621403098,8.230910779627646,8.141579819631689,7.290914825109256,8.970549876176301,8.989598844152258,9.172447163584373,1.8653257884785432
2025-07-03,13.664215851170711,8.228985295232599,8.139675232725883,7.28920923710117,8.968451365541936,8.987495877329318,9.170301422444572,1.8760729059973322
2025-07-04,13.636042210240465,8.198436128358608,8.1094576192458,7.2621488813738795,8.93515701544437,8.954130826659595,9.136257727093536,1.8840164276416551
2025-07-07,13.46700036465897,8.228935258552184,8.139625739098944,7.2891649147673725,8.968396832507949,8.9874412284944,9.170245662053087,1.8756056400182548
2025-07-08,13.790997235356832,8.426911734437853,8.335453554997768,7.464531853093366,9.175897954577572,9.195382979319655,9.382416945289892,1.8914926833068992
2025-07-09,13.847344517217328,8.46134242589623,8.369510566458432,7.495030451063103,9.213388855311289,9.23295349200329,9.42075164169557,1.8900908853696654
2025-07-10,13.903691799077826,8.495773117354608,8.403567577919096,7.525529049032841,9.250879756045007,9.270524004686925,9.45908633810125,1.8994362049512217
2025-07-11,13.988212721868573,8.547419154542172,8.454653095110093,7.571276945987447,9.307116107145584,9.326879773712376,9.516588382709767,1.9059779286583103
2025-07-14,13.931865440008076,8.512988463083795,8.420596083649428,7.540778348017708,9.269625206411865,9.289309261028741,9.478253686304088,1.905510662679233
2025-07-15,14.22768866977569,8.693749593240277,8.59939539381792,7.700895987358834,9.466452435263887,9.486554452617826,9.679510842433903,1.905510662679233
