date,hs300_benchmark,k_20_nav,k_21_nav,k_22_nav,k_23_nav,k_24_nav,k_25_nav,k_26_nav,k_27_nav,k_28_nav,k_29_nav,k_30_nav
2016-04-21,1.2695872377455717,1.360512011984043,1.3708452797946928,1.6878700187782754,1.398018094457511,1.513491411641148,1.5995333628275785,1.519368118399561,2.014356575119218,1.8552039506408868,1.8048737126670877,1.7123154288982483
2016-04-22,1.275228056954851,1.346419884517948,1.3566461207655933,1.6703871305411206,1.3835374805316756,1.4978147298450175,1.5829654620397227,1.5036305659165194,1.993491952558958,1.861769582775312,1.7845713439661832,1.6930542147059442
2016-04-25,1.271198900376794,1.3406020208194136,1.3507840696264826,1.6631694083721156,1.3775592321590078,1.491342690888897,1.5761254878210322,1.4971333968045344,1.9848780984429624,1.8537248993929494,1.7773318483039853,1.687704912289811
2016-04-26,1.278451382217296,1.3385219556203145,1.3486882060584042,1.6605888507175428,1.3754218245063172,1.4890287379162221,1.5736799866762363,1.4948104590282667,1.9817983806796684,1.850848677671626,1.7745741573058411,1.6958060563478752
2016-04-27,1.2724076473502115,1.3501748478884432,1.3604296035771404,1.67504559003199,1.3873959593174099,1.5019919107608872,1.5873801155925005,1.5078239663280075,1.9990515029988385,1.866961779257263,1.790023228865752,1.710569389290818
2016-04-28,1.2716018160346,1.3550226763751556,1.3654507970390166,1.68122799590062,1.3925166825813264,1.5075355948605813,1.5932389580029918,1.513389175892309,2.0064297784424325,1.8738525263087313,1.796630004335614,1.7168829095281082
2016-04-29,1.2699901534033773,1.3792575136341365,1.3849605649611003,1.705420178313886,1.412554427420614,1.5292284147483572,1.6161650141916306,1.5350127097915016,2.0353014813392702,1.900626415186874,1.8223005261167358,1.7415881515481073
2016-05-03,1.2945680085295217,1.3965400458349764,1.4066876805188873,1.7267896317018994,1.4303972201880322,1.54854498419781,1.6365797301603668,1.5590938276024253,2.060804451627235,1.930636305952982,1.8510736923185787,1.7635871597781885
2016-05-04,1.289733020635854,1.3836186908587091,1.3961358569636346,1.7108126735995501,1.4196675470058653,1.537082771139351,1.6244658905588838,1.5475535328015193,2.041532879220728,1.9127732757350604,1.8339468076746244,1.7503581674496111
2016-05-05,1.289733020635854,1.3825849824606076,1.3950927969285478,1.709534516951362,1.4186069063282365,1.5360104649912698,1.6234949733288149,1.5466285848551307,2.040312687735202,1.9111530988942946,1.832576656903108,1.7490504661664958
2016-05-06,1.2603201776160422,1.385169253455861,1.3977004470162648,1.712729908571832,1.421258508022308,1.5388815125893844,1.6257600371007628,1.548786406365986,2.043159286233107,1.9138194968308868,1.8360020338318987,1.7523197193742837
2016-05-09,1.2345335755164812,1.380000711465354,1.392485146840831,1.7063391253308922,1.4159553046341649,1.5331394173931552,1.6196937683056105,1.543007352610889,2.035535557553133,1.9066783793053983,1.8291512799743168,1.7457812129587078
2016-05-10,1.2333248285430645,1.3732816068776952,1.3857052566127672,1.6980311071176706,1.4090611402295792,1.5256746936380574,1.6118076188719128,1.535494582729263,2.0256247102691662,1.8973949265222636,1.8202452999594607,1.7372811546184594
2016-05-11,1.2381598164367318,1.3794838572663035,1.3919636168232878,1.7057000470067982,1.4154249842953508,1.5325652078735323,1.6190871414260954,1.5424294472353794,2.0347731846851356,1.9059642675528496,1.8282833579681002,1.7449528495809186
2016-05-12,1.2425918886725937,1.3748321694748473,1.3872698466653974,1.6999483420899526,1.4106521012460222,1.5273973221969264,1.6136274995104587,1.5372282988557922,2.027911828873159,1.8995372617799102,1.8231689733140746,1.740245595734166
2016-05-13,1.2381598164367318,1.3862029618539626,1.3987435070513519,1.7140080652200198,1.4223191486999367,1.5400299316286303,1.6269732908597934,1.5499422171170054,2.0446840319691026,1.9152477203359846,1.8382478144467473,1.7515848266831162
2016-05-16,1.2429948043303993,1.3929220664416218,1.4055233972794159,1.7223160834332414,1.4292133131045226,1.547494655383728,1.634859440293491,1.5574549869986314,2.0545948792530693,1.9245311731191195,1.8471580387524176,1.76007498430686
2016-05-17,1.240980226041371,1.3862029618539626,1.3987435070513519,1.7140080652200198,1.4223191486999367,1.5400299316286303,1.6269732908597934,1.5499422171170054,2.0446840319691026,1.9152477203359846,1.8382478144467473,1.7515848266831162
2016-05-18,1.232921912885258,1.385686107654912,1.3982219770338087,1.7133689868959259,1.4217888283611224,1.5394557221090075,1.6263666639802783,1.549364311741496,2.0439216591011053,1.914533608583436,1.8375624125770804,1.750931737635136
2016-05-19,1.2305044189384242,1.3644950854938336,1.37683924631453,1.6871667756080733,1.4000456944697364,1.5159131318044685,1.6014949619201548,1.5256701913455983,2.012664371513211,1.8852550267289336,1.8094609359207356,1.7241550866679447
2016-05-20,1.238562732094537,1.363461377095732,1.3757961862794432,1.6858886189598852,1.3989850537921076,1.5147647127652226,1.6002817081611243,1.5245143805945789,2.011139625777216,1.8838268032238359,1.8080901321814016,1.722848908571984
2016-05-23,1.240577310383565,1.3619108144985799,1.374231596226813,1.6839713839876032,1.3973940927756647,1.5130420842063539,1.5984618275225786,1.5227806644680497,2.0088525071732235,1.8816844679661893,1.8060339265724008,1.7208896414280432
2016-05-24,1.2329219128852575,1.3557085641099718,1.3679732360162926,1.6754642928764267,1.3910302487098933,1.5061515699708792,1.5911823049683964,1.5158457999619335,1.9997040327572546,1.8731151269356034,1.7978091041363977,1.71305257285228
2016-05-25,1.2321160815696461,1.3340006877498425,1.3460689752794706,1.6754642928764267,1.3680724160824531,1.4812937527616439,1.5649211240407432,1.4914246168131071,1.9676843723013626,1.843122433328552,1.768845323387825,1.6854542705538245
2016-05-26,1.2321160815696461,1.3390353128173758,1.351149147027359,1.6747941071592762,1.3675251871160201,1.4812937527616439,1.564295155591127,1.4958977927531352,1.9751105701712393,1.8502635508540408,1.774327990023665,1.6906784604664287
2016-05-27,1.2329219128852575,1.3344874506974247,1.3465601418193927,1.6691058832522898,1.3628805627830902,1.4807012352605393,1.5589822272355878,1.4893980562225235,1.9676149988770575,1.8422240807438461,1.7681248818469795,1.6849362873857243
2016-05-30,1.2337277442008685,1.3237287921801741,1.3357041530791434,1.6556495257438992,1.3518929985560018,1.4687637989452604,1.5464136883493473,1.4773905060018149,1.9668279528775068,1.8273720416432755,1.750131538427272,1.6713523049137773
2016-05-31,1.276839719586072,1.332850807349466,1.344908692270292,1.6670588568531761,1.3612090975280402,1.478885272266105,1.5570702587937284,1.4875714272647875,1.9803816615582603,1.8399647385629787,1.7621919593655337,1.6828698462475609
2016-06-01,1.2716018160345985,1.3340925938159407,1.3461617127910408,1.668612017278816,1.362477304761762,1.480263115687471,1.5585209453702444,1.4889573633771462,1.9822267376404576,1.841678991424994,1.7638337531164956,1.6844377374086612
2016-06-02,1.2728105630080153,1.3349202588605724,1.3469968654627993,1.6696472166691398,1.3633225795533936,1.481181464266416,1.5594878447547313,1.4898811058282524,1.9834565021926964,1.842821560787646,1.7649280276434385,1.6854827550045717
2016-06-03,1.287718442346824,1.3308250586587818,1.342864617263972,1.6645251581991762,1.3603645762812127,1.4779677423757178,1.5561042213798275,1.4866485083107637,1.9791529933154088,1.8388231877770256,1.7610986603614536,1.6818257602629887
2016-06-06,1.2800630448485169,1.313477996477171,1.3265545206980127,1.6428283760156213,1.3802362577373795,1.4995573255588286,1.5788351921350263,1.5083648967771524,2.0080636974912673,1.8656840082356176,1.786824110878,1.706393222806069
2016-06-07,1.2800630448485169,1.315081632337044,1.329434475999147,1.6433537676986978,1.3819213992958532,1.5013881471695834,1.5807628047312996,1.5102064716225116,2.010515358625175,1.867961836860705,1.7890056588195529,1.7084765720288768
2016-06-08,1.2784513822172943,1.323498154784001,1.3379428566455416,1.6401976555903963,1.3895140071247205,1.5109970313114687,1.5908796866815798,1.5198717930408956,2.023382656920376,1.8799167926166134,1.800455295035998,1.7194108220898616
2016-06-13,1.2365481538055076,1.3547099026519234,1.3694952505437588,1.678878053817472,1.3769075063218397,1.5466305213922837,1.6283970307665878,1.5557145745547856,2.071099617537093,1.9242504312633548,1.8429150117443303,1.7599592859214597
2016-06-14,1.2417860573569808,1.3519248896361924,1.3666798418054895,1.6754266158213713,1.3740768594659651,1.543450957912182,1.6250493716725007,1.5525163360755245,2.0668418503351074,1.9202945566616385,1.8391263465219483,1.7563411611045874
2016-06-15,1.2583055993270122,1.3570997217496323,1.371911152204745,1.6818397320541802,1.3793364838084186,1.5493589041625635,1.631269656348759,1.5584589823380144,2.0747532067000263,1.927644966447903,1.8461660645947595,1.763063998084892
2016-06-16,1.250650201828705,1.3757909120565137,1.3908063387699092,1.7050035320267947,1.3983339386769889,1.5706980597656817,1.6537369600405953,1.5799234723511681,2.1033285622208764,1.9541942158026433,1.8715931136895445,1.7873464912453285
2016-06-17,1.255888105380178,1.3512179090900018,1.365965145250648,1.6745504620993443,1.3733582946876552,1.5426438200233776,1.624199562410774,1.5517044575047085,2.065761008498818,1.9192903508030712,1.8381645870640486,1.7554226936343205
2016-06-20,1.2562910210379836,1.3520142069369796,1.3667701339181992,1.6755373058339151,1.374167640275685,1.543552928720261,1.625156733423613,1.5526189058037907,2.066978399885042,1.9204214243063071,1.839247851645744,1.7564571968791882
2016-06-21,1.2534706114333443,1.350023755399347,1.3647579585278156,1.6730705597082856,1.3721445741876825,1.5412804915782363,1.6227641581811785,1.5503331216215253,2.063935369484034,1.9175941568432135,1.8365400888902847,1.7538713195190423
2016-06-22,1.2611260089316512,1.3352889828477905,1.349862370189901,1.6548099075816756,1.3571683649708846,1.5244582561244322,1.605052572973891,1.5334120816510246,2.0414086412625263,1.896664663095957,1.8164952560616883,1.734728771193908
2016-06-23,1.257096852353595,1.3376850154151436,1.3522845531345409,1.6577792861074296,1.3596036577379351,1.5271937326214033,1.6079326673104424,1.5361636248255761,2.0450717296655396,1.900068023986746,1.8197547615678926,1.7378415555310036
2016-06-24,1.2438006356460087,1.387180857835577,1.4023205947872623,1.71911897472431,1.4099105144509538,1.5837016096359662,1.667427975254193,1.5930033978888722,2.1207416720686805,1.9703726670227344,1.887087724025011,1.8021436377050712
2016-06-27,1.2595143463004286,1.396280368632074,1.4115194179402337,1.7303959048971893,1.4191591253122362,1.5940902405155744,1.6783658272130793,1.603453045846503,2.1346531325913407,1.9832977497582842,1.8994664812877773,1.8139651859880561
2016-06-28,1.2659609968253187,1.3919355075132755,1.407127136866021,1.725011363184638,1.4147430714569507,1.589129846556403,1.673143189561214,1.598463517273855,2.128010647596007,1.977126243323393,1.8935558359428932,1.8083205984220396
2016-06-29,1.2716018160345979,1.3970743535474035,1.4123220684327256,1.731379882239349,1.4199661200700684,1.5949967086097174,1.679320218021078,1.6043648380334037,2.13586698793502,1.9844255379384315,1.900546599412473,1.8149966844084044
2016-06-30,1.2736163943236263,1.392195927877888,1.4075311525822118,1.7255066501299858,1.4151492738677107,1.589586119068144,1.6736235840659537,1.5989224696782374,2.1286216440890215,1.9776939177390644,1.8940995155416747,1.808839805196277
2016-07-01,1.2724076473502093,1.4118162073381177,1.4233721215332924,1.7451007639710645,1.431219102385726,1.6076367776239213,1.6926285360496693,1.6170791478293034,2.1527933589970587,2.0001517620852853,1.9156080976911898,1.8293802146236302
2016-07-04,1.293762177213908,1.4280189965615921,1.443647006559476,1.7651285124169185,1.4476445700408174,1.6260869127904938,1.7105132353035593,1.6341655750120572,2.1775000147616153,2.0231066178572927,1.9375926832770087,1.8487098633107064
2016-07-05,1.2969855024763535,1.4244723471047989,1.4400615431420118,1.7607446126965314,1.444049178214569,1.6205884953730882,1.714774869025898,1.6382369934487118,2.1701370602273955,2.0162657260344776,1.9327804489480696,1.8516478208197347
2016-07-06,1.3034321530012436,1.4469484505746875,1.4627836214697887,1.7885266038172791,1.4668341756286118,1.6271778313537313,1.7232981364705746,1.6463798303220198,2.180923699855739,2.0262875500843536,1.9615099663233957,1.8791713547369875
2016-07-07,1.305043815632466,1.4426277358257709,1.458415621514263,1.7831859067987545,1.4624540803637553,1.6223189358953285,1.7238760672737452,1.6484155395403468,2.1836203597628248,2.0287930060968224,1.963935326405403,1.8814949050983314
2016-07-08,1.3002088277387982,1.4347660042953851,1.4504678524596892,1.773468272429279,1.4544843033590482,1.6134779607678333,1.714481647288602,1.6408303343146686,2.175530380041567,2.021276638059415,1.9566592461593808,1.874524254014299
2016-07-11,1.3034321530012432,1.443699774586219,1.4608141252070015,1.7861185262243853,1.4648592256875355,1.6249869942328443,1.726711146007259,1.6525344738735663,2.178960868525868,2.0262875500843527,1.9615099663233952,1.879171354736987
2016-07-12,1.3364712369413057,1.4802943283778944,1.4503713201551256,1.7749476965566322,1.4556976316179735,1.6148239212573565,1.7159118648765541,1.6407211329054123,2.1633843053115323,2.075779513881462,2.0112298480045445,1.9268041371445397
2016-07-13,1.3392916465459446,1.4834182537015734,1.453432097737605,1.7602278163387401,1.4449257683624241,1.60287455616686,1.7032144697818867,1.642703848187033,2.1679497831943113,2.058564794899959,2.0136603013427234,1.930870350276891
2016-07-14,1.3372770682569164,1.481186878470374,1.4512458280358336,1.7575800608990009,1.4356384730122762,1.5940066471424237,1.6937914298384185,1.633615583466773,2.162740507708947,2.0554682774587736,2.0007174510157943,1.9262307430041183
2016-07-15,1.338888730888139,1.4829719786553337,1.4529948437972506,1.7596982652507922,1.4373686790659215,1.5939028813058116,1.6952068544315984,1.6349807218373582,2.1645478117543866,2.0560933404694515,2.0031286802426886,1.9261053502117396
2016-07-18,1.3340537429944714,1.4776166781004545,1.4477477965129997,1.753343652195418,1.4321780609049855,1.5881469876628176,1.6889683163161402,1.6304312102635499,2.158524722191244,2.0503720372611887,1.9940986870686994,1.917422573944621
2016-07-19,1.3272041768117757,1.4700300023143757,1.4403144795269773,1.7443412837003043,1.4248246851769928,1.5799928050019094,1.6802964765766737,1.6312381172139978,2.1615383692728374,2.0532346858297905,1.9968827690052702,1.9200996037162714
2016-07-20,1.3243837672071361,1.4654391709137053,1.4372537019444973,1.7406344260846691,1.42037502775853,1.5750585651764526,1.6750489933178563,1.627771612411175,2.1523692590772483,2.046366723117607,1.9902033005096427,1.9136769708954782
2016-07-21,1.3316362490476377,1.4827135029873448,1.4436791485980036,1.7484161793220634,1.4371181518578453,1.5936250708563326,1.694794168091741,1.6350487964222438,2.164155887207273,2.028500724401757,1.9728276418803743,1.8969694326432518
2016-07-22,1.3199516949712737,1.4625601155680992,1.4240563252190013,1.724651299214773,1.4161669225682358,1.5703921834155763,1.6717581308555425,1.6128248321990286,2.1430211533447907,2.010701474475084,1.9440664963750576,1.869501315258577
2016-07-25,1.3195487793134684,1.4755158646233286,1.436670997391217,1.7399287221408883,1.414318902545654,1.568342907901504,1.6865670119359562,1.6271116663425242,2.162004608443318,2.0080776195289975,1.941529596414129,1.8604630783654077
2016-07-26,1.3364712369413054,1.4841530306601478,1.4450807788393605,1.750113670758298,1.4225978424629941,1.5775234517526344,1.696439599322898,1.6366362224381874,2.1746602451756685,2.019832220228679,1.9528946477102114,1.884322452194827
2016-07-27,1.3118933818151612,1.4798344476417382,1.4408758881152888,1.7450211964495932,1.418458372504324,1.5729331798270692,1.691503305629427,1.6318739443903558,2.168332426809493,2.013954919878838,1.94721212206217,1.8478198825571328
2016-07-28,1.3155196227354125,1.4985483073881805,1.4590970812529334,1.7670885851206484,1.4363960756585616,1.5928243581711856,1.7128939116344684,1.652510482597627,2.19575297306292,2.0394232213948156,1.9718363998703492,1.8711872546128163
2016-07-29,1.3110875504995503,1.4913506690241642,1.452088930046147,1.7586011279394733,1.429496959060778,1.58517390496191,1.7046667554786834,1.6445733525179074,2.1852066091192945,2.0296277208117472,1.9623655237902804,1.862199803822169
2016-08-01,1.300208827738798,1.4985483073881805,1.4590970812529334,1.7670885851206484,1.4363960756585616,1.5928243581711856,1.7128939116344684,1.652510482597627,2.19575297306292,2.0394232213948156,1.9718363998703492,1.8711872546128163
2016-08-02,1.303432153001243,1.51150405644341,1.4717117534251491,1.7823660080467638,1.4488144855345724,1.606595173947882,1.7277027927148818,1.6667973167411225,2.214736428161447,2.0570551224443387,1.9888839768144735,1.8873646660359822
2016-08-03,1.3050438156324653,1.4870320860057544,1.447884039322075,1.7535086536307685,1.4253574891021077,1.5805836330363447,1.699730461785212,1.6398110744700756,2.1788787907531186,2.0237504204619063,1.956682998142239,1.8568073333477804
2016-08-04,1.3090729722105219,1.4942297243697704,1.4548921905288612,1.7619961108119433,1.432256605699891,1.5882340862456201,1.707957617940997,1.6477482045497949,2.1894251546967443,2.0335459210449742,1.9661538742223075,1.8657947841384277
2016-08-05,1.3143108757619955,1.4899111413513604,1.450687299804789,1.756903636503238,1.4281171357412208,1.5836438143200546,1.7030213242475256,1.6429859265019628,2.1830973363305683,2.027668620695133,1.9604713485742657,1.8604023136640389
2016-08-08,1.3251895985227478,1.5100645287706058,1.470310123183791,1.780668516610528,1.447434662215015,1.6050650833060263,1.726057361483724,1.6652098907251778,2.212627155372721,2.055096022327724,1.9869898015984586,1.8855671758778518
2016-08-09,1.3312333333898323,1.5158226394618188,1.4759166441492202,1.7874584823554682,1.452953955493242,1.611185445873447,1.7326390864083523,1.6715595947889537,2.2210642465276216,2.0629324227941788,1.9945665024625139,1.89275713651037
2016-08-10,1.327204176811776,1.5072672385968147,1.4689084929424339,1.7789710251742934,1.4460548388954586,1.6035349926641715,1.7244119302525673,1.6636224647092341,2.210517882583996,2.053136922211111,1.9850956263824453,1.8837696857197226
2016-08-11,1.3255925141805533,1.4968579344628588,1.4675864752987857,1.7789710251742934,1.4460548388954586,1.6035349926641715,1.7244119302525673,1.6636224647092341,2.210517882583996,2.053136922211111,1.9850956263824453,1.8837696857197226
