date,base_pool,plus_resource_510410,plus_resource_510410__cash_tail,plus_energy_159930,plus_energy_159930__cash_tail
2019-01-28,1.7229068600612436,1.7487064210007446,1.7416099202078617,1.2992561152901676,1.2941978648020118
2019-01-29,1.717770085045757,1.7434927256692985,1.736417382797842,1.2953824373181015,1.2903392677930157
2019-01-30,1.7047660329017778,1.730293945160411,1.7232721648282243,1.28557599063008,1.28057099946195
2019-01-31,1.7414761826629108,1.7675538087614593,1.7603808225730968,1.3132593713606406,1.3081466035405893
2019-02-01,1.7682502148829957,1.794728767051241,1.7874455009950094,1.3334498563481372,1.328258483140478
2019-02-11,1.7694143032403908,1.795910286976884,1.7886222261437885,1.3343277035215066,1.3291329126882994
2019-02-12,1.7805004881294206,1.8071624812476519,1.7998287574006822,1.3426878730966614,1.3374605345376156
2019-02-13,1.8174603358071975,1.8446757818511683,1.8371898236644149,1.3705595527728558,1.3652237044783784
2019-02-14,1.819602935672576,1.846850465944126,1.8393556825782547,1.372175302319302,1.3668331636053792
2019-02-15,1.789606537557279,1.8164048886427215,1.8090336577845008,1.3495548086690574,1.3443007358273689
2019-02-18,1.8135746078255066,1.840731867279023,1.833261914061744,1.3676292981203284,1.3623048578629977
2019-02-19,1.8070182032877917,1.8340772842719224,1.8266343363043638,1.3626850675949247,1.357379876164807
2019-02-20,1.811761033217681,1.8388911354117439,1.8314286521476824,1.366261668822208,1.3609425530051347
2019-02-21,1.8096531088043968,1.8367516460162676,1.8292978451062072,1.3646720682767486,1.3593591410761001
2019-02-22,1.8921850367929527,1.920519443194827,1.9127257005815985,1.4269099725021732,1.4213547413356438
2019-02-25,2.0498671231923655,2.0805627301277294,2.072119508963399,1.5458191368773546,1.539800969780281
2019-02-26,2.0462776814467474,2.076919538511354,2.0684911019397276,1.5157384129339198,1.509837355800602
2019-02-27,2.018076551559032,2.0482961125692394,2.0399838339544054,1.495547422408614,1.4897249726310584
2019-02-28,2.0412156963245915,2.071781753009815,2.063374166306667,1.512695279502607,1.5068060698649317
2019-03-01,2.0889654200955317,2.120246502030715,2.111642238443601,1.548081437798329,1.542054463134677
2019-03-04,2.092158422421892,2.1234873177705618,2.1148699024896067,1.5949095239950752,1.588700238709925
2019-03-05,2.0957097258410533,2.1270917999604975,2.1184597571752275,1.6359177042478252,1.6295487663388843
2019-03-06,2.097805974283926,2.1292194385444745,2.1205787614974914,1.6607107077096936,1.6542452459357595
2019-03-07,2.0969800012274753,2.1283810970061876,2.119743822069084,1.6399109356577362,1.6335264513415158
2019-03-08,2.0922776370389338,2.123608317559425,2.114990411244019,1.5846388325260785,1.57846953299087
2019-03-11,2.177647910921654,2.2102569632650892,2.201287424351113,1.649635208020736,1.643212865267793
2019-03-12,2.1778875213968,2.2105001617722984,2.2015296359239924,1.664060873123963,1.6575823685206417
2019-03-13,2.1759697701802048,2.208553693310142,2.19959106650928,1.616215173576425,1.6099229413563885
2019-03-14,2.159833462520626,2.192175753521484,2.183279590742999,1.6050082590160162,1.5987596574399912
2019-03-15,2.165209969146458,2.1976327703092697,2.1887144621760837,1.6090036307374282,1.6027394744214853
2019-03-18,2.223986807960711,2.257289759217513,2.2481293544899503,1.6526816797040522,1.6462474764590187
2019-03-19,2.2221195029255263,2.255394492339953,2.24624177887648,1.6433466662735658,1.6369488060063995
2019-03-20,2.2217645613497985,2.2550342357138153,2.245882984223263,1.6393694911484669,1.6329871147784176
2019-03-21,2.2345340264203544,2.2679949163398314,2.2587910685533914,1.6495620192401268,1.6431399614249889
2019-03-22,2.227280882377682,2.260633160545665,2.25145918781727,1.6442076541727768,1.6378064419164144
2019-03-25,2.223264209528564,2.256556340280371,2.2473989118717643,1.6108994469191609,1.604627909831241
2019-03-26,2.171891404885381,2.2044142567894744,2.195468428414122,1.5744117606698396,1.5682822770651477
2019-03-27,2.185417326462753,2.2181427214329217,2.209141180984315,1.5842167490580306,1.5780490927738207
2019-03-28,2.1618477345541316,2.194220188145482,2.185315728758855,1.5671310685255453,1.561029930036308
2019-03-29,2.2613309931353838,2.2951931525557168,2.2858789304362537,1.6392468345107916,1.6328649356662974
2019-04-01,2.345912258771143,2.38104097505981,2.371378370196879,1.7005600931063827,1.693939490116823
2019-04-02,2.3310439067446524,2.3659499778265065,2.3563486143889776,1.689781972137889,1.6832033304175578
2019-04-03,2.364497062115196,2.3999040753783185,2.390164921356101,1.7140322827788481,1.7073592299996088
2019-04-04,2.358517856673264,2.3938353346987333,2.3841208084942718,1.7096979356075004,1.7030417572638994
2019-04-08,2.3239177644220006,2.358717125531668,2.3491451140433455,1.6846162063653678,1.6780576759509855
2019-04-09,2.3305573551442613,2.3654561403896284,2.3558567810150577,1.6894292691619919,1.6828520005812435
2019-04-10,2.332321047474934,2.3672462430207175,2.357639619153612,1.6907077759700986,1.6841255299198505
2019-04-11,2.338883596358196,2.373907062381483,2.3642734079566425,1.6604248867284335,1.653960537709792
2019-04-12,2.3325215723876003,2.3674497706811373,2.3578423208696733,1.6547160920298774,1.6482739684317906
2019-04-15,2.327404612637735,2.3622561873377674,2.3526698138304054,1.651086065306607,1.6446580740910652
2019-04-16,2.351227178244963,2.38643548246263,2.3767509859170244,1.6679860516262908,1.6614922655585675
2019-04-17,2.3437713947632672,2.378868052817844,2.369214265984189,1.6626968379907556,1.6562236438349265
2019-04-18,2.339737364823915,2.3747736155496546,2.3651364445281056,1.665070276011784,1.6585878416115662
2019-04-19,2.3743147643040716,2.4098687921341324,2.4000891998659597,1.6835995481827353,1.6770449758114887
2019-04-22,2.31495689519647,2.3496220723307792,2.340086969869311,1.6616156233131953,1.655146638531181
2019-04-23,2.310922865257118,2.3455276350625898,2.3360091484132277,1.652104053700677,1.645672099263234
2019-04-24,2.317156803441932,2.351854922964571,2.342310759275842,1.6469866103475792,1.6405745790877408
2019-04-25,2.31110248090201,2.345709940350714,2.336190713880416,1.6039905903680953,1.5977459507691392
2019-04-26,2.3197847831579166,2.3545222551983276,2.344967267093857,1.6088572173914168,1.6025936310904003
2019-04-29,2.338776030354559,2.373797885637457,2.3641646742674616,1.6220283552234314,1.6157134911846507
2019-04-30,2.331370216918873,2.3662811743120065,2.356678466831767,1.6168921475531497,1.6105972797450196
2019-05-06,2.2455480182860743,2.27917383653738,2.269924623093738,1.5573712537679876,1.5513081120887562
2019-05-07,2.2715541257507947,2.3055693708306126,2.2962130405331687,1.5754074586757185,1.5692740986298346
2019-05-08,2.233546808609743,2.2669929154979047,2.25779313397421,1.5490479675108424,1.5430172299636968
2019-05-09,2.2324300352054385,2.2658594190401558,2.256664237407223,1.548273443527087,1.542245721348715
2019-05-10,2.2327071452850027,2.266140678687262,2.2569443556624496,1.5484656296965782,1.5424371593009962
2019-05-13,2.241065484854531,2.274624179689527,2.26539342940416,1.5542624497462116,1.5482114112306873
2019-05-14,2.255885382866195,2.289665997336391,2.280374205203419,1.5645406014308745,1.5584495481213734
2019-05-15,2.2476544101657003,2.2813117704503685,2.2720538809650956,1.5588321150525324,1.5527632859632372
2019-05-16,2.255731424255677,2.2895097332822965,2.280218575291208,1.5644338253956538,1.5583431877855103
2019-05-17,2.253723157561604,2.28747139392431,2.2781885078059023,1.563041017584919,1.556955802439758
2019-05-20,2.2449609598894584,2.2785779872715475,2.2693311918694574,1.5569641068872588,1.5509025503080582
2019-05-21,2.2444985058504545,2.2781086082434814,2.2688637176486277,1.556643377773177,1.5505830698532506
2019-05-22,2.24353335829405,2.277129008145402,2.267888092907869,1.5559740119668133,1.5499163100149305
2019-05-23,2.2477047654013536,2.281362879727346,2.272104782833317,1.5588670382854561,1.5527980732333913
2019-05-24,2.258962182290591,2.2927888701011914,2.2834844049038416,1.5666744765197818,1.560575115629825
2019-05-27,2.2605440885807107,2.294394464548041,2.2850834836187603,1.5677715874977367,1.5616679553466526
2019-05-28,2.2573802760004718,2.2911832756543418,2.281885326188923,1.5655773655418266,1.5594822759129974
2019-05-29,2.26291694801589,2.2968028562183154,2.2874821016911384,1.5694172539646694,1.563307214921894
2019-05-30,2.2518436039850536,2.285563695090368,2.2762885506867074,1.561737477118984,1.5556573369041007
2019-05-31,2.2763631514819056,2.310450409016537,2.301074270767947,1.578742697277287,1.5725963525149287
2019-06-03,2.3048374647040557,2.3393511090598293,2.329857687636483,1.5984906948804776,1.5922674674178257
2019-06-04,2.3285660590558472,2.3634350257625725,2.3538438683602623,1.6149473595498027,1.6086600631702395
2019-06-05,2.343594168811982,2.3786881730076437,2.3690351161519896,1.6253699138403757,1.6190420404801018
2019-06-06,2.3428032156669225,2.377885375784219,2.3682355767945302,1.6248213583513982,1.618495620621688
2019-06-10,2.3356846373613847,2.3706602007733957,2.361039722577396,1.6198843589506002,1.6135778418959636
2019-06-11,2.323029387040429,2.357815445198599,2.348247092858047,1.61110747112696,1.6048351241613428
2019-06-12,2.3449415574945913,2.3782523810090783,2.3686010926596905,1.6263043781158486,1.6199728667089097
2019-06-13,2.348651725289277,2.370654130590519,2.36103367702819,1.6288775177784374,1.6225359886507418
2019-06-14,2.376815586003279,2.332662878497722,2.3231965988706866,1.6484102049950704,1.6419926314112543
2019-06-17,2.352276656061749,2.3065020720343075,2.2971419567019646,1.6313915423889003,1.6250402256865584
2019-06-18,2.368599547737852,2.3194920937608163,2.3100792630622036,1.642712076204131,1.6363166865164682
2019-06-19,2.3589018514803497,2.31022647953807,2.3008512500273346,1.6359863623666975,1.6296171571586775
2019-06-20,2.3999399566248725,2.3341650388787007,2.3246926632699694,1.6644478179849873,1.65796780693193
2019-06-21,2.4156566557514267,2.375050095292181,2.36541180227629,1.675347934671202,1.668825487396448
2019-06-24,2.4294648912633545,2.386476454358297,2.376791791542879,1.6849244607024503,1.6783647301954667
2019-06-25,2.402728617534042,2.388042533065806,2.37835151487898,1.6663818582731846,1.659894317634454
2019-06-26,2.4033580984398673,2.3657590879672137,2.356158499188041,1.666818426745355,1.6603291864627578
2019-06-27,2.396250530305915,2.358762713220912,2.3491905167312273,1.6618890633089571,1.6554190139731757
2019-06-28,2.393473673247078,2.35602929832648,2.3464681944254266,1.659963209430955,1.6535006578095996
2019-07-01,2.452395673495451,2.414029501317155,2.404233024295967,1.7008278129282188,1.6942061676546143
2019-07-02,2.4561170629848212,2.4176926720323553,2.4078813293404218,1.7034087352543614,1.6967770419606147
2019-07-03,2.4356494207932813,2.397545233098753,2.387815651595919,1.6892136624605754,1.6826372332776098
2019-07-04,2.4195233996726735,2.3816714933328833,2.3720063297366125,1.6780296657139555,1.6714967779516055
2019-07-05,2.43192803130391,2.3938820623835517,2.3841673465514632,1.686632740134432,1.6800663589716087
2019-07-08,2.3761071889633465,2.3389345016555443,2.329442770884636,1.6479189052422878,1.6415032443815951
2019-07-09,2.3488027506939053,2.3120572239749095,2.3026745650413782,1.628982259526038,1.622640322618853
2019-07-10,2.3765008963388805,2.3393220497293306,2.329828746232904,1.648191955982713,1.641775232083698
2019-07-11,2.3753126458907112,2.338152388704466,2.3286638318597874,1.6473678600047217,1.6409543444676562
2019-07-12,2.3686483459932153,2.338152388704466,2.3286638318597874,1.6473678600047217,1.6409543444676562
2019-07-15,2.3891857593977806,2.3572461736012422,2.347680131446261,1.6608205706649626,1.6543546811737064
2019-07-16,2.386796573638383,2.3548889274276408,2.345332451314815,1.6591597500942976,1.6527003264925326
2019-07-17,2.372182034618259,2.3404697613796994,2.330971800305226,1.6490005873167974,1.6425807152626248
2019-07-18,2.350443825824506,2.3190221576098966,2.3096112339794046,1.6338894708236307,1.6275284292121082
2019-07-19,2.349268603911594,2.3178626465310916,2.308456428362415,1.6330725260882188,1.6267146649975022
2019-07-22,2.304204362701047,2.2734008420263714,2.264175056220229,1.6017465320714332,1.5955106290170595
2019-07-23,2.3028455766296614,2.2720602207477967,2.2628398753745667,1.6008019843946302,1.5945697586435157
2019-07-24,2.3308130301458347,2.271254638397543,2.2620375621927216,1.6002344035650804,1.594004387513789
2019-07-25,2.3481103439131505,2.2858218504289725,2.2765456583940207,1.6104978735708773,1.6042278998841697
2019-07-26,2.3382441468394477,2.2762173746809866,2.2669801589824528,1.6037309473705736,1.5974873186110543
2019-07-29,2.341228504397635,2.279122565969667,2.2698735605893225,1.60577782796709,1.5995262303131745
