date,baseline,leader_margin_005,leader_margin_010,leader_margin_015,cash_tail_soft,cash_tail_mid,cash_tail_strict
2024-04-26,5.89336729589463,5.18124532421519,4.963678298467605,4.407070768380668,5.659646045169151,5.6224835432200635,5.89336729589463
2024-04-29,5.876529103620645,5.166441766146004,4.949496360471983,4.394479137613866,5.643475627897239,5.606419304525149,5.876529103620645
2024-04-30,5.876529103620645,5.166441766146004,4.949496360471983,4.394479137613866,5.643475627897239,5.606419304525149,5.876529103620645
2024-05-06,6.129101987730416,5.388495137183799,5.162225430406309,4.5833535991158945,5.886031886975918,5.847382884948867,6.129101987730416
2024-05-07,6.087006507045454,5.351486242010834,5.126770585417255,4.55187452219889,5.845605843796138,5.80722228821158,6.087006507045454
2024-05-08,6.028072834086508,5.299673788768683,5.077133802432579,4.507803814515084,5.789009383344446,5.75099745277938,6.028072834086508
2024-05-09,6.129101987730416,5.3884951371838,5.162225430406309,4.583353599115895,5.886031886975917,5.847382884948867,6.129101987730416
2024-05-10,6.289064814333271,5.529128938841071,5.296953841364716,4.702974091400514,6.03965085105908,5.999993152550555,6.289064814333271
2024-05-13,6.347998487292218,5.580941392083223,5.346590624349393,4.747044799084321,6.096247311510773,6.056217987982756,6.347998487292218
2024-05-14,6.339579391155225,5.57353961304863,5.339499655351582,4.740748983700921,6.088162102874817,6.048185868635299,6.339579391155225
2024-05-15,6.347998487292218,5.580941392083223,5.346590624349393,4.747044799084321,6.096247311510773,6.056217987982756,6.347998487292218
2024-05-16,6.474284929347103,5.69196807760212,5.452955159316556,4.841482029835336,6.217525441050112,6.176699778194616,6.474284929347103
2024-05-17,6.491123121621087,5.7067716356713065,5.467137097312177,4.854073660602138,6.233695858322024,6.19276401688953,6.491123121621087
2024-05-20,6.541637698443041,5.751182309878865,5.509682911299042,4.891848552902544,6.28220711013776,6.240956732974273,6.541637698443041
2024-05-21,6.381674871840187,5.610548508221595,5.374954500340636,4.772228060617926,6.1285881460545975,6.088346465372585,6.381674871840187
2024-05-22,6.415351256388157,5.640155624359968,5.40331837633188,4.79741132215153,6.160928980598421,6.1204749427624145,6.415351256388157
2024-05-23,6.356417583429211,5.588343171117816,5.353681593347204,4.753340614467723,6.10433252014673,6.0642501073302135,6.356417583429211
2024-05-24,6.2132929491003415,5.462512927529732,5.23313512038442,4.646311752949907,5.966883973335479,5.9277040784234405,6.2132929491003415
2024-05-27,6.322741198881242,5.558736054979443,5.325317717355961,4.72815735293412,6.071991685602907,6.032121629940384,6.322741198881242
2024-05-28,6.297483910470264,5.536530717875663,5.304044810362528,4.709269906783916,6.047736059695039,6.0080252718980125,6.297483910470264
