date,nav,drawdown,signal,holding,exposure,current_momentum,effective_momentum,absolute_momentum_threshold
2023-04-06,4.040996955390405,-0.1116363703867086,159941,159941,1.0,0.06386292834890983,0.06386292834890983,0.05
2023-04-07,4.076496196579778,-0.10383229750577216,159941,159941,1.0,0.09191759112519815,0.09191759112519815,0.05
2023-04-10,4.058746575985091,-0.10773433394624055,159941,159941,1.0,0.0735524256651019,0.0735524256651019,0.05
2023-04-11,4.076496196579778,-0.10383229750577216,159941,159941,1.0,0.05190839694656524,0.05190839694656524,0.05
2023-04-12,4.049182488754654,-0.1098368812482462,518880,518880,0.8,0.06501472031403344,0.04420731707317094,0.05
2023-04-13,4.052913594480297,-0.10901664340558159,518880,518880,0.8,0.07760971981155462,0.046153846153846434,0.05
2023-04-14,4.064173532198307,-0.10654128416853803,159941,159941,1.0,0.050535987748851596,0.050535987748851596,0.05
2023-04-17,4.081946885837658,-0.1026340303092168,159941,159941,1.0,0.07993730407523536,0.07993730407523536,0.05
2023-04-18,4.076022434624541,-0.10393644826232384,159941,159941,1.0,0.07500000000000018,0.07500000000000018,0.05
2023-04-19,4.070097983411425,-0.10523886621543077,159941,159941,1.0,0.08874801901743301,0.08874801901743301,0.05
2023-04-20,4.070097983411425,-0.10523886621543077,159941,159941,1.0,0.06346749226006221,0.06346749226006221,0.05
2023-04-21,4.0482723051423015,-0.11003697395467726,513880,513880,1.0,0.06114398422090739,0.06114398422090739,0.05
2023-04-24,4.044628860067673,-0.11083794067811803,512890,512890,0.8,0.03333333333333366,0.049756097560975876,0.05
2023-04-25,4.061845409934095,-0.1070530933007029,513880,513880,1.0,0.055937193326791146,0.055937193326791146,0.05
2023-04-26,4.054418197253755,-0.10868587493539705,512890,512890,0.8,0.05156950672645744,0.046738072054527846,0.05
2023-04-27,4.061334049189369,-0.10716550969008432,512890,512890,0.8,0.047937569676700154,0.03578336557059947,0.05
2023-04-28,4.130463139388335,-0.09196832687629886,512890,512890,0.8,0.07023411371237431,0.04835589941972929,0.05
2023-05-04,4.226475410858155,-0.07086120630384452,513880,513880,1.0,0.05587668593448947,0.05587668593448947,0.05
2023-05-05,4.218818780449159,-0.07254442261304517,512890,512890,0.8,0.1143827859569646,0.04985618408437209,0.05
2023-05-08,4.31142699758097,-0.05218564164601447,512890,512890,0.8,0.14108352144469483,0.04118773946360155,0.05
2023-05-09,4.267076017586072,-0.061935660762613365,512890,512890,0.8,0.13280363223609526,0.03897338403041828,0.05
2023-05-10,4.1815634721434645,-0.08073454531646895,512890,512890,0.8,0.10192525481313663,0.03809523809523818,0.05
2023-05-11,4.205630024501125,-0.0754438088866356,512890,512890,0.8,0.1048478015783536,0.03689687795648067,0.05
2023-05-12,4.143533639701814,-0.08909493765390541,513880,513880,1.0,0.050943396226415194,0.050943396226415194,0.05
2023-05-15,4.136088297433778,-0.09073170485614812,512890,512890,0.8,0.06319290465631866,0.040186915887850505,0.05
2023-05-16,4.090999069423361,-0.1006440187465022,513880,513880,1.0,0.06178707224334601,0.06178707224334601,0.05
2023-05-17,4.138611413114054,-0.09017702881248657,513880,513880,1.0,0.07414448669201512,0.07414448669201512,0.05
2023-05-18,4.211861172638197,-0.07407396737553928,513880,513880,1.0,0.09628217349857016,0.09628217349857016,0.05
2023-05-19,4.222848636566819,-0.07165850815999719,513880,513880,1.0,0.09392789373814048,0.09392789373814048,0.05
2023-05-22,4.252148540376475,-0.0652172835852185,513880,513880,1.0,0.09839167455061504,0.09839167455061504,0.05
2023-05-23,4.182665466611462,-0.0804922853454243,159941,159941,0.7,0.1014705882352942,0.1014705882352942,0.05
2023-05-24,4.139045152086138,-0.09008167661801603,159941,159941,1.0,0.07580174927113692,0.07580174927113692,0.05
2023-05-25,4.200738237008831,-0.07651920838332527,159941,159941,1.0,0.08708272859216248,0.08708272859216248,0.05
2023-05-26,4.217563623805929,-0.07282035341022774,159941,159941,1.0,0.09302325581395365,0.09302325581395365,0.05
2023-05-29,4.368992104979812,-0.03953065865235028,159941,159941,1.0,0.13391557496360962,0.13391557496360962,0.05
2023-05-30,4.374600567245511,-0.03829770699465118,159941,159941,1.0,0.13537117903930107,0.13537117903930107,0.05
2023-05-31,4.357775180448413,-0.0419965619677487,159941,159941,1.0,0.1359649122807014,0.1359649122807014,0.05
2023-06-01,4.352166718182715,-0.04322951362544769,159941,159941,1.0,0.13782991202346007,0.13782991202346007,0.06
2023-06-02,4.408251340839708,-0.03089999704845603,159941,159941,1.0,0.15080527086383588,0.15080527086383588,0.06
2023-06-05,4.430685189902506,-0.02596819041765941,159941,159941,1.0,0.15835777126099648,0.15835777126099648,0.05
2023-06-06,4.436293652168205,-0.02473523875996031,159941,159941,1.0,0.15812591508052676,0.15812591508052676,0.05
2023-06-07,4.453119038965303,-0.02103638378686279,159941,159941,1.0,0.1424460431654675,0.1424460431654675,0.05
2023-06-08,4.352166718182714,-0.0432295136254478,159941,159941,1.0,0.12301013024602003,0.12301013024602003,0.05
2023-06-09,4.425076727636806,-0.02720114207535862,159941,159941,1.0,0.14513788098693725,0.14513788098693725,0.05
2023-06-12,4.4755528880281,-0.016104577156066058,159941,159941,1.0,0.13999999999999946,0.13999999999999946,0.05
2023-06-13,4.576505208810689,0.0,159941,159941,1.0,0.16405135520684677,0.16405135520684677,0.05
2023-06-14,4.582113671076388,0.0,159941,159941,1.0,0.1654778887303845,0.1654778887303845,0.05
2023-06-15,4.610155982404885,0.0,159941,159941,1.0,0.157746478873239,0.157746478873239,0.05
2023-06-16,4.65502368053048,0.0,159941,159941,1.0,0.16573033707865115,0.16573033707865115,0.05
2023-06-19,4.632589831467682,-0.004819277108433884,159941,159941,1.0,0.1617440225035156,0.1617440225035156,0.05
2023-06-20,4.6269813692019826,-0.006024096385542244,159941,159941,1.0,0.15546218487394903,0.15546218487394903,0.05
2023-06-21,4.643806755999081,-0.002409638554216942,159941,159941,1.0,0.15159944367176625,0.15159944367176625,0.05
2023-06-26,4.610155982404885,-0.009638554216867434,159941,159941,1.0,0.1275720164609051,0.1275720164609051,0.05
2023-06-27,4.548462897482192,-0.02289156626506017,159941,159941,1.0,0.08277703604806397,0.08277703604806397,0.05
2023-06-28,4.610155982404885,-0.009638554216867434,159941,159941,1.0,0.10335570469798627,0.10335570469798627,0.05
2023-06-29,4.643806755999082,-0.00240963855421672,159941,159941,1.0,0.10547396528704933,0.10547396528704933,0.05
2023-06-30,4.643806755999082,-0.00240963855421672,159941,159941,1.0,0.12195121951219501,0.12195121951219501,0.05
2023-07-03,4.727933689984573,0.0,159941,159941,1.0,0.12550066755674227,0.12550066755674227,0.05
2023-07-04,4.694282916390376,-0.007117437722420017,159941,159941,1.0,0.11303191489361675,0.11303191489361675,0.05
2023-07-05,4.699891378656076,-0.005931198102016477,159941,159941,1.0,0.07573812580231065,0.07573812580231065,0.05
2023-07-06,4.705499840921775,-0.004744958481613271,159941,159941,1.0,0.07564102564102582,0.07564102564102582,0.06
2023-07-07,4.683065991858978,-0.009489916963226541,159941,159941,1.0,0.07464607464607464,0.07464607464607464,0.06
2023-07-10,4.6438067559990825,-0.017793594306049765,159941,159941,1.0,0.0670103092783505,0.0670103092783505,0.06
2023-07-11,4.66624060506188,-0.013048635824436494,159941,159941,1.0,0.058524173027989956,0.058524173027989956,0.05
2023-07-12,4.667644403166984,-0.01275172004744951,159985,159985,0.8,0.1595022624434388,0.054430379746835955,0.06
2023-07-13,4.6361453172146465,-0.01941405670819074,159941,159941,1.0,0.07079646017699148,0.07079646017699148,0.05
2023-07-14,4.652566138881286,-0.01594090696807815,159941,159941,1.0,0.07052896725440827,0.07052896725440827,0.05
2023-07-17,4.674460567770139,-0.011310040647927955,159941,159941,1.0,0.10051546391752608,0.10051546391752608,0.06
2023-07-18,4.723723032770058,-0.0008905914275900706,159941,159941,1.0,0.0937896070975921,0.0937896070975921,0.05
2023-07-19,4.794879926658831,0.0,159941,159941,1.0,0.09774436090225591,0.09774436090225591,0.05
2023-07-20,4.734670247214486,-0.012557077625570678,159941,159941,1.0,0.06004901960784359,0.06004901960784359,0.06
2023-07-21,4.653847510332006,-0.029413127853881393,159985,159985,0.8,0.17683268047006173,0.04161566707466369,0.06
2023-07-24,4.660928971118056,-0.027936248162550914,159985,159985,0.8,0.15642151481888034,0.037712895377129296,0.06
2023-07-25,4.729946998597355,-0.013542138500791001,159985,159985,0.8,0.15812196438208304,0.026506024096385916,0.05
2023-07-26,4.7563959100527,-0.008026064717943315,159985,159985,0.8,0.14157422081352355,0.033898305084746116,0.05
2023-07-27,4.800416233144349,0.0,159985,159985,0.8,0.14992109416096788,0.04363636363636392,0.05
2023-07-28,4.756496596976515,-0.009149130832570851,159985,159985,0.8,0.11219763252701997,0.036231884057971175,0.05
2023-07-31,4.734623095712389,-0.013705715137302676,159941,159941,1.0,0.054744525547445244,0.054744525547445244,0.05
2023-08-01,4.745544948297654,-0.011430526475566305,159941,159941,1.0,0.07151664611590647,0.07151664611590647,0.05
2023-08-02,4.675801820336557,-0.02595908495338295,159985,159985,0.8,0.1505546751188589,0.04257907542579087,0.05
2023-08-03,4.632865164502429,-0.03490344597309458,159985,159985,0.8,0.14036016949152552,0.018115942028985588,0.05
2023-08-04,4.670737169562923,-0.02701412904282363,159985,159985,0.8,0.14413466596528135,0.026570048309178862,0.05
2023-08-07,4.62950583454885,-0.03560324569679052,159985,159985,0.8,0.048245614035087536,2.220446049250313e-16,0.05
2023-08-08,4.6140095807093555,-0.03883135198734522,159985,159985,0.8,0.0635551142005959,0.008363201911589346,0.05
2023-08-09,4.691555960217076,-0.02267725706276269,159985,159985,0.8,0.08320950965824658,0.005966587112172128,0.05
2023-08-10,4.696234773679624,-0.021702588776657983,159985,159985,1.0,0.08577094695091714,0.08577094695091714,0.05
2023-08-11,4.730072110203733,-0.01465375490877796,159985,159985,0.8,0.09970089730807596,0.0023952095808386087,0.05
2023-08-14,4.752371634204693,-0.010008423562926305,159985,159985,0.8,0.10507968127490042,0.004830917874396379,0.05
2023-08-15,4.783211720519496,-0.0035839626793329193,159985,159985,0.8,0.10907288051561737,0.016826923076923128,0.05
