base_pool,plus_510500_risk,plus_588000_risk,plus_510050_risk,plus_511380_defensive,plus_513660_defensive,plus_513300_defensive
1.0836672078095224,1.0836672078095224,1.0836672078095224,1.0897445032971556,1.0836672078095224,1.0836672078095224,1.0836672078095224
1.0792385843217238,1.0792385843217238,1.0792385843217238,1.0852910437219079,1.0792385843217238,1.0792385843217238,1.0792385843217238
1.0790928871128405,1.0790928871128405,1.0790928871128405,1.0851445294310054,1.0790928871128405,1.0790928871128405,1.0790928871128405
1.0889100412252652,1.0889100412252652,1.0889100412252652,1.0946170578473644,1.0889100412252652,1.0889100412252652,1.0889100412252652
1.0885795739591009,1.0885795739591009,1.0885795739591009,1.0906443068403238,1.0885795739591009,1.0885795739591009,1.0885795739591009
1.0746885472876497,1.0746885472876497,1.0746885472876497,1.0767269327522864,1.0746885472876497,1.0746885472876497,1.0746885472876497
1.0830279611723108,1.0830279611723108,1.0830279611723108,1.0850821641871475,1.0830279611723108,1.0830279611723108,1.0830279611723108
1.0861614060197897,1.0861614060197897,1.0861614060197897,1.0882215523085614,1.0861614060197897,1.0861614060197897,1.0861614060197897
1.0826080419349693,1.0826080419349693,1.0826080419349693,1.0846614484797292,1.0826080419349693,1.0826080419349693,1.0826080419349693
1.0821598944894768,1.0821598944894768,1.0821598944894768,1.084212451023095,1.0821598944894768,1.0821598944894768,1.0821598944894768
1.080140970463673,1.080140970463673,1.080140970463673,1.082189697659574,1.080140970463673,1.080140970463673,1.080140970463673
1.0759698810570506,1.0759698810570506,1.0759698810570506,1.078010696855701,1.0759698810570506,1.0759698810570506,1.0759698810570506
1.0726351215286252,1.0726351215286252,1.0726351215286252,1.0746696122153463,1.0726351215286252,1.0726351215286252,1.0726351215286252
1.0726351215286252,1.0726351215286252,1.0726351215286252,1.0746696122153463,1.0726351215286252,1.0726351215286252,1.0726351215286252
1.0726351215286252,1.0726351215286252,1.0726351215286252,1.0746696122153463,1.0726351215286252,1.0726351215286252,1.0726351215286252
1.0726351215286252,1.0726351215286252,1.0726351215286252,1.0746696122153463,1.0726351215286252,1.0726351215286252,1.0726351215286252
