date,entry_risk_score,entry_risk_level
2014-12-16,98.98776050281178,高
2014-12-17,99.04730400264638,高
2014-12-18,99.11729773830646,高
2014-12-19,99.34502150181939,高
2014-12-22,99.1276406342518,高
2014-12-23,98.26289441223334,高
2014-12-24,89.642808365846,高
2014-12-25,99.30036387694344,高
2014-12-26,99.40456500165399,高
2014-12-29,98.92133995054232,高
2014-12-30,98.69805182616255,高
2014-12-31,99.19616275223288,高
2015-01-05,99.35990737677804,高
2015-01-06,98.80624142572468,高
2015-01-07,98.73879347106322,高
2015-01-08,96.23462940838591,高
2015-01-09,93.20077971644227,高
2015-01-12,85.07945851480606,高
2015-01-13,85.36363504180143,高
2015-01-14,71.3065264518886,高
2015-01-15,94.49222626529938,高
2015-01-16,91.3661925239828,高
2015-01-19,54.67339925403033,中
2015-01-20,61.88481442337316,中
2015-01-21,85.53661143298297,高
2015-01-22,79.42772080714522,高
2015-01-23,74.84287131988093,高
2015-01-26,78.57922593450215,高
2015-01-27,75.35718152273675,高
2015-01-28,76.77401345444753,高
2015-01-29,77.23243125112849,高
2015-01-30,66.6104981956974,中
2015-02-02,67.36937518669949,中
2015-02-03,66.38495811722866,中
2015-02-04,57.93136503931351,中
2015-02-05,63.84323849676284,中
2015-02-06,57.747431863366906,中
2015-02-09,45.72088490405161,中
2015-02-10,45.64145038665079,中
2015-02-11,43.45908846124961,中
2015-02-12,40.73259416806205,中
2015-02-13,42.71355708179924,中
2015-02-16,41.54994381646663,中
2015-02-17,39.311899273932625,低
2015-02-25,,
2015-02-26,36.33728882009376,低
2015-02-27,,
2015-03-02,,
2015-03-03,31.407606323996877,低
2015-03-04,,
2015-03-05,,
2015-03-06,,
2015-03-09,32.490604075418354,低
2015-03-10,,
2015-03-11,28.893348966435234,低
2015-03-12,30.45650128994441,低
2015-03-13,45.344395896438236,中
2015-03-16,68.21638304781182,中
2015-03-17,68.82804125791755,中
2015-03-18,83.75663997376147,高
2015-03-19,83.20941089047096,高
2015-03-20,89.9922552506182,高
2015-03-23,96.12967251075091,高
2015-03-24,94.16867851005081,高
2015-03-25,91.14072310657791,高
2015-03-26,90.94425061173408,高
2015-03-27,92.91432351968244,高
2015-03-30,95.16209063843864,高
2015-03-31,90.13236787706028,高
2015-04-01,96.02547138604037,高
2015-04-02,92.98833872756762,高
2015-04-03,95.05788951372809,高
2015-04-07,95.84684088653655,高
2015-04-08,97.64803175653324,高
2015-04-09,95.34282064328,高
2015-04-10,98.15415150512736,高
2015-04-13,98.74958650347338,高
2015-04-14,98.28812437975522,高
2015-04-15,97.50093902718069,高
2015-04-16,98.95798875289448,高
2015-04-17,98.91333112801853,高
2015-04-20,97.11172724835922,高
2015-04-21,98.21369500496196,高
2015-04-22,98.57095600396957,高
2015-04-23,97.73958076159923,高
2015-04-24,97.54079285883276,高
2015-04-27,98.07972213033412,高
2015-04-28,95.88791905418985,高
2015-04-29,97.04025652963264,高
2015-04-30,96.94256829624457,高
2015-05-04,97.48428713198808,高
2015-05-05,91.6000205009402,高
2015-05-06,82.77666081625678,高
2015-05-07,76.71781137160303,高
2015-05-08,80.87085419984389,高
2015-05-11,92.9589811445584,高
2015-05-12,92.36354614621239,高
2015-05-13,86.16132182072727,高
2015-05-14,83.01420545077751,高
2015-05-15,74.14114077610743,高
2015-05-18,60.51494420027437,中
2015-05-19,77.56195096390258,高
2015-05-20,79.21931855772412,高
2015-05-21,87.58518028448562,高
2015-05-22,84.84617929209395,高
2015-05-25,88.16572940787299,高
2015-05-26,93.613959642739,高
2015-05-27,90.95869857095636,高
2015-05-28,44.71198492562844,中
2015-05-29,44.87098085677905,中
2015-06-01,70.45837195889129,高
2015-06-02,74.01056873217156,高
2015-06-03,72.97132115598464,高
2015-06-04,77.99105693765209,高
2015-06-05,79.62175771527566,高
2015-06-08,88.86536553092954,高
2015-06-09,91.78634848834793,高
2015-06-10,92.48026720955514,高
2015-06-11,93.99381558572391,高
2015-06-12,95.2067482633146,高
2015-06-15,83.85910554226277,高
2015-06-16,64.7881813534679,中
2015-06-17,76.83935589449767,高
2015-06-18,51.703504849645235,中
2015-06-19,21.488113968984262,低
2015-06-23,22.604482883308822,低
2015-06-24,25.210029098684867,低
2015-06-25,24.934872526177593,低
2015-06-26,15.509110777149202,低
2015-06-29,,
2015-06-30,12.877989651597051,低
2015-07-01,,
2015-07-02,,
2015-07-03,,
2015-07-06,,
2015-07-07,,
2015-07-08,,
2015-07-09,,
2015-07-10,,
2015-07-13,,
2015-07-14,,
2015-07-15,,
2015-07-16,,
2015-07-17,,
2015-07-20,,
2015-07-21,,
2015-07-22,,
2015-07-23,,
2015-07-24,,
2015-07-27,,
2015-07-28,,
2015-07-29,,
