date,horizon,bucket,risk_leader,risk_leader_momentum,ret,mdd
2013-04-11,20,<=0%,510300,-0.053195560658247265,0.0,0.0
2013-04-12,20,<=0%,510300,-0.0662627792502839,0.0,0.0
2013-04-15,20,<=0%,510300,-0.06439248754311999,0.0,0.0
2013-04-16,20,<=0%,510300,-0.057197696737044,0.0,0.0
2013-04-17,20,<=0%,510300,-0.048318515655198846,-0.0004999999999998339,-0.0004999999999998339
2013-04-18,20,<=0%,510300,-0.032549019607842844,-0.0004999999999998339,-0.0004999999999998339
2013-04-19,20,0-5%,510300,0.0059476605868362675,0.0006470925784238801,-0.0004999999999998339
2013-04-22,20,0-5%,510300,0.000791452314998109,-0.010059104820199005,-0.01069927397783732
2013-04-23,20,<=0%,510300,-0.030446816923685005,-0.0047060061208874515,-0.01069927397783732
2013-04-24,20,<=0%,510300,-0.0031974420463625197,-0.007000191277734991,-0.01069927397783732
2013-04-25,20,<=0%,510300,-0.022187004754358197,0.013647475133894416,-0.01069927397783732
2013-04-26,20,<=0%,510300,-0.059976931949250356,0.009701094299923607,-0.01069927397783732
2013-05-02,20,<=0%,510300,-0.06173312883435578,0.009701094299923607,-0.01069927397783732
2013-05-03,20,<=0%,510300,-0.047418738049713194,0.009196243752773725,-0.01069927397783732
2013-05-06,20,<=0%,510300,-0.03485254691688999,0.010627714048615067,-0.01069927397783732
2013-05-07,20,<=0%,510300,-0.016355140186915862,0.010627714048615067,-0.01069927397783732
2013-05-08,20,<=0%,510300,-0.012432012432012085,0.010627714048615067,-0.01069927397783732
2013-05-09,20,0-5%,510300,0.014033680834001805,0.010627714048615067,-0.01069927397783732
2013-05-10,20,0-5%,510300,0.020908725371934667,0.010627714048615067,-0.01069927397783732
2013-05-13,20,0-5%,510300,0.01852597664116029,0.010627714048615067,-0.01069927397783732
2013-05-14,20,0-5%,510300,0.0020104543626864313,0.010627714048615067,-0.01069927397783732
2013-05-15,20,0-5%,510300,0.008863819500403602,0.010627714048615067,-0.01069927397783732
2013-05-16,20,0-5%,510300,0.03441295546558765,0.010627714048615067,-0.01069927397783732
2013-05-17,20,0-5%,510300,0.04587525150905525,0.010627714048615067,-0.01069927397783732
2013-05-20,20,>5%,510300,0.051911468812878114,0.011133280688959468,-0.01069927397783732
2013-05-21,20,>5%,510300,0.05658852061439035,0.011133280688959468,-0.01069927397783732
2013-05-22,20,>5%,510300,0.06123276561232838,0.009974167260580868,-0.01069927397783732
2013-05-23,20,>5%,510300,0.06063088897992697,0.02089702422593298,-0.004391301207091414
2013-05-24,20,>5%,510300,0.0598534201954406,0.015406221944272103,-0.004391301207091414
2013-05-27,20,>5%,510300,0.05483346872461459,0.01775217393952233,-0.004391301207091414
2013-05-28,20,>5%,510300,0.07458451560599966,-0.002979103839705566,-0.004391301207091414
2013-05-29,20,0-5%,510300,0.04138746551044625,0.000917716890595166,-0.0004999999999998339
2013-05-30,20,0-5%,510300,0.04191379992091826,0.000917716890595166,-0.0004999999999998339
2013-05-31,20,>5%,510300,0.062398042414356425,0.0014184261036469525,0.0
2013-06-03,20,0-5%,510300,0.046511627906977715,0.0,0.0
2013-06-04,20,0-5%,510300,0.042139384116695044,0.0,0.0
2013-06-05,20,0-5%,510300,0.04907975460122804,0.0,0.0
2013-06-06,20,0-5%,510300,0.03800572129137847,0.0,0.0
2013-06-07,20,0-5%,510300,0.0012043356081909984,0.0,0.0
2013-06-13,20,<=0%,510300,-0.04087301587301484,0.0,0.0
2013-06-14,20,<=0%,510300,-0.03642121931908038,0.0,0.0
2013-06-17,20,<=0%,510300,-0.04838709677419262,0.0,0.0
2013-06-18,20,<=0%,510300,-0.0371688414393031,0.0,0.0
2013-06-19,20,<=0%,510300,-0.04647499015360301,0.0,0.0
2013-06-20,20,<=0%,510300,-0.07275603005140285,0.0,0.0
2013-06-21,20,<=0%,510300,-0.06340288924558513,0.0,0.0
2013-06-24,20,<=0%,510300,-0.12499999999999967,0.0,0.0
2013-06-25,20,<=0%,510300,-0.14207436399217177,0.0,0.0
2013-06-26,20,<=0%,510300,-0.15852250865717565,0.0,0.0
2013-06-27,20,<=0%,510300,-0.16296863045141508,0.0,0.0
2013-06-28,20,<=0%,510300,-0.14766641162968586,0.0,0.0
2013-07-01,20,<=0%,510300,-0.14520443255636206,0.0,0.0
2013-07-02,20,<=0%,510300,-0.13325608342989548,0.0,0.0
2013-07-03,20,<=0%,510300,-0.1398386477141761,0.0,0.0
2013-07-04,20,<=0%,510300,-0.1316904120138621,-0.0004999999999998339,-0.0004999999999998339
2013-07-05,20,<=0%,510300,-0.14635986420218772,-0.0027386538294170704,-0.0027386538294170704
2013-07-08,20,<=0%,510300,-0.16654049962149897,-0.0027386538294170704,-0.0027386538294170704
2013-07-09,20,<=0%,510300,-0.1662239089184061,-0.0027386538294170704,-0.0027386538294170704
2013-07-10,20,<=0%,510300,-0.1332053742802305,-0.0027386538294170704,-0.0027386538294170704
2013-07-11,20,<=0%,510300,-0.09157088122605361,-0.0027386538294170704,-0.0027386538294170704
2013-07-12,20,<=0%,510300,-0.10108864696734088,-0.0027386538294170704,-0.0027386538294170704
2013-07-15,20,<=0%,510300,-0.08576998050682272,-0.00323728450250238,-0.00323728450250238
2013-07-16,20,<=0%,510300,-0.07125984251968553,-0.00323728450250238,-0.00323728450250238
2013-07-17,20,<=0%,510300,-0.06816359262229421,-0.005307834389285504,-0.005307834389285504
2013-07-18,20,<=0%,510300,-0.05337194869673201,-0.017394462298394364,-0.017394462298394364
2013-07-19,20,<=0%,510300,-0.08586688578471702,-0.017394462298394364,-0.017394462298394364
2013-07-22,20,<=0%,510300,-0.07441091360066199,-0.017394462298394364,-0.017394462298394364
2013-07-23,20,<=0%,510300,-0.05174537987679695,-0.017394462298394364,-0.017394462298394364
2013-07-24,20,<=0%,510300,-0.0532837670384142,-0.017394462298394364,-0.017394462298394364
2013-07-25,20,<=0%,510300,-0.02515991471215373,-0.017394462298394364,-0.017394462298394364
2013-07-26,20,<=0%,510300,-0.02956298200514129,-0.017885765067245152,-0.017885765067245152
2013-07-29,20,0-5%,510300,0.013692377909630515,0.003967012090009048,-0.017885765067245152
2013-07-30,20,0-5%,510300,0.019160583941605802,0.003465028583963914,-0.017885765067245152
2013-07-31,20,0-5%,510300,0.023776863283035965,0.003465028583963914,-0.017885765067245152
2013-08-01,20,>5%,510300,0.05027422303473483,0.003967012090008826,-0.017394462298394586
2013-08-02,20,0-5%,510300,0.029622980251346354,0.0062207188087683996,-0.01518870785074744
2013-08-05,20,0-5%,510300,0.040232454179705,0.005717608449364198,-0.01518870785074744
2013-08-06,20,0-5%,510300,0.04367201426024936,0.021000780211363423,-0.01518870785074744
2013-08-07,20,0-5%,510300,0.038856632425189774,0.020576247662419167,-0.01518870785074744
2013-08-08,20,0-5%,510300,0.03192904656319295,0.015416224343019147,-0.01518870785074744
2013-08-09,20,0-5%,510300,0.03269995581087071,0.0077387770633630115,-0.01518870785074744
2013-08-12,20,>5%,510300,0.09309718437783876,0.016503156932074603,-0.01469605587868672
2013-08-13,20,>5%,510300,0.09558488848429714,0.029937119358489417,-0.01469605587868672
2013-08-14,20,>5%,510300,0.06377325066430517,0.03656834394227504,-0.012989219406135066
2013-08-15,20,0-5%,510300,0.00126528890763411,0.05964262210676807,-0.012989219406135066
2013-08-16,20,0-5%,510300,0.019463667820069475,0.05179647642476182,-0.012989219406135066
2013-08-19,20,0-5%,510300,0.01364605543710029,0.04642806095812557,-0.012989219406135066
2013-08-20,20,0-5%,510300,0.0004239084357782197,0.02485710688512488,-0.03282759158222903
2013-08-21,20,0-5%,510300,0.015490533562823039,0.018572049886212527,-0.0387588903689996
2013-08-22,20,0-5%,510300,0.027972027972028135,0.030233539259670206,-0.0387588903689996
2013-08-23,20,>5%,510300,0.050337078651685685,0.020940042214071752,-0.0387588903689996
2013-08-26,20,>5%,510300,0.06699419383653415,-0.008172730473057777,-0.04365000071631031
2013-08-27,20,0-5%,510300,0.03464703334776931,-0.006770682019139995,-0.04365000071631031
2013-08-28,20,0-5%,510300,0.0375218150087262,-0.0097896161163461,-0.04568644647235687
2013-08-29,20,0-5%,510300,0.037182852143481826,-0.001632276569478619,-0.04568644647235687
2013-08-30,20,0-5%,510300,0.045033112582780976,-0.008254300055744457,-0.04568644647235687
2013-09-02,20,>5%,510300,0.06663665015758613,-0.00746252915433121,-0.04568644647235687
2013-09-03,20,>5%,510300,0.07654431512981152,-0.02830162199395292,-0.0497718065963475
2013-09-04,20,>5%,510300,0.07369361322018753,-0.03655710590339134,-0.058236629755002545
2013-09-05,20,0-5%,510300,0.04177545691906004,-0.0312773900498331,-0.058236629755002545
2013-09-06,20,0-5%,510300,0.04969485614646896,-0.02505737262305252,-0.05898317226015104
2013-09-09,20,>5%,510300,0.07305543618392774,-0.05071281231334834,-0.07623924097678514
2013-09-10,20,>5%,510300,0.08027327070879586,-0.06838765339911068,-0.08145781882297365
2013-09-11,20,>5%,510300,0.09243336199484098,-0.05072455826864941,-0.08145781882297365
2013-09-12,20,>5%,510300,0.10270734851740437,-0.05995390187074623,-0.08145781882297365
2013-09-13,20,>5%,510300,0.0898587933247752,-0.06426972820861765,-0.07460571774627045
2013-09-16,20,>5%,510300,0.05276277523888617,-0.051440194589021826,-0.06985823326746265
2013-09-17,20,0-5%,510300,0.03199002908184445,-0.03147512837583677,-0.055237081412113254
2013-09-18,20,0-5%,510300,0.03538717735220631,-0.025498885434846907,-0.055237081412113254
2013-09-23,20,>5%,510300,0.0623420387531588,-0.036529524565553695,-0.055237081412113254
2013-09-24,20,>5%,510300,0.05982180738226539,-0.02775916622251795,-0.04616009580518432
2013-09-25,20,0-5%,510300,0.04459402608329821,-0.02446047681800323,-0.04534828523315082
2013-09-26,20,0-5%,510300,0.03474576271186436,-0.025837554251635142,-0.04534828523315082
2013-09-27,20,0-5%,510300,0.03855932203389845,-0.02698100143927007,-0.04534828523315082
2013-09-30,20,0-5%,510300,0.04889455782312946,-0.04208653098990034,-0.04534828523315082
2013-10-08,20,>5%,510300,0.07060333761232318,-0.035690409998448636,-0.039260207022223104
2013-10-09,20,0-5%,510300,0.04855588112180809,-0.03597765166938405,-0.039260207022223104
2013-10-10,20,0-5%,510300,0.039347007115948074,-0.0300429238612695,-0.03334568732709242
2013-10-11,20,>5%,510300,0.06097560975609739,-0.021324688070399334,-0.025043565106480536
2013-10-14,20,>5%,510300,0.0645297342893294,-0.021712435816805487,-0.025043565106480536
2013-10-15,20,>5%,510300,0.06506125897760873,-0.020548269734874114,-0.023883363081617315
2013-10-16,20,0-5%,510300,0.04558885605740781,-0.0022518805486168025,-0.019536848275214735
2013-10-17,20,0-5%,510300,0.024532224532224367,0.00341669552654289,-0.019536848275214735
2013-10-18,20,0-5%,510300,0.029950083194675514,-0.019516772304192465,-0.019536848275214735
2013-10-21,20,>5%,510300,0.05639097744360888,-0.019536848275214735,-0.019536848275214735
2013-10-22,20,0-5%,510300,0.03862126245847164,-0.007666951951285639,-0.016066490882345574
2013-10-23,20,<=0%,510300,-0.00921105326391658,-0.01646006428599267,-0.01646006428599267
2013-10-24,20,<=0%,510300,-0.030039525691699653,-0.030577862406289458,-0.030577862406289458
2013-10-25,20,<=0%,510300,-0.04958677685950419,-0.032539377698580174,-0.032539377698580174
2013-10-28,20,<=0%,510300,-0.05767731878409976,-0.032539377698580174,-0.032539377698580174
2013-10-29,20,<=0%,510300,-0.049469964664311195,-0.032055405401280934,-0.032055405401280934
2013-10-30,20,<=0%,510300,-0.03117600631412787,-0.028626519589700083,-0.028626519589700083
2013-10-31,20,<=0%,510300,-0.021336553945249692,-0.028529333648688593,-0.028529333648688593
2013-11-01,20,<=0%,510300,-0.01849618013671117,-0.023462840105308858,-0.024422424605696658
2013-11-04,20,<=0%,510300,-0.03489294210943694,-0.013913219552454281,-0.017135173168636553
2013-11-05,20,<=0%,510300,-0.02562049639711783,-0.02647073283815371,-0.02647073283815371
2013-11-06,20,<=0%,510300,-0.031010873942811212,-0.027439820453743935,-0.027439820453743935
2013-11-07,20,<=0%,510300,-0.01883701883701916,-0.02065451687551456,-0.027439820453743935
2013-11-08,20,<=0%,510300,-0.03712770297837653,-0.02420257790947722,-0.027439820453743935
2013-11-11,20,<=0%,510300,-0.0421564653425216,-0.021942666592807747,-0.027439820453743935
