date,nav,strategy_return,current_momentum,signal,holding,exposure,target_exposure,trade_cost_rate,turnover,drawdown
2020-02-17,1.8451086149025078,0.0015741270749856096,0.024254821741671373,518880,518880,0.5,0.5,0.0,0.0,-0.16136053299154363
2020-02-18,1.8495832007018433,0.002425106990014303,0.007148984844152162,518880,518880,0.5,0.5,0.0,0.0,-0.1593267425579996
2020-02-19,1.8600862285309283,0.005678591709256109,0.027697634160415374,518880,518880,0.5,0.5,0.0,0.0,-0.15455290236809616
2020-02-20,1.8632194450865673,0.0016844469399215356,0.20266272189349088,159949,518880,0.5,1.0,0.0,0.0,-0.1531287915916245
2020-02-21,1.8961729904751277,0.017686346863468483,0.06983568075117375,518880,159949,1.0,0.5,0.00075,1.5,-0.13815073365102926
2020-02-24,1.9152781945224318,0.010075665112452059,0.0898186073727325,518880,518880,0.5,0.5,0.00075,1.5,-0.1294670290658846
2020-02-25,1.8954827017736764,-0.010335570469798716,0.06729081334113518,518880,518880,0.5,0.5,0.0,0.0,-0.1384644839332574
2020-02-26,1.9006786521623105,0.0027412280701755165,0.08713692946058083,518880,518880,0.5,0.5,0.0,0.0,-0.1361028185931621
2020-02-27,1.9009377414006097,0.0001363140676118313,0.07816632383191302,518880,518880,0.5,0.5,0.0,0.0,-0.13598505725436616
2020-02-28,1.8890212606014234,-0.006268738075769997,0.06371109806224307,518880,518880,0.5,1.0,0.0,0.0,-0.1414013406239899
2020-03-02,1.8463264081490418,-0.022601573281810783,0.04054054054054057,518880,518880,1.0,0.5,0.00025,0.5,-0.16080702114354128
2020-03-03,1.8443014176030064,-0.0010967673630717378,0.038472834067547756,518880,518880,0.5,1.0,0.00025,0.5,-0.16172742061407008
2020-03-04,1.8834703948534963,0.0212378393665158,0.050916496945010215,518880,518880,1.0,1.0,0.00025,0.5,-0.14392432222771678
2020-03-05,1.8829489467929057,-0.00027685492801765577,0.05987672439095992,518880,518880,1.0,0.5,0.0,0.0,-0.1441613309978642
2020-03-06,1.9020276232527895,0.0101323386873442,0.07463556851311948,518880,518880,0.5,0.5,0.00025,0.5,-0.1354896837418087
2020-03-09,1.895061434182276,-0.003662506782419972,0.08978032473734499,512890,518880,0.5,0.5,0.0,0.0,-0.13865595863857627
2020-03-10,1.9057342341612904,0.005631901840490894,0.06353591160220984,512890,512890,0.5,0.5,0.0005,1.0,-0.13380495354673705
2020-03-11,1.8974843024116745,-0.0043290043290042934,0.05159988469299526,518880,512890,0.5,0.5,0.0,0.0,-0.13755471565259536
2020-03-12,1.8861378872327252,-0.005979714912280554,0.04519119351100809,518880,518880,0.5,0.5,0.0005,1.0,-0.14271189258043349
2020-03-13,1.858431316272821,-0.01468957871396892,0.009803921568627416,518880,518880,0.5,0.5,0.0,0.0,-0.15530509371492274
2020-03-16,1.8350815224647101,-0.01256424900057107,-0.01924734271760975,518880,518880,0.5,1.0,0.0,0.0,-0.1659180508470025
2020-03-17,1.7491789859501246,-0.04681129173989462,-0.03654188948306647,512890,518880,1.0,1.0,0.00025,0.5,-0.2049625043037835
2020-03-18,1.7183329184115794,-0.017634597594819668,-0.040115440115440104,518880,512890,1.0,1.0,0.001,2.0,-0.21898267061317944
2020-03-19,1.709388907743046,-0.005205051112447512,-0.051002865329513036,518880,518880,1.0,1.0,0.001,2.0,-0.22304790573234512
2020-03-20,1.7269369822790557,0.010265700483091944,-0.04235832856325128,518880,518880,1.0,1.0,0.0,0.0,-0.21507194824288234
2020-03-23,1.722291903725406,-0.0026897788404064427,-0.04793152639087006,518880,518880,1.0,1.0,0.0,0.0,-0.21718323110774018
2020-03-24,1.818290193834164,0.05573868744381172,0.00028392958546286096,518880,518880,1.0,1.0,0.0,0.0,-0.17355005190067985
2020-03-25,1.848225144513239,0.01646324155549239,0.005334081976417826,518880,518880,1.0,1.0,0.0,0.0,-0.1599440067715966
2020-03-26,1.8435800659595896,-0.002513264451270536,-0.0005595970900951208,518880,518880,1.0,1.0,0.0,0.0,-0.16205528963645421
2020-03-27,1.8642248595313655,0.011198208286674172,-0.009325287986834851,518880,518880,1.0,1.0,0.0,0.0,-0.15267181023708642
2020-03-30,1.849257384191828,-0.008028792912513794,-0.03812080536912754,518880,518880,1.0,1.0,0.0,0.0,-0.159474832801628
2020-03-31,1.8508057437097112,0.0008372871895059308,-0.016995614035087758,518880,518880,1.0,1.0,0.0,0.0,-0.1587710718466755
2020-04-01,1.8208707930306363,-0.01617401003904062,-0.038167938931297773,518880,518880,1.0,1.0,0.0,0.0,-0.17237711697575875
2020-04-02,1.8286125906200525,0.004251700680272252,-0.034341782502044116,518880,518880,1.0,1.0,0.0,0.0,-0.16885831220099567
2020-04-03,1.8451284254774734,0.009031893875246944,-0.013248688931824515,518880,518880,1.0,1.0,0.0,0.0,-0.16135152868150138
2020-04-07,1.8972565292462074,0.028251748251748143,0.03783173348390756,518880,518880,1.0,1.0,0.0,0.0,-0.13765824319809772
2020-04-08,1.8791923348709034,-0.00952121871599565,0.0296945701357465,518880,518880,1.0,1.0,0.0,0.0,-0.14586878767254463
2020-04-09,1.8838374134245532,0.0024718483932986146,0.010520487264673362,518880,518880,1.0,1.0,0.0,0.0,-0.14375750480768668
2020-04-10,1.8946759300497353,0.005753424657534145,0.016615895873719033,518880,518880,1.0,1.0,0.0,0.0,-0.1388311781230187
2020-04-13,1.8941598102104409,-0.0002724053391446324,-0.0043407487791644606,518880,518880,1.0,1.0,0.0,0.0,-0.13906576510800295
2020-04-14,1.9158368434608057,0.011444141689373355,0.01448483192129002,518880,518880,1.0,1.0,0.0,0.0,-0.12921311173866667
2020-04-15,1.9106756450678617,-0.0026939655172414367,0.02491694352159457,518880,518880,1.0,1.0,0.0,0.0,-0.13155898158850865
2020-04-16,1.925127000568105,0.0075634792004322104,0.02247807017543857,518880,518880,1.0,1.0,0.0,0.0,-0.12499054600895121
2020-04-17,1.8936436903711467,-0.01635388739946375,0.01690687361419063,518880,518880,1.0,0.5,0.0,0.0,-0.13930035209298708
2020-04-20,1.8885263621645427,-0.0027023712183156245,0.11671388101982982,159941,518880,0.5,1.0,0.00025,0.5,-0.14162628204910532
2020-04-21,1.8679612107476335,-0.01088952308472857,0.14832254267215994,159941,159941,1.0,1.0,0.00075,1.5,-0.15097356246605587
2020-04-22,1.8593442702572542,-0.0046130189646338415,0.13500876680303886,159941,159941,1.0,1.0,0.0,0.0,-0.15489013752387548
2020-04-23,1.8784930269025402,0.01029866117404743,0.1790865384615381,159941,159941,1.0,1.0,0.0,0.0,-0.14618663739538806
2020-04-24,1.8679612107476333,-0.005606523955147602,0.16616855947399856,159941,159941,1.0,1.0,0.0,0.0,-0.15097356246605598
2020-04-27,1.9311521076770763,0.03382880574064573,0.14058679706601485,513880,159941,1.0,1.0,0.0,0.0,-0.12225201204204772
2020-04-28,1.9457630430769608,0.0075659163987136235,0.20235988200589916,159941,513880,1.0,1.0,0.001,2.0,-0.11561104414601875
2020-04-29,2.0000906949121955,0.027921000981354194,0.16759465478841817,159941,159941,1.0,1.0,0.001,2.0,-0.09091801924172083
2020-04-30,2.0659019767190347,0.03290414878397718,0.1521276595744676,159941,159941,1.0,1.0,0.0,0.0,-0.06100545049001771
2020-05-06,2.0563641097905077,-0.004616805170821636,0.18722466960352402,159941,159941,1.0,1.0,0.0,0.0,-0.06534060538156872
2020-05-07,2.0344270158548947,-0.01066790352504643,0.1836847946725857,159941,159941,1.0,1.0,0.0,0.0,-0.07531146163213642
2020-05-08,2.0363345892405995,0.0009376465072663542,0.21031746031745957,159941,159941,1.0,1.0,0.0,0.0,-0.07444443065382644
2020-05-11,2.022027788847809,-0.007025761124121566,0.18435754189944098,159941,159941,1.0,1.0,0.0,0.0,-0.08094716299115301
2020-05-12,1.993414188062226,-0.01415094339622669,0.18682566723452543,159941,159941,1.0,1.0,0.0,0.0,-0.09395262766580681
2020-05-13,1.964800587276644,-0.014354066985645786,0.14955357142857117,159941,159941,1.0,1.0,0.0,0.0,-0.10695809234046016
2020-05-14,1.9276029062553868,-0.018932038834951648,0.14504249291784665,159941,159941,1.0,1.0,0.0,0.0,-0.12386519641750993
2020-05-15,1.9466786401124414,0.009896091044037547,0.10443722943722888,159941,159941,1.0,1.0,0.0,0.0,-0.11519488663440769
2020-05-18,1.9609854405052323,0.007349338559529572,0.12104689203925778,159941,159941,1.0,1.0,0.0,0.0,-0.10869215429708101
2020-05-19,1.9972293348336363,0.018482490272373475,0.126412049488972,159941,159941,1.0,1.0,0.0,0.0,-0.09221856570918663
2020-05-20,1.9800611743622873,-0.00859598853868182,0.13318777292576378,159941,159941,1.0,1.0,0.0,0.0,-0.10002184451397855
2020-05-21,1.9981831215264894,0.009152215799614671,0.15490628445424437,159941,159941,1.0,1.0,0.0,0.0,-0.09178505022003136
2020-05-22,1.959077867119527,-0.01957040572792368,0.09722222222222188,159941,159941,1.0,1.0,0.0,0.0,-0.1095591852753911
2020-05-25,2.011536135226428,0.02677702044790653,0.09501557632398705,159941,159941,1.0,1.0,0.0,0.0,-0.08571583337185973
2020-05-26,2.0496876029405375,0.018966334755808445,0.11059431524547736,159941,159941,1.0,1.0,0.0,0.0,-0.06837521380565503
2020-05-27,2.021074002154956,-0.0139599813866913,0.09003215434083578,513880,159941,1.0,1.0,0.0,0.0,-0.08138067848030828
