date,baseline_raw,slope_060,slope_065,slope_070,slope_075,slope_080,slope_085,slope_090,slope_095,slope_100
2016-12-28,1.768366685015665,1.7514441795487015,1.7622862927912986,1.8007335502946367,1.8007335502946367,1.8007335502946367,1.7982786525521992,1.7756206130982506,1.789057715768444,1.7862355615450423
2016-12-29,1.7635485824687402,1.7466721841623456,1.75748475691774,1.7958272607911503,1.7958272607911503,1.7958272607911503,1.7933790516779238,1.7707827464550747,1.7841832383142031,1.781368773349238
2016-12-30,1.7648122717396173,1.7479237804726528,1.7587441010906906,1.797114079688214,1.797114079688214,1.797114079688214,1.7946641162850177,1.772051619442184,1.7854617135645874,1.7826452318651729
2017-01-03,1.7600258657369612,1.7431831783083258,1.7539741527752821,1.792240066878909,1.792240066878909,1.792240066878909,1.789796748102865,1.7672455793640776,1.7806193035246265,1.7778104604988139
2017-01-04,1.754414189063597,1.737625202957198,1.7483817714186074,1.7865256782598746,1.7865256782598746,1.7865256782598746,1.7840901497755803,1.7616108833139312,1.7749419666148378,1.772142079320412
2017-01-05,1.7500137731467653,1.7332668971202725,1.7439964859919346,1.7820447204111245,1.7820447204111245,1.7820447204111245,1.7796153007113893,1.7571924166721766,1.7704900629936564,1.7676971983673624
2017-01-06,1.7474736677228806,1.7307510994082933,1.7414651145243043,1.7794581227915058,1.7794581227915058,1.7794581227915058,1.7770322293395355,1.754641891609524,1.7679202366980282,1.7651314258515927
2017-01-09,1.7472325607840313,1.7305122997587215,1.7412248366130365,1.7792126028110211,1.7792126028110211,1.7792126028110211,1.776787044070672,1.7543997956380215,1.7676763086524883,1.7648878825910477
2017-01-10,1.7504173897555872,1.733666651292459,1.74439871479623,1.7824557245174109,1.7824557245174109,1.7824557245174109,1.7800257445054337,1.7575976889363998,1.7708984021771208,1.7681048934150112
2017-01-11,1.758840450879223,1.7420091073588286,1.7527928138749487,1.7910329550714796,1.7910329550714796,1.7910329550714796,1.7885912819226026,1.7660553018756426,1.7794200185484994,1.7766130673382112
2017-01-12,1.7665684723883752,1.7496631750396567,1.7604942631792,1.7989024245241942,1.7989024245241942,1.7989024245241942,1.7964500231124987,1.7738150241133388,1.787238462893627,1.7844191784558894
2017-01-13,1.7615171248898858,1.7446601667551906,1.7554602843488227,1.793758620927461,1.793758620927461,1.793758620927461,1.7913132319423597,1.7687429557362078,1.782128011371453,1.779316788430122
2017-01-16,1.7622848563244624,1.7454205513315004,1.7562253759981759,1.7945404043457829,1.7945404043457829,1.7945404043457829,1.7920939495737147,1.7695138364433083,1.7829047257589756,1.780092277587307
2017-01-17,1.7640726815410233,1.747191267832851,1.758007053915855,1.7963609525820756,1.7963609525820756,1.7963609525820756,1.793912015899369,1.7713089954078158,1.7847134696836584,1.7818981683036996
2017-01-18,1.7600050039406725,1.743162516150418,1.7539533627106687,1.792218823243856,1.792218823243856,1.792218823243856,1.7897755334287606,1.7672246319916634,1.7805981976318659,1.7777893878996047
2017-01-19,1.7553801732733831,1.7385819431152782,1.7493444341663194,1.7875093431243831,1.7875093431243831,1.7875093431243831,1.7850724736328893,1.7625808300389845,1.7759192534629062,1.77311782454454
2017-01-20,1.7569627058692643,1.740149331557669,1.7509215253461343,1.7891208412169368,1.7891208412169368,1.7891208412169368,1.7866817748079542,1.7641698542622732,1.7775203027108406,1.7747163482127475
2017-01-23,1.7638114360570603,1.746932522355345,1.7577467067043049,1.7960949254555632,1.7960949254555632,1.7960949254555632,1.7936463514413883,1.7710466782818859,1.7844491674590384,1.7816342830033816
2017-01-24,1.761706178095336,1.7448474108031118,1.7556486875094321,1.7939511344218229,1.7939511344218229,1.7939511344218229,1.7915054829875978,1.7689327844473086,1.7823192766213403,1.7795077519680922
2017-01-25,1.7480179119375536,1.731290135440876,1.7420074873972928,1.7800123284464868,1.7800123284464868,1.7800123284464868,1.7775856794589677,1.7551883683410312,1.7684708489210323,1.765681169509767
2017-01-26,1.742742867314581,1.7260655707167996,1.7367505806077124,1.7746407333398964,1.7746407333398964,1.7746407333398964,1.772221407321785,1.749891685222688,1.7631340828737416,1.7603528219593791
2017-02-03,1.7601636971885322,1.7433196907724313,1.754111510304056,1.7923804210946004,1.7923804210946004,1.7923804210946004,1.7899369109769516,1.7673839762071177,1.7807587476930777,1.777949684700662
2017-02-06,1.774381923014737,1.7574018543179377,1.7682808478592422,1.806858886724983,1.806858886724983,1.806858886724983,1.8043956384552995,1.7816605259027325,1.7951433359317353,1.7923115819293582
2017-02-07,1.7854184340501487,1.7683327507091042,1.7792794107041272,1.8180974018293812,1.8180974018293812,1.8180974018293812,1.815618832356095,1.7927423092552557,1.8063089812644462,1.8034596139828245
2017-02-08,1.7854184340501487,1.7683327507091042,1.7792794107041272,1.8180974018293812,1.8180974018293812,1.8180974018293812,1.815618832356095,1.7927423092552557,1.8063089812644462,1.8034596139828245
2017-02-09,1.7948637042376294,1.7776876337400416,1.7886922040597995,1.8277155511998233,1.8277155511998233,1.8277155511998233,1.8252238695294705,1.8022263244107577,1.8158647672050077,1.8130003261214553
2017-02-10,1.780190365925614,1.7631547129386633,1.7740693188879237,1.8127736430440293,1.8127736430440293,1.8127736430440293,1.810302331326018,1.787492795335283,1.801019741370923,1.798178717615937
2017-02-13,1.7838662752357843,1.766795445384259,1.7777325888679278,1.816516833457394,1.816516833457394,1.816516833457394,1.8140404187358352,1.7911837834082462,1.8047386611908625,1.8018917710151434
2017-02-14,1.7843911347503811,1.7673152822199734,1.7782556436936339,1.817051299609202,1.817051299609202,1.817051299609202,1.8145741562624953,1.7917107959226732,1.8052696619002973,1.8024219340959866
2017-02-15,1.7775684627645707,1.7605579002585439,1.7714564309383345,1.8101037505224609,1.8101037505224609,1.8101037505224609,1.8076360786061973,1.7848601369970865,1.7983671602518547,1.7955303208185607
2017-02-16,1.7870243127327312,1.769923261826229,1.780879767696928,1.819732673318,1.819732673318,1.819732673318,1.8172518745175124,1.7943547753320546,1.8079336497633536,1.80508171964375
2017-02-17,1.819209353454135,1.8018003056077574,1.8129541426423919,1.8525068050270677,1.8525068050270677,1.8525068050270677,1.849981326022821,1.8266718406910556,1.8404952762194857,1.837591981668867
2017-02-20,1.8290657508799697,1.8115623815669322,1.8227766496071722,1.8625436066022913,1.8625436066022913,1.8625436066022913,1.8600044446622632,1.8365686695492887,1.8504669998522536,1.847547975377599
2017-02-21,1.8290657508799697,1.8115623815669322,1.8227766496071722,1.8625436066022913,1.8625436066022913,1.8625436066022913,1.8600044446622632,1.8365686695492887,1.8504669998522536,1.847547975377599
2017-02-22,1.8375140915306853,1.819929875246225,1.83119594129127,1.8711465793810547,1.8711465793810547,1.8711465793810547,1.8685956892103568,1.8450516657134886,1.8590141915374834,1.856081684270798
2017-02-23,1.8375140915306853,1.819929875246225,1.83119594129127,1.8711465793810547,1.8711465793810547,1.8711465793810547,1.8685956892103568,1.8450516657134886,1.8590141915374834,1.856081684270798
2017-02-24,1.8551640081001626,1.8374108897366428,1.848785169986236,1.8891195468633488,1.8891195468633488,1.8891195468633488,1.8865441545683417,1.8627739831184618,1.8768706235144366,1.8739099485679303
2017-02-27,1.8599774066076658,1.8421782260992028,1.8535820179948492,1.8940210462281837,1.8940210462281837,1.8940210462281837,1.8914389718342488,1.8676071264260126,1.8817403418889607,1.8787719851912417
2017-02-28,1.8559834476321786,1.8382224875862307,1.8496017919387304,1.8899539848055713,1.8899539848055713,1.8899539848055713,1.887377454940922,1.863596784032189,1.8776996510174888,1.8747376683191705
2017-03-01,1.8441524430086011,1.8265047005674173,1.8378114673105008,1.8779064342947573,1.8779064342947573,1.8779064342947573,1.8753463285726726,1.8517172480392912,1.8657302160092084,1.862787114530463
2017-03-02,1.845331677621619,1.8276726504144676,1.8389866472164083,1.879107252738875,1.879107252738875,1.879107252738875,1.8765455099692177,1.852901319931335,1.866923248427766,1.8639782649966115
2017-03-03,1.839653733998168,1.822049042259346,1.8333282267634348,1.8733253842689093,1.8733253842689093,1.8733253842689093,1.870771523784697,1.8472000851007768,1.8611788692018345,1.8582429472581603
2017-03-06,1.8524291071509331,1.8347021606083693,1.8460596727826253,1.8863345883263323,1.8863345883263323,1.8863345883263323,1.8837629926998685,1.8600278634695322,1.8741037224601806,1.8711474121696752
2017-03-07,1.846751163527482,1.829078552453248,1.8404012523296518,1.8805527198563665,1.8805527198563665,1.8805527198563665,1.8779890065153477,1.8543266286389744,1.8683593432342491,1.865412094431224
2017-03-08,1.8353952762805799,1.8178313361430052,1.8290844114237048,1.868988982916435,1.868988982916435,1.868988982916435,1.8664410341463065,1.8429241589778584,1.856870584782386,1.853941458954322
2017-03-09,1.8353952762805799,1.8178313361430052,1.8290844114237048,1.868988982916435,1.868988982916435,1.868988982916435,1.8664410341463065,1.8429241589778584,1.856870584782386,1.853941458954322
2017-03-10,1.823992347690103,1.80653752865453,1.8177206909222088,1.857377343623251,1.857377343623251,1.857377343623251,1.8548452247281655,1.8314744550072373,1.8453342345728885,1.8424233067935398
2017-03-13,1.8391809828530243,1.8215808151384933,1.8328571011365795,1.872843980239296,1.872843980239296,1.872843980239296,1.870290776041887,1.8467253947069258,1.8607005865633839,1.8577654190880288
2017-03-14,1.8343089802494401,1.8167554354957425,1.8280018505375422,1.8678828041327018,1.8678828041327018,1.8678828041327018,1.8653363633901203,1.8418334069063775,1.855771578387057,1.8528441861897824
2017-03-15,1.8343089802494401,1.8167554354957425,1.8280018505375422,1.8678828041327018,1.8678828041327018,1.8678828041327018,1.8653363633901203,1.8418334069063775,1.855771578387057,1.8528441861897824
2017-03-16,1.8565184060715814,1.8387523267044024,1.8501349109648697,1.890498734725375,1.890498734725375,1.890498734725375,1.8879214622159584,1.8641339368977132,1.8782408688156633,1.8752780323717773
2017-03-17,1.8586787183986462,1.8408919657754763,1.8522877952249013,1.8926985877985099,1.8926985877985099,1.8926985877985099,1.8901183162810822,1.8663031109333759,1.880426458190285,1.8774601740821732
2017-03-20,1.8651577727547202,1.847309018379487,1.8587445718531366,1.899296229934627,1.899296229934627,1.899296229934627,1.896706964006681,1.872808742692621,1.886981321661101,1.8840046975648128
2017-03-21,1.85706598198355,1.8392946625513762,1.8506806040793702,1.8910563330585548,1.8910563330585548,1.8910563330585548,1.8884783003884307,1.8646837589933036,1.8787948517189705,1.875831141393165
2017-03-22,1.8705670069343572,1.8526664885241233,1.8641352067989583,1.9048044707034733,1.9048044707034733,1.9048044707034733,1.9022076955202984,1.8782401658198633,1.8924538473694172,1.8894685906217592
2017-03-23,1.872184211839488,1.854268217476738,1.8657468510699662,1.9064512757213727,1.9064512757213727,1.9064512757213727,1.9038522554876074,1.8798640045799384,1.8940899746149817,1.891102136953709
2017-03-24,1.8689505003544828,1.8510654512140938,1.8625242584520691,1.903158376792455,1.903158376792455,1.903158376792455,1.9005638456904357,1.8766170282496097,1.890818426619965,1.8878357496714573
2017-03-27,1.8835084992032591,1.8654841363010841,1.877032200746539,1.9179828343974736,1.9179828343974736,1.9179828343974736,1.9153680934606894,1.8912347447336313,1.9055467634447003,1.9025408532390387
2017-03-28,1.8797414822048528,1.8617531680284822,1.8732781363450461,1.914146868728679,1.914146868728679,1.914146868728679,1.9115373572737682,1.8874522752441643,1.9017356699178112,1.8987357715325608
2017-03-29,1.8748428476354377,1.8569014112763116,1.8683963453521348,1.9091585732046084,1.9091585732046084,1.9091585732046084,1.9065558621757899,1.8825335462321369,1.8967797181644763,1.8937876375595293
2017-03-30,1.8734969446579535,1.8555683880090637,1.8670550701580557,1.9077880358225519,1.9077880358225519,1.9077880358225519,1.9051871932151467,1.8811821222937075,1.8954180672540926,1.8924281345892784
2017-03-31,1.8580190604168858,1.840238620435713,1.8516304054261465,1.892026855928903,1.892026855928903,1.892026855928903,1.8894475001677515,1.8656407470017697,1.8797590817846803,1.876793850431393
