date,nav,benchmark_nav
2021-07-26,4.806400008151172,2.161693348756191
2021-07-27,4.79379305731012,2.0866285255255965
2021-07-28,4.7480928605113055,2.0909675326487522
2021-07-29,4.752790525568454,2.128716894620207
2021-07-30,4.705400703980438,2.1139642704014774
2021-08-02,4.691044027538088,2.166466256591662
2021-08-03,4.679549892095422,2.167334058016294
2021-08-04,4.641330261382249,2.1864256893581784
2021-08-05,4.637304168447463,2.173408667988712
2021-08-06,4.611002209765969,2.166466256591663
2021-08-09,4.538492563855325,2.1903307957690195
2021-08-10,4.555250074860329,2.215063136371008
2021-08-11,4.549669370327575,2.2033478171384875
2021-08-12,4.485471581666511,2.1894629943443893
2021-08-13,4.569508519964713,2.1777476751118687
2021-08-16,4.605757862914853,2.176445972974922
2021-08-17,4.608540798179455,2.127849093195578
2021-08-18,4.572368100593744,2.1508458309483025
2021-08-19,4.514800870995537,2.136093206729573
2021-08-20,4.512994950647139,2.097042142621171
2021-08-23,4.544622408522294,2.1282829939078924
2021-08-24,4.552664599051629,2.150845830948302
2021-08-25,4.5485672009124825,2.1569204409207208
2021-08-26,4.594293537852872,2.1200388803738974
2021-08-27,4.613498945195953,2.1256795896339997
2021-08-30,4.635082565992192,2.1178693768123193
2021-08-31,4.7596429243547735,2.117001575387688
2021-09-01,4.731085066808645,2.1473746252497783
2021-09-02,4.802587611898952,2.145639022400516
2021-09-03,4.788775512401918,2.1339237031679956
2021-09-06,4.790548851077045,2.170371363002504
2021-09-07,4.868328980024421,2.197707107878385
2021-09-08,4.941348456562095,2.188595192919758
2021-09-09,4.909874899513929,2.1877273914951267
2021-09-10,4.9688878189792405,2.2089885263985902
2021-09-13,4.992492986765365,2.1972732071660697
2021-09-14,5.0121639599204695,2.1686357601532418
2021-09-15,5.008229765289449,2.145639022400516
2021-09-16,4.976756208241283,2.121340582510844
2021-09-17,5.008229765289449,2.1382627102911513
2021-09-22,4.913809094144951,2.123943986784737
2021-09-23,4.957085235086178,2.1365271074418892
2021-09-24,4.937414261931074,2.139564412428098
2021-09-27,4.91774328877597,2.153449235222196
2021-09-28,4.882335537096783,2.149544128811356
2021-09-29,4.827256812262492,2.135225405304942
2021-09-30,4.791467050284633,2.14130001527736
2021-10-08,4.754000783455468,2.1721069658517655
2021-10-11,4.799844753738897,2.17167306513945
2021-10-12,4.774369100039922,2.1491102280990404
2021-10-13,4.70711629911647,2.1734086679887126
2021-10-14,4.676860421792111,2.161693348756192
2021-10-15,4.697840730226319,2.172106965851766
2021-10-18,4.765732620474018,2.1469407245374628
2021-10-19,4.791953982897534,2.1673340580162948
2021-10-20,4.764718181515259,2.1612594480438765
2021-10-21,4.822299372416406,2.170805263714819
2021-10-22,4.837297915313121,2.1851239872212327
2021-10-25,4.827663463033659,2.1925002993305975
2021-10-26,4.843728898850743,2.1851239872212327
2021-10-27,4.814835072776405,2.156486540208405
2021-10-28,4.85234630873571,2.147374625249778
2021-10-29,4.826604805447783,2.161259448043876
2021-11-01,4.828051568890597,2.1543170366468267
2021-11-02,4.831294048117521,2.1317541996064167
2021-11-03,4.802111735075202,2.123076185360105
2021-11-04,4.850748923479069,2.143469518838937
2021-11-05,4.850748923479069,2.136093206729573
2021-11-08,4.902628591109861,2.1343576038803103
