date,sh_close,sh_amount,sz_close,sz_amount,market_amount,market_amount_ma20,market_amount_ma60,market_amount_ratio_20_60,market_amount_ratio_5_20,market_breadth_proxy
2018-06-04,3091.19,114593902.0,1747.96,145772249.0,260366151.0,305535492.687,336192591.22166663,0.9088109038237161,0.9982449950207608,-0.02761072956367505
2018-06-05,3114.21,118735592.0,1777.73,152789658.61,271525250.61,302626855.231,334921122.7951667,0.9035764979686951,0.9862757802646771,-0.02340842179605962
2018-06-06,3115.18,120196135.0,1779.15,145456730.89,265652865.89,301302702.92399997,334098159.0031666,0.9018388602409037,0.9328150865838531,-0.02206086416680897
2018-06-07,3109.5,127784970.0,1767.96,147571355.07,275356325.07,299374216.336,331971098.13199997,0.9018080731141281,0.9122306447776735,-0.030852566896818867
2018-06-08,3067.15,134688220.0,1751.4,151727244.24,286415464.24,298153431.4765,328939594.49883336,0.9064078525747603,0.911823184511723,-0.03539279617355062
2018-06-11,3052.78,108563786.0,1741.18,131225344.0,239789130.0,295198006.65,326186700.3541667,0.9049970655746545,0.907010891436858,-0.04160683665816778
2018-06-12,3079.8,113275096.0,1759.16,142568223.6,255843319.6,293866088.352,324558108.6368333,0.9054344369526248,0.9004489849235069,-0.039529536790562314
2018-06-13,3049.8,119607886.0,1731.43,142851632.18,262459518.18,292186721.69200003,323329981.2593333,0.9036796419372127,0.9034385611001825,-0.046411508557674785
2018-06-14,3044.16,115469487.0,1721.89,130720916.77,246190403.76999998,291262319.25350004,322253121.27683336,0.9038308708988098,0.8862786227192276,-0.045109677300684714
2018-06-15,3021.9,144532571.0,1691.65,159964433.42,304497004.41999996,291932920.93299997,322265164.2245,0.9058779953319136,0.8966302065469152,-0.0643321778490904
2018-06-19,2907.82,230550067.0,1594.05,214212671.14,444762738.14,296397800.2935,324390523.8826667,0.9137067160467001,1.0214333457340417,-0.11633313106215443
2018-06-20,2915.73,144301420.0,1612.6,169974561.66,314275981.65999997,295919772.63699996,323447277.72166663,0.9148933783627182,1.0625755975411448,-0.11182548612336585
2018-06-21,2875.81,154378332.0,1578.33,173337573.19,327715905.19,295090356.4295,323472357.13049996,0.9122583427135021,1.1097902710156518,-0.11612504198966661
2018-06-22,2889.76,126143129.0,1597.39,152509541.5,278652670.5,294896234.07,318817487.70933336,0.9249688158224795,1.1325368770315405,-0.10483639729741628
2018-06-25,2859.34,121917687.0,1587.31,150021423.06,271939110.06,293424603.7905,316980385.5715,0.9256869419900222,1.1160252987639965,-0.10640335063001155
2018-06-26,2844.51,125918468.0,1596.17,163332503.44,289250971.44,292966152.03249997,314935299.342,0.9302423470617598,1.011608084121345,-0.10445376391078065
2018-06-27,2813.18,129420833.0,1575.58,158240662.83,287661495.83000004,292141529.64250004,313591294.3613333,0.9315996167479129,0.9962432625041598,-0.10831978560646555
2018-06-28,2786.9,118357907.0,1556.82,152800208.91,271158115.90999997,288063334.4295,312062479.21866673,0.9230950646509791,0.9710797568250088,-0.09354025465477273
2018-06-29,2847.42,125671685.0,1607.62,180437085.96,306108770.96000004,287610613.5945,311101796.0833333,0.9244903668684032,0.9917008599763801,-0.08530720072419529
2018-07-02,2775.56,137035034.0,1582.26,180839646.61,317874680.61,288874793.654,309458528.80116665,0.9334846732875405,1.019164057985034,-0.09568563495369603
2018-07-03,2786.89,142498466.0,1594.24,193249685.88,335748151.88,292643893.698,309047319.366,0.9469226081570581,1.03781507005036,-0.09319178464624078
2018-07-04,2759.13,123262181.0,1563.0,170891455.16,294153636.15999997,293775312.9755,308280872.8848333,0.9529469351322609,1.0382379241288964,-0.11740407849544454
2018-07-05,2733.88,129226112.0,1528.67,163346226.73,292572338.73,295121286.6175,307733690.08633333,0.9590152008858862,1.048014933835883,-0.13159348114815095
2018-07-06,2747.23,136294380.0,1535.98,186062997.86,322357377.86,297471339.25699997,306973930.48633325,0.9690443054422293,1.050659999140221,-0.12385881850173153
2018-07-09,2815.11,121549309.0,1574.54,161689088.81,283238397.81,297312485.9355,305580044.46949995,0.9729447040681182,1.0279217824518172,-0.09157803833481709
2018-07-10,2827.63,117062748.0,1585.78,163300557.16,280363305.15999997,299341194.6935,304920796.1786667,0.9817014727919791,0.9839508105310426,-0.0815011338380246
2018-07-11,2777.77,126821149.0,1554.62,178766515.31,305587664.31,301828411.929,305190763.54233336,0.9889827871122091,0.9834190720382638,-0.1071697293137332
2018-07-12,2837.66,146980200.0,1597.17,211251550.62,358231750.62,306617023.551,305451706.7586667,1.0038150606676886,1.010888748323019,-0.07355074994771149
2018-07-13,2831.18,117689348.0,1604.45,186432415.23,304121763.23,309513591.524,304695248.699,1.0158136460793974,0.9896449933516037,-0.06908379778860102
2018-07-16,2814.04,107767151.0,1602.84,166706969.33,274474120.33000004,308012447.31949997,303017726.57683337,1.0164832625440483,0.9887773152689693,-0.060641789463757256
2018-07-17,2798.13,105409220.0,1600.08,159232332.85,264641552.85,299006388.055,301360996.0718334,0.9921867526072548,1.0080432469307565,-0.016969800064554674
2018-07-18,2787.26,120961165.0,1588.12,175256581.64,296217746.64,298103476.304,300432078.7928333,0.9922491549564552,1.0048101097235704,-0.029620730472939116
2018-07-19,2772.55,114486493.0,1575.58,161620344.19,276106837.19,295523022.904,299846090.2926667,0.9855823786648439,0.9580045617629204,-0.018824376712186508
2018-07-20,2829.27,145907688.0,1593.3,169930479.53,315838167.53,297382297.75549996,299222646.217,0.9938495682570583,0.959894677869139,-0.0117464804428693
2018-07-23,2859.54,173382797.0,1601.69,199809119.99,373191916.99,302444938.102,300264854.8345,1.0072605342663283,1.0091068019034628,0.004564649098398932
2018-07-24,2905.56,229578307.0,1625.84,244672639.19,474250946.19,311694936.8395,302830617.681,1.0292715420467742,1.1136565977866424,0.020025320798389146
2018-07-25,2903.65,167800207.0,1624.72,213146958.69,380947165.69,316359220.3325,304246367.8595,1.0398126444638236,1.1508025792178846,0.031673925202043485
2018-07-26,2882.23,168428202.0,1609.73,229138686.01,397566888.01,322679658.9375,305959954.9636667,1.0546467068731882,1.203543533424961,0.03409620583780648
2018-07-27,2873.59,146371610.0,1599.08,188934763.27,335306373.27,324139539.053,306252912.1681666,1.0584047568991333,1.2101351756592178,0.001939287783508381
2018-07-30,2869.05,151652249.0,1576.79,178357087.16,330009336.15999997,324746271.8305,307264839.6466667,1.0568936953669537,1.1812795869885362,0.015113106181112834
2018-07-31,2876.4,118931117.0,1576.41,147991098.38,266922215.38,321304975.00549996,306494787.13016665,1.048321173792243,1.0648773667327847,0.010467113441454123
2018-08-01,2824.53,149514348.0,1549.28,173264529.9,322778877.9,322736237.09250003,306379468.43299997,1.0533872871545797,1.0241079251638852,0.007462566383950153
2018-08-02,2768.02,174179003.0,1512.05,211111166.78,385290169.78,327372128.645,307932039.3955,1.0631311028487413,1.002105450625418,0.0008077751305701764
