date,baseline_threshold_dual_nav,overheat_cap_70_nav,overheat_cap_40_nav,overheat_cap_50_nav,hs300_benchmark
2023-08-04,3.9420962296389503,4.042266282504473,4.129839117673055,4.102088652732417,1.5721966205837121
2023-08-07,3.9122464535962513,4.01165801314501,4.098567741843092,4.071027404995556,1.56029185867895
2023-08-08,3.921850218127702,4.021505812713858,4.108628887012686,4.08102094427341,1.5545314900153557
2023-08-09,3.8989010423476445,3.9979734902988135,4.084586753504565,4.057140361945374,1.551459293394772
2023-08-10,3.8989010423476445,3.9979734902988135,4.084586753504565,4.057140361945374,1.5533794162826366
2023-08-11,3.866068191464717,3.9643063451173495,4.050190233475053,4.0229749694237285,1.5168970814132052
2023-08-14,3.8594876498622237,3.9575585896362986,4.043296292652117,4.016127352454497,1.5065284178187353
2023-08-15,3.879237693273033,3.977810488602455,4.063986934661425,4.0366789636397655,1.5049923195084436
2023-08-16,3.862800245420181,3.9609553594134614,4.046766651039978,4.019574391759936,1.4934715821812545
2023-08-17,3.859509254795755,3.957580743558796,4.04331892652365,4.01614983423767,1.498463901689703
2023-08-18,3.850894895972898,3.9487474908458813,4.0342943076488424,4.007185856313406,1.4792626728110547
2023-08-21,3.8618369773307837,3.9599676143428293,4.0457575071721825,4.0185720288370455,1.4592933947772606
2023-08-22,3.8557457518144895,3.9537216086419735,4.0393761861829525,4.012233587151183,1.4681259600614387
2023-08-23,3.8396228404382717,3.937189008412206,4.02248541888213,3.9954563174061843,1.4470046082949257
2023-08-24,3.8337431244068974,3.931159886726736,4.016325680546823,3.9893379694490116,1.4558371735791038
2023-08-25,3.825813221516413,3.923028482212373,4.008018114914547,3.9810862265261084,1.453149001536093
2023-08-28,3.870870978943265,3.9692311731163725,4.055221754383561,4.027972681014103,1.4735023041474604
2023-08-29,3.8749671387093425,3.9734314177440084,4.0595129943352894,4.032235085967557,1.4819508448540655
2023-08-30,3.8841057041958145,3.9828021973963885,4.0690867852898815,4.041744545808354,1.4815668202764924
2023-08-31,3.895515049978601,3.9945014586717575,4.081039502772155,4.053616946973699,1.474270353302606
2023-09-01,3.8907918029924353,3.989658192317028,4.07609131048318,4.048702004075977,1.4831029185867843
2023-09-04,3.9021891967557414,4.001345197867894,4.088031506729362,4.060561968141711,1.5053763440860162
2023-09-05,3.9035308016167294,4.002720893380663,4.089437005710771,4.061958022868973,1.495007680491546
2023-09-06,3.900933065945733,4.0000571483318295,4.086715552512649,4.059254856482858,1.4911674347158164
2023-09-07,3.8998503123998236,3.998946881637175,4.08558123267665,4.058128158712016,1.4708141321044494
2023-09-08,3.922016424299787,4.0216762422432835,4.108803008777121,4.081193896026187,1.4627496159754174
2023-09-11,3.9282418471955007,4.02805985532621,4.115324918314863,4.087671981575435,1.4735023041474604
2023-09-12,3.928933286904578,4.028768864761691,4.116049287937448,4.088391483794415,1.4715821812595955
2023-09-13,3.9365387890877632,4.036567625432589,4.12401700323306,4.096305660005895,1.4619815668202716
2023-09-14,3.960726431417027,4.061369884267812,4.149356585434185,4.1214749728169915,1.4608294930875527
2023-09-15,3.93036546225634,4.030237432193286,4.117549670842007,4.089881784872054,1.4543010752688124
2023-09-18,3.913772890384018,4.013223237228882,4.100166875397819,4.072615793168108,1.4592933947772608
2023-09-19,3.937996064771894,4.038061931004834,4.1255436818768505,4.097822080128476,1.4573732718893961
2023-09-20,3.962182046305918,4.062862486843425,4.1508815241871275,4.122989664739926,1.4504608294930827
2023-09-21,3.952522394821672,4.052957380214639,4.140761830440741,4.112937970302597,1.437019969278029
2023-09-22,3.939404853249338,4.039506517293402,4.127019564103907,4.099288045160981,1.4658218125960012
2023-09-25,3.9532242958391186,4.053677116784017,4.14149715959298,4.113668358408641,1.4550691244239582
2023-09-26,3.9511531894627785,4.051553382865596,4.1393274164838285,4.111513194894085,1.447004608294926
2023-09-27,3.8929378926305866,3.9918588148483383,4.078339607942545,4.050935194094583,1.4508448540706558
2023-09-28,3.8861692460100925,3.984918174534563,4.071248603573638,4.043891837748402,1.445468509984634
2023-10-09,3.8735355220610623,3.971963423212749,4.058013196742546,4.03074536626873,1.4416282642089044
2023-10-10,3.8307027091279373,3.9280422134252726,4.013140465062073,3.9861741570281897,1.4312596006144345
2023-10-11,3.823988184816426,3.921157070687404,4.006106160584736,3.9791871195785053,1.4343317972350182
2023-10-12,3.823483598097947,3.920639662242787,4.005577542852737,3.9786620538947632,1.448156682027645
2023-10-13,3.816012882202634,3.912979112826782,3.9977510330609367,3.9708881343563354,1.4347158218125915
2023-10-16,3.832131204830734,3.9295070077067265,4.014636993073866,3.9876606291160246,1.418202764976954
2023-10-17,3.8522791081158587,3.9501668763066564,4.035744443090027,4.008626247565635,1.4228110599078294
2023-10-18,3.850352968561801,3.9481917928685033,4.033726570868482,4.006621934441853,1.4120583717357864
2023-10-19,3.7674934536531772,3.863226788518398,3.9469208598946564,3.920399514673904,1.3824884792626682
2023-10-20,3.8051128742109555,3.901802131795087,3.9863319106537944,3.959545742772594,1.3755760368663548
2023-10-23,3.7844194172052394,3.880582846762483,3.964652924844278,3.938012428965912,1.3609831029185822
2023-10-24,3.7869026320459254,3.883129160966396,3.9672544031414203,3.9405964266227143,1.3629032258064468
2023-10-25,3.7720033430018107,3.8678512757429218,3.951645533358569,3.9250924406819037,1.370583717357906
2023-10-26,3.7993187062493545,3.8958607319859575,3.9802617946271295,3.953516414906723,1.3755760368663545
2023-10-27,3.806768350771412,3.9034996745976946,3.988066229518555,3.961268407877128,1.3963133640552947
2023-10-30,3.815045733573698,3.9119873886107355,3.996737823842361,3.9698817333998004,1.402457757296462
2023-10-31,3.8241508546562124,3.921323874025081,4.006276577598547,3.97935639147474,1.3993855606758785
2023-11-01,3.8100793038923255,3.9068947602029103,3.991534867248076,3.9647137380861963,1.3986175115207324
2023-11-02,3.818356686694612,3.915382474215952,4.000206461571883,3.973327063608869,1.392089093701992
2023-11-03,3.815873471853926,3.912836160012039,3.997604983274741,3.970743065952067,1.402841781874035
2023-11-06,3.800263023188969,3.89682904435142,3.981251084793965,3.9544990575356502,1.4212749615975373
2023-11-07,3.78833283188007,3.884595702681776,3.9687527164440564,3.9420846720051266,1.4170506912442347
2023-11-08,3.7845400930890642,3.8807065890629957,3.9647793479340625,3.9381380025554087,1.412826420890932
2023-11-09,3.784569405046412,3.8807366458474974,3.964810055877506,3.938168504156745,1.4139784946236509
2023-11-10,3.7848039002511475,3.880977099657931,3.9650557189493876,3.938412516494961,1.4036098310291807
2023-11-13,3.7711465592101567,3.8669727207735227,3.9507479451181915,3.9242008837880964,1.401689708141316
2023-11-14,3.784442800935005,3.880606824681054,3.9646774222274663,3.9380367617388696,1.401689708141316
2023-11-15,3.797063145510304,3.893547856654541,3.97789881249027,3.9511693108346204,1.4112903225806401
2023-11-16,3.7851169560203877,3.881298110284468,3.96538368404372,3.9387382778269697,1.3974654377880134
2023-11-17,3.793751572458776,3.8901521353660553,3.9744295253058506,3.9477233355346684,1.3955453149001487
2023-11-20,3.7605603950969315,3.85611755850371,3.9396576134484067,3.9131850736314777,1.3997695852534513
2023-11-21,3.756568645893821,3.8520243775482,3.9354757566274086,3.9090313168085165,1.401689708141316
2023-11-22,3.745255684515575,3.84042394983902,3.9236240138705143,3.8972592118686142,1.3867127496159706
2023-11-23,3.7402614654471313,3.835302825906015,3.918391944415686,3.89206229931841,1.3940092165898568
2023-11-24,3.717829438137779,3.8123007928863597,3.8948915886470092,3.8687198542528556,1.3844086021505326
2023-11-27,3.6928394918113274,3.7866758432269587,3.8687114926078565,3.8427156754387024,1.3751920122887815
2023-11-28,3.6954528859132245,3.7893556445929346,3.871449349971856,3.845435135762859,1.3767281105990734
2023-11-29,3.6922997691163704,3.7861224059883334,3.8681460655435527,3.8421540477630614,1.3663594470046034
2023-11-30,3.6843774149099295,3.7779987419727328,3.8598464081024613,3.8339101598922305,1.3678955453148953
2023-12-01,3.663227142723305,3.756311033924669,3.8376888512247205,3.8119014907768904,1.362519201228874
2023-12-04,3.66745719716063,3.7606485755342813,3.8421203626002685,3.816303224599958,1.353302611367123
2023-12-05,3.6420553940484317,3.7346013036632293,3.8155087950379536,3.7898704735366913,1.3279569892473075
2023-12-06,3.6668946465227603,3.7600717302866786,3.8415310204090565,3.8157178424951685,1.3298771121351725
2023-12-07,3.6420553940484317,3.7346013036632297,3.8155087950379536,3.7898704735366917,1.3264208909370159
2023-12-08,3.6668946465227603,3.760071730286679,3.8415310204090565,3.815717842495169,1.3291090629800266
2023-12-11,3.6886289924377973,3.7823583535821963,3.864300467608771,3.8383342903338358,1.3383256528417777
2023-12-12,3.7041535252342532,3.7982773702218524,3.8805643584657106,3.8544888959328842,1.3413978494623613
2023-12-13,3.74202745453721,3.837113689400525,3.920242038984854,3.8938999621721977,1.3191244239631295
2023-12-14,3.78776334564822,3.884011745604309,3.968156108350224,3.9414920728209686,1.3129800307219621
2023-12-15,3.7420274545372094,3.8371136894005247,3.9202420389848536,3.8938999621721972,1.3102918586789514
2023-12-18,3.7475462497756924,3.842772719168707,3.9260236676236864,3.8996427411420065,1.3049155145929299
2023-12-19,3.7629809542640604,3.8585996249313457,3.9421934520867166,3.91570387269531,1.3056835637480757
2023-12-20,3.7845895405477754,3.88075729299904,3.9648311503349585,3.9381894568699343,1.2937788018433138
2023-12-21,3.7444593088780196,3.8396073380161795,3.9227897107310805,3.896430514831346,1.3056835637480755
2023-12-22,3.755387486944286,3.8508132049339743,3.9342383448165803,3.9078022197896436,1.3079877112135134
2023-12-25,3.7599325852643397,3.8554737958022756,3.9389999040841346,3.912531783747029,1.31144393241167
2023-12-26,3.7813716546111986,3.877457639448076,3.9614600121275325,3.9348409710346632,1.3037634408602108
2023-12-27,3.786423524828154,3.8826378794655696,3.9667524783749384,3.940097874541036,1.3076036866359404
2023-12-28,3.770652947107914,3.8664665658140045,3.950230824670073,3.9236872381322043,1.3398617511520694
2023-12-29,3.760747306711033,3.8563092196077213,3.93985342675445,3.913379571169489,1.343701996927799
2024-01-02,3.769003344533346,3.8647750462573347,3.9485026595406065,3.9219706854129233,1.3260368663594426
2024-01-03,3.767064723010226,3.8627871636788913,3.946471710894465,3.9199533837316136,1.322196620583713
2024-01-04,3.759309239128412,3.854834610221607,3.9383468710007086,3.9118831387211435,1.310675883256524
2024-01-05,3.7594783683051745,3.8550080370302866,3.9385240549783296,3.9120591321105556,1.3041474654377836
2024-01-08,3.7245434056429936,3.8191853646692873,3.901925309800073,3.875706312297913,1.2860983102918544
2024-01-09,3.720923501882622,3.8154734778801105,3.8981330076133855,3.87193949249586,1.2891705069124382
2024-01-10,3.7134939081944505,3.807855095601006,3.8903495784796327,3.8642083641348832,1.2830261136712708
2024-01-11,3.846848606300045,3.944598383528094,4.0300553128605525,4.002975345461876,1.290322580645157
2024-01-12,3.85280809290934,3.9507093027899503,4.036298620858787,4.009176701535403,1.2860983102918546
2024-01-15,3.909423215697644,4.008763035777583,4.095610046842017,4.068089584233912,1.2845622119815627
2024-01-16,3.7991727134256825,3.895711029433245,3.980108848874673,3.953364496873657,1.2930107526881678
2024-01-17,3.7455373339420257,3.8407127560765404,3.92391907689056,3.8975522922119112,1.2642089093701956
