date,hs300_benchmark,base_pool,china_internet_risk,germany_risk,germany_defensive,china_internet_plus_germany_risk,china_internet_plus_germany_defensive
2024-05-13,0.9015706806282726,0.9702882136869475,1.03094253448354,1.0546635986135515,0.9748755302258629,1.120592364252906,1.0444345869341103
2024-05-14,0.9000000000000004,0.9673918309595239,1.0450136336803126,1.0515153490654514,0.9719654540162336,1.135887073501126,1.0586898360733383
2024-05-15,0.8931937172774873,0.9659425548082736,1.0468897802398822,1.0499400451717205,0.9705093259952354,1.1379263680675553,1.0605905359585688
2024-05-16,0.8963350785340316,0.9673923747779671,1.053456293198376,1.0515159401738545,0.9719660004057349,1.145063899050058,1.067242985556875
2024-05-17,0.9070680628272253,0.9724648441588253,1.0769081251929968,1.0570295069013578,0.9619195415594919,1.1705550811304242,1.0910017341222549
2024-05-20,0.9091623036649216,0.9811491813717785,1.0778461984727818,1.0664690262188024,0.9697332990024229,1.171574728413639,1.0919520840648702
2024-05-21,0.906020942408377,0.9768791060013448,1.048765926799452,1.061827628958683,0.9655129068800239,1.139965662633985,1.062491235843799
2024-05-22,0.9081151832460734,0.9791371334061443,1.0497040000792368,1.0642820123830314,0.9677446616488885,1.1409853099171996,1.0634415857864141
2024-05-23,0.8984293193717278,0.9659462859572232,1.0281283146441855,1.0499441007780062,0.9547072925554388,1.1175334224032627,1.0415835371062645
2024-05-24,0.8876963350785341,0.9650769342998617,1.0112429956080584,1.048999151087306,0.9435435140937164,1.0991797713053988,1.0244772381391907
2024-05-27,0.8955497382198954,0.9787099913643208,1.0271902413644005,1.0638177264558255,0.9549639255034963,1.1165137751200478,1.040633187163649
2024-05-28,0.8895287958115183,0.9816045545048038,1.0290663879239703,1.074929676341641,0.9577882589665684,1.1185530696864772,1.0425338870488794
2024-05-29,0.8897905759162305,0.9768853018389152,0.9962338231315009,1.0686919834601776,0.9531835077215367,1.0828654147739643,1.0092716390573473
2024-05-30,0.8861256544502619,0.9674467965071382,0.9868530903336525,1.0583664570499343,0.9439740052314735,1.0726689419418176,0.9997681396311953
2024-05-31,0.8824607329842933,0.961783693308072,0.9831007972145132,1.0521711412037884,0.9384483037374356,1.0685903528089589,0.9959667398607344
2024-06-03,0.8837696335078536,0.9674467965071383,1.000924189530425,1.0583664570499345,0.9439740052314736,1.087963651190037,1.014023388770423
2024-06-04,0.8903141361256546,0.9636713943744275,1.0056145559293492,1.0542362464858372,0.9402902042354483,1.0930618876061104,1.018775138483499
2024-06-05,0.886910994764398,0.9712221986398492,1.0028003360899946,1.062496667614032,0.9476578062274988,1.0900029457564664,1.0159240886556533
2024-06-06,0.886910994764398,0.9919869103697585,1.0232159475970397,1.0852128257165672,0.9679187117056378,1.1121938803635143,1.0366068813993339
2024-06-07,0.880890052356021,0.9919869103697585,1.0232159475970397,1.0852128257165672,0.9679187117056378,1.1121938803635143,1.0366068813993339
2024-06-11,0.87434554973822,0.9938746114361139,1.0251630759464156,1.0872779309986158,0.9697606122036504,1.114310329231951,1.0385794920204554
2024-06-12,0.8732984293193717,1.0023692662347132,1.0339251535186074,1.096570904767835,0.9780491644447075,1.1238343491399165,1.0474562398155023
2024-06-13,0.8698952879581151,1.0221901274314447,1.0543700011870543,1.1182545102293457,0.9973891196738399,1.1460570622585022,1.0681686513372777
2024-06-14,0.8751308900523559,1.0221901274314447,1.0543700011870543,1.1182545102293457,0.9973891196738399,1.1460570622585022,1.0681686513372777
2024-06-17,0.8725130890052356,1.0269093800973332,1.0592378220604943,1.1234172734344676,1.0019938709188716,1.1513481844295943,1.0731001778900815
2024-06-18,0.875392670157068,1.0401232875618212,1.0728677205061257,1.1378730104088082,1.0148871744049601,1.1661633265086517,1.086908452237932
2024-06-19,0.8727748691099475,1.0401232875618212,1.0728677205061257,1.1378730104088082,1.0148871744049601,1.1661633265086517,1.086908452237932
2024-06-20,0.8667539267015705,1.0457863907608873,1.0787091055542533,1.144068326254954,1.0204128758989979,1.172512673113962,1.0928262841012963
2024-06-21,0.8651832460732983,1.0325724832963996,1.065079207108622,1.1296125892806135,1.0075195724129096,1.1576975310349047,1.079018009753446
2024-06-24,0.8607329842931937,1.0287970811636888,1.06118495040987,1.1254823787165162,1.0038357714168842,1.1534646332980312,1.075072788511203
2024-06-25,0.8552356020942409,1.0165270242323787,1.0485286161389265,1.1120591943832,0.991863418179802,1.139707715653192,1.0622508194739133
2024-06-26,0.8607329842931937,1.0325724832963996,1.0650792071086217,1.1296125892806135,1.0075195724129093,1.1576975310349045,1.0790180097534459
2024-06-27,0.8557591623036649,1.0316286327632218,1.0641056429339337,1.128580036639589,1.006598622163903,1.156639306600686,1.078031704442885
2024-06-28,0.8575916230366492,1.0448425402277095,1.077735541379565,1.1430357736139296,1.0194919256499912,1.1714544486797431,1.0918399787907354
2024-07-01,0.8612565445026177,1.0429548391613541,1.0757884130301891,1.140970668331881,1.0176500251519787,1.1693379998113065,1.0898673681696138
2024-07-02,0.8599476439790575,1.0448425402277095,1.077735541379565,1.1430357736139296,1.0194919256499912,1.1714544486797431,1.0918399787907354
2024-07-03,0.8583769633507853,1.0674949530239743,1.101101081572076,1.1678170369985137,1.041594731626143,1.1968518351009843,1.1155113062441933
2024-07-04,0.8544502617801046,1.0712703551566851,1.104995338270828,1.1719472475626111,1.0452785326221683,1.2010847328378578,1.1194565274864363
2024-07-05,0.85,1.0797650099552845,1.1137574158430195,1.18124022133183,1.053567084863225,1.2106087527458231,1.128333275281483
2024-07-08,0.8437172774869109,1.0901473658202394,1.1244666217645871,1.1925983003830978,1.0636975376022948,1.2222492215222256,1.1391826336976514
2024-07-09,0.8534031413612565,1.0948666184861278,1.1293344426380267,1.1977610635882194,1.0683022888473264,1.2275403436933174,1.144114160250455
2024-07-10,0.8513089005235602,1.0863719636875286,1.1205723650658352,1.1884680898190005,1.0600137366062696,1.2180163237853523,1.1352374124554085
2024-07-11,0.8633507853403141,1.0995858711520166,1.1342022635114666,1.202923826793341,1.0729070400923582,1.2328314658644097,1.149045686803259
2024-07-12,0.8659685863874345,1.0590002982253757,1.0923390039998846,1.158524063229295,1.0333061793850866,1.1873278151930196,1.1066345584491473
2024-07-15,0.8678010471204186,1.0892035152870618,1.123493057589899,1.1915657477420734,1.0627765873532886,1.2211909970880075,1.1381963283870906
2024-07-24,0.8554973821989527,1.0306847822300447,1.063132078759246,1.1275474839985653,1.0056776719148972,1.1555810821664683,1.077045399132325
2024-07-25,0.8502617801047119,1.0089547521807065,1.0407179591213591,1.1037752879481575,0.9844748692661806,1.1312178509702213,1.0543379435734992
2024-07-26,0.8541884816753926,1.0124397845516704,1.0443127048408698,1.1075878400972556,0.9878753456308319,1.1351251925241639,1.057979734105084
2024-07-29,0.8489528795811518,1.018041320555919,1.050090584478868,1.113715802726579,0.9933409737113316,1.1414055113463537,1.0638332294563946
2024-07-30,0.8429319371727749,1.019099614856107,1.0511821952590947,1.1148735544427975,0.9806016176546666,1.1425920476120934,1.0501898273884
2024-07-31,0.8630890052356022,1.0254477325904718,1.0577301599904083,1.1218182617897159,0.9859205578996073,1.1497094174303668,1.0558862252294352
2024-08-01,0.8565445026178011,1.0116615193625071,1.043509938852038,1.1067364343415351,0.9726657516281051,1.134252618731467,1.0416907941188598
2024-08-02,0.8471204188481677,1.0144398963454277,1.0463757827534472,1.1097759203519073,0.9753370325700763,1.1373676738248808,1.044551642011467
2024-08-05,0.836910994764398,0.9887266367558921,1.01985303633242,1.0816461549227019,0.9506149229644599,1.108538533378844,1.0180751325381343
2024-08-06,0.836910994764398,0.9874424069205815,1.018528377272776,1.080241234480831,0.9493801953859979,1.1070986831662235,1.0167527827488305
2024-08-07,0.8350785340314137,0.9910844696972241,1.022285096919229,1.0842255745925409,0.9528818702647184,1.111182083753205,1.0205029533280399
2024-08-08,0.8361256544502619,0.9905289290751964,1.0217120671563817,1.083617824830998,0.9523477436558255,1.110559223840787,1.019930922524605
2024-08-09,0.8329842931937174,0.9992323988202952,1.0306895334409862,1.0931392377618367,0.9607157271951456,1.1203173624686646,1.0288927384450866
2024-08-12,0.8319371727748692,1.006824787321339,1.0385209401998967,1.1014451511695897,0.9680154575166804,1.1288297812717067,1.0367104927586983
2024-08-13,0.8332460732984295,1.0136764549930126,1.0440704163766024,1.1089407315619522,0.974603019026358,1.134861834874321,1.0422502945662553
2024-08-14,0.8269633507853404,1.010343211260847,1.0413238665052427,1.1052942329926947,0.9713982593730014,1.1318764475118455,1.0395085327391171
2024-08-15,0.8369109947643981,1.0079358685653939,1.0393389383139569,1.1026606506926753,0.9690837107344659,1.1297189117614561,1.0375270648614618
2024-08-16,0.8374345549738222,1.0097876706388191,1.0411443099582847,1.1046864832311516,0.9708641327641085,1.1316812768900673,1.0393292892120305
2024-08-19,0.8397905759162306,1.0185744529592016,1.0502039456437953,1.1142990383678966,0.9793122174905424,1.1415287302955883,1.0483731312879854
2024-08-20,0.835602094240838,1.0184725955139056,1.0502039456437953,1.1141876084640598,0.9792142862687934,1.1415287302955883,1.0483731312879854
2024-08-21,0.8316753926701573,1.0229063597606558,1.0538614670942508,1.1190380533403772,0.9834771454870868,1.145504306501225,1.0520242766028283
2024-08-22,0.829319371727749,1.020319997283385,1.051091716646789,1.1162086271625253,0.980990477609749,1.1424937010615468,1.049259354645016
2024-08-23,0.8329842931937176,1.0168099339213743,1.0474757936671966,1.1130253650729836,0.9776157140619335,1.139235477824754,1.0456497352826666
2024-08-26,0.8332460732984297,1.023091099937604,1.0539463926833095,1.1197888950448776,0.9836547646211825,1.1461582789945255,1.0521090541416076
2024-08-27,0.8287958115183249,1.0223976813782334,1.053232061389339,1.1190299378000648,0.9829880747537375,1.1453814494212065,1.0513959681371765
2024-08-28,0.8235602094240843,1.0211870620203485,1.0519849310944578,1.1177048963514893,0.9818241202441158,1.1440252051924809,1.0501510119571964
2024-08-29,0.8209424083769639,1.0221193274824822,1.0529453126488462,1.1187252751934076,0.9776269568631499,1.1450696124575919,1.0456617604904723
2024-08-30,0.8327225130890058,1.0201988142022984,1.0509668788183948,1.1166232439626917,0.9750094105830983,1.1429180814784483,1.0428620544961262
2024-09-02,0.8170157068062832,1.0156169723710384,1.0462468537197536,1.1116083478289946,0.9706305200755899,1.137785091905709,1.0381784291879943
2024-09-03,0.8201570680628276,1.0170966547201494,1.0477711616472274,1.113227882846775,0.9720446603343051,1.1394427645946994,1.0396909819895794
2024-09-04,0.8146596858638747,1.0114759060738137,1.0419808974563392,1.1070758872753257,0.9494254611574128,1.1331458985624,1.015497672398276
2024-09-05,0.816492146596859,1.0185948967919825,1.0493145890380737,1.1148677317656346,0.9553427644681541,1.1411212295473063,1.021826771400537
2024-09-06,0.8091623036649218,1.0213718730645889,1.052175315834797,1.117187556322867,0.9564472506713919,1.1434956825659535,1.023008120768624
2024-09-09,0.7984293193717281,1.0153461122506604,1.0459678247585873,1.1107075849974488,0.9475638812111397,1.1368631174323462,1.0135065417832205
2024-09-10,0.7984293193717281,1.0104912273201492,1.040966521883685,1.1053967284810873,0.9430330975186789,1.13142719804458,1.008660452772478
2024-09-11,0.7965968586387437,1.0144323007496348,1.0450264537163045,1.109707948170951,0.9467110737180496,1.135839940626657,1.0125943858956157
2024-09-12,0.7937172774869112,1.0119099702962868,1.0424280525742915,1.1199104671638287,0.9535803319864111,1.1462827139583367,1.019941688098908
2024-09-13,0.7897905759162307,1.0157412740778184,1.046374904228133,1.124038167187737,0.957190787500417,1.1505076152558433,1.0238034016517559
2024-09-18,0.792408376963351,1.0062179254402945,1.0365643419591462,1.113499452633944,0.9482163943014513,1.1397207294515275,1.014204464423312
2024-09-19,0.7994764397905761,1.004021858854374,1.034302044440905,1.119491328325832,0.9522040311979179,1.1458537050162552,1.018469608083768
2024-09-20,0.8018324607329845,1.0130580555840634,1.0436107628408733,1.118701842198663,0.9516668215893437,1.1450456276502354,1.0178950131003641
2024-09-23,0.8041884816753929,1.0199274586097438,1.0506873394421605,1.1115964670541407,0.946831252700534,1.137772931356056,1.012722928347843
2024-09-24,0.841884816753927,1.017927250671304,1.048626807450959,1.1084180096526997,0.9442184162358938,1.1345196259507127,1.0099282599333632
2024-09-25,0.854188481675393,1.024073765929,1.0549586947910177,1.115110932161398,0.949919857962858,1.1413701569552248,1.0160264751592205
2024-09-26,0.8976439790575919,1.0684995610151062,1.1007243225791443,1.1634860506525337,0.9911287497068995,1.190884438442839,1.0601031671800683
2024-09-27,0.9575916230366495,1.1917879719014648,1.1536102865430633,1.2977344411124416,1.1054897592884647,1.2481022814619762,1.1110374263287663
2024-09-30,1.0528795811518323,1.4298621446475361,1.3826739433327333,1.556972712345367,1.3263248122735563,1.4959284979704384,1.3316477127259922
2024-10-08,1.099738219895288,1.4865184694343778,1.4374605004151806,1.6186656188993995,1.3788786123852033,1.5552026113219724,1.3844124254616081
2024-10-09,0.997643979057592,1.44036397360388,1.3928291917317694,1.5684081232176343,1.3360661963441762,1.506915560797029,1.341428191607474
2024-10-10,1.0143979057591628,1.3919356421371258,1.3459990883621418,1.5156746545539546,1.2911445947185891,1.4562496127394042,1.2963263074361602
2024-10-11,0.9858638743455501,1.3173425288577856,1.27386769131139,1.4344504314079896,1.221952821695247,1.3782099469404272,1.2268568491003498
2024-10-14,1.0023560209424087,1.3553427941132985,1.310613874714603,1.475828809237066,1.2572014607826099,1.4179660031021701,1.2622469505167058
2024-10-15,0.9738219895287962,1.3088980254676716,1.2657018727773426,1.4252552363348614,1.2141197907869443,1.3693752677933733,1.2189923821189372
2024-10-16,0.9672774869109951,1.2751200119072155,1.233038598641153,1.3884744560423488,1.1827876671537327,1.334036551205157,1.1875345141932871
2024-10-17,0.9560209424083772,1.272305177443844,1.2303166591298038,1.3854093910179728,1.180176656850965,1.331091658156139,1.184913025199483
2024-10-18,0.9960732984293197,1.3848985559786975,1.3391942395837686,1.5080119919930146,1.2846170689616698,1.4488873801168591,1.2897725849516495
2024-10-21,0.9960732984293197,1.3891208076737547,1.3432771488507924,1.5126095895295788,1.2885335844158214,1.4533047196903863,1.2937048184423559
2024-10-22,1.0023560209424087,1.3947504766004974,1.3487210278734907,1.518739719578331,1.2937556050213568,1.4591945057884224,1.2989477964299643
2024-10-23,1.0062827225130893,1.3834911387470121,1.3378332698280941,1.5064794594808268,1.2833115638102863,1.4474149335923503,1.2884618404547477
2024-10-24,0.9947643979057594,1.3637872975034127,1.3187796932486502,1.4850240043101945,1.2650344916909129,1.4268006822492243,1.2701114174981185
2024-10-25,1.0023560209424087,1.4088246489173541,1.3623307254302361,1.5340650447002113,1.306810656535195,1.4739189710335123,1.3120552413989852
2024-10-28,1.003926701570681,1.3989727282955546,1.3528039371405143,1.5233373171148954,1.2976721204755084,1.4636118453619495,1.3028800299206709
2024-10-29,0.9952879581151836,1.3637872975034129,1.3187796932486502,1.4850240043101948,1.265034491690913,1.4268006822492245,1.2701114174981187
2024-10-30,0.9842931937172779,1.3483057079548706,1.30380902593623,1.4681661466761264,1.2506739350256912,1.4106037704796255,1.2556932280321957
2024-10-31,0.9842931937172779,1.35815762857667,1.313335814225952,1.4788938742614426,1.2598124710853777,1.4209108961511885,1.2648684395105103
2024-11-01,0.9863874345549742,1.3342315356380137,1.2901993283794844,1.452840821554246,1.237618883511853,1.3958793052345353,1.2425857830631748
2024-11-04,1.0002617801047125,1.3736392181252124,1.3283064815383723,1.495751731895511,1.2741730277505998,1.4371078079207875,1.2792866289764333
2024-11-05,1.0277486910994766,1.446824914172867,1.3990769088334496,1.5754434225292882,1.342059295622558,1.5136750271952557,1.3474453428153417
2024-11-06,1.0209424083769636,1.4228988212342104,1.3759404229869818,1.5493903698220914,1.319865708049033,1.4886434362786023,1.325162686368006
2024-11-07,1.0568062827225133,1.4820103449650086,1.4331011527253135,1.6137567353339886,1.3746969244071532,1.5504861903079805,1.3802139552378936
2024-11-08,1.0426701570680632,1.459491669258038,1.4113256366345204,1.5892362151389803,1.3538088419850123,1.5269270459158364,1.3592420432874603
