total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,trade_count,trade_action_count,avg_exposure,latest_momentum,latest_exposure,max_drawdown_integral,max_drawdown_episode_integral,full_history_drawdown_integral,worst_drawdown_episode_integral,latest_holding_code,latest_holding_theme,latest_holding_name,latest_portfolio,pool,change_kind,start_date,risk_codes,defensive_codes,annualized_diff,sharpe_diff,max_drawdown_integral_diff,mdd_diff,trade_diff,is_valid_change
2.452172590770012,0.49360606629936643,0.2710639919984328,1.8209946022717038,-0.20966745851374347,245,421,0.8833101604278073,0.12676767676767664,0.8,37.04946560720723,9.317458205042403,37.04946560720723,9.317458205042403,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,plus_treasury30_511090,add,2023-06-13,"510300,159949,159954,159941,513880","518880,512890,159985,511090",0.17462185642793515,0.5607907976649977,-73.31040749752785,0.0,-250,False
5.329277947519949,0.34219074582998954,0.24811152246712956,1.3791811941153351,-0.20966745851374347,487,853,0.9096328947368422,0.12676767676767664,0.8,109.28321421988555,9.298551621147226,109.28321421988555,9.298551621147226,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,plus_convertible_511380,add,2020-04-07,"510300,159949,159954,159941,513880","518880,512890,159985,511380",0.02320653595855826,0.11897738950862902,-1.0766588848495218,0.0,-8,False
4.668750097148527,0.300188479048378,0.2545480370784552,1.1792999171934522,-0.2096674585137437,495,886,0.907285,0.12676767676767664,0.8,100.97170817991345,9.298551621147231,100.97170817991345,9.298551621147231,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,drop_hshares_159954,drop,2019-12-05,"510300,159949,159941,513880","518880,512890,159985",-0.018795730823053303,-0.08090388741325394,-9.388164924821623,-2.220446049250313e-16,0,False
3.7747122564452953,0.2668582699715041,0.2505344110985352,1.0651561548028174,-0.204943204882011,517,923,0.9070325,0.12676767676767664,1.0,121.01280989573654,34.62961403294821,121.01280989573654,34.62961403294821,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 100%,drop_nikkei_513880,drop,2019-12-05,"510300,159949,159954,159941","518880,512890,159985",-0.0521259398999272,-0.19504764980388867,10.652936791001466,0.004724253631732456,22,False
1.9260586599212233,0.17638885517568093,0.2201537674897977,0.8012075250261392,-0.2331707033145639,488,860,0.9065337500000001,0.12676767676767664,0.8,135.1038273069634,27.075043184240275,135.1038273069634,27.075043184240275,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,drop_cyb50_159949,drop,2019-12-05,"510300,159954,159941,513880","518880,512890,159985",-0.14259535469575035,-0.4589962795805669,24.743954202228338,-0.023503244800820444,-7,False
4.638418148140355,0.2991334594873516,0.25088671472691876,1.1923049006917232,-0.26440912563354735,477,831,0.8906408494690818,0.12676767676767664,0.8,131.93472817757987,79.65165520775918,131.93472817757987,79.65165520775918,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,drop_divlow_512890,drop,2019-12-05,"510300,159949,159954,159941,513880","518880,159985",-0.019850750384079685,-0.06789890391498288,21.574855072844798,-0.05474166711980388,-18,False
3.8723708173965434,0.2707451891890682,0.2661756229122827,1.0171674859883446,-0.2657179256142793,524,936,0.91315125,0.12676767676767664,0.8,171.38692669522771,100.82340150662343,171.38692669522771,100.82340150662343,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,replace_513650_resource,replace,2019-12-05,"510300,159949,159954,159941,513880,510410","518880,512890,159985",-0.048239020682363076,-0.2430363186183615,61.02705359049264,-0.05605046710053585,29,False
5.157508696153747,0.31656055847317033,0.2756046135196203,1.1486039889917676,-0.26734232939242164,495,895,0.9152225,0.12676767676767664,0.8,134.3654648500829,22.01758320878544,134.3654648500829,22.01758320878544,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,replace_513650_energy,replace,2019-12-05,"510300,159949,159954,159941,513880,159930","518880,512890,159985",-0.002423651398260951,-0.11159981561493848,24.00559174534783,-0.057674870878678175,0,False
4.279996644499265,0.2862873632587257,0.25252124772056445,1.1337159381357338,-0.20966745851374313,528,923,0.9007225,0.12676767676767664,0.8,105.12046363631245,9.298551621147194,105.12046363631245,9.298551621147194,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 80%,replace_513650_hshares,replace,2019-12-05,"510300,159949,159954,159941,513880,510900","518880,512890,159985",-0.032696846612705555,-0.12648786647097232,-5.239409468422622,3.3306690738754696e-16,33,False
2.9567061407329613,0.23134435388314745,0.2546882418663879,0.9083432834897541,-0.20744167801764735,506,906,0.9050644152595372,0.12676767676767664,1.0,115.67854487454316,36.26500736302033,115.67854487454316,36.26500736302033,159985,豆粕,豆粕ETF,豆粕 / 豆粕ETF (159985) 100%,replace_513880_germany,replace,2019-12-05,"510300,159949,159954,159941,513030","518880,512890,159985",-0.08763985598828383,-0.351860521116952,5.318671769808091,0.002225780496096119,11,False
