date,nav,strategy_return,current_momentum,signal,holding,exposure,trade_cost_rate,turnover,drawdown,weight_510300,weight_159949,weight_159954,weight_159941,weight_513880,weight_518880,weight_512890,weight_159985,weight_511580,weight_511260,weight_CASH,effective_momentum,signal_risk_winner,signal_defensive_winner,top2_close_risk_cap_triggered,stress_bond_trigger,weak_market_trigger,target_weight_510300,target_weight_159949,target_weight_159954,target_weight_159941,target_weight_513880,target_weight_518880,target_weight_512890,target_weight_159985,target_weight_511580,target_weight_511260,target_weight_CASH
2025-04-03,1.2913296176658806,0.008322663252240625,0.09272951324707335,518880,518880,1.0,0.0,0.0,-0.14162914704258067,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.09999999999999998,-0.02655520039341064,510300,518880,False,False,False,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.09999999999999998
2025-04-07,1.2557789164634352,-0.02753030730194539,0.06719428926132842,518880,518880,1.0,0.0,0.0,-0.16526036040353143,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.09999999999999998,-0.0748622934401606,510300,518880,False,False,False,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.09999999999999998
2025-04-08,1.2636674796728606,0.00628180892831165,0.07347698031312988,518880,518880,1.0,0.0,0.0,-0.16001668548269876,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.09999999999999998,-0.06304948505400665,510300,518880,False,False,False,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.09999999999999998
2025-04-09,1.2779555899484396,0.01130685920577612,0.07893522080320059,518880,518880,1.0,0.0,0.0,-0.1505191124102505,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.09999999999999998,-0.053055066633140524,510300,518880,False,False,False,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.09999999999999998
2025-04-10,1.302887752627411,0.01950941243582438,0.09424163739117164,518880,518880,1.0,0.0,0.0,-0.13394623941791195,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.09999999999999998,-0.04131196795192804,510300,518880,False,False,False,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.09999999999999998
2025-04-11,1.3207288035113791,0.013693467336683307,0.11293037490436109,518880,518880,1.0,0.0,0.0,-0.12208696053556933,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.09999999999999998,-0.05161768337861239,510300,518880,False,False,False,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.09999999999999998
2025-04-14,1.329554242786871,0.006682249415646879,0.12273980999080614,518880,518880,1.0,0.0,0.0,-0.11622052664061944,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.09999999999999998,-0.047288932904184455,510300,518880,False,False,False,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.09999999999999998
2025-04-15,1.3292276155674063,-0.0002456667121605305,0.1193459657701712,518880,518880,1.0,0.0,0.0,-0.11643764183811467,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.09999999999999998,-0.042754163559532876,510300,518880,False,False,False,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.09999999999999998
2025-04-16,1.3582982318150374,0.02187030716723548,0.15342044581091474,518880,518880,1.0,0.0,0.0,-0.09711386166370739,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.09999999999999998,-0.04337050805452314,510300,518880,False,False,False,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.09999999999999998
2025-04-17,1.3683999299804752,0.0074370251899240625,0.1592093165798345,518880,518880,1.0,0.0,0.0,-0.09039907470926711,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.09999999999999998,-0.024074074074074137,159941,518880,False,False,False,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.09999999999999998
