date,nav,strategy_return,current_momentum,signal,holding,exposure,trade_cost_rate,turnover,drawdown,holding_for_return,exposure_for_return,weight_510300,weight_159949,weight_159954,weight_159941,weight_518880,weight_513880,weight_512890,weight_159985,weight_511260,return_weight_510300,return_weight_159949,return_weight_159954,return_weight_159941,return_weight_518880,return_weight_513880,return_weight_512890,return_weight_159985,return_weight_511260,effective_momentum,signal_asset_momentum,base_target_exposure,weak_market_trigger,top2_close_risk_cap_triggered,top2_close_gap,top2_close_risk_cap,target_exposure,stress_bond_trigger,target_weight_510300,target_weight_159949,target_weight_159954,target_weight_159941,target_weight_518880,target_weight_513880,target_weight_512890,target_weight_159985,target_weight_511260
2018-10-31,1.7914854985456266,-0.008372770294867049,0.029478458049886802,518880,518880,1.0,0.0,0.0,-0.0663337267529146,518880,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.029478458049886802,0.029478458049886802,1.0,False,False,0.005,0.7,1.0,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-11-01,1.7954315018463878,0.0022026431718060735,0.0309667673716012,518880,518880,1.0,0.0,0.0,-0.06427719311140123,518880,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0309667673716012,0.0309667673716012,1.0,False,False,0.005,0.7,1.0,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-11-02,1.7960891690631813,0.000366300366300365,0.030177291588080024,518880,518880,1.0,0.0,0.0,-0.06393443750448236,518880,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.030177291588080024,0.030177291588080024,1.0,False,False,0.005,0.7,1.0,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-11-05,1.7967468362799752,0.0003661662394729426,0.028227324049680202,518880,518880,1.0,0.0,0.0,-0.06359168189756326,518880,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.028227324049680202,0.028227324049680202,1.0,False,False,0.005,0.7,1.0,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-11-06,1.7980621707135622,0.0007320644216690653,0.03208758021895064,518880,518880,1.0,0.0,0.0,-0.0629061706837255,518880,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03208758021895064,0.03208758021895064,1.0,False,False,0.005,0.7,1.0,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-11-07,1.7987198379303555,0.00036576444769553795,0.030908405578590203,518880,518880,1.0,0.0,0.0,-0.06256341507680674,518880,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.030908405578590203,0.030908405578590203,1.0,False,False,0.005,0.7,1.0,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-11-08,1.7914854985456266,-0.004021937842778711,0.031037093111279557,518880,518880,1.0,0.0,0.0,-0.0663337267529146,518880,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.031037093111279557,0.031037093111279557,1.0,False,False,0.005,0.7,1.0,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-11-09,1.787539495244865,-0.0022026431718062955,0.03621807091117035,518880,518880,1.0,0.0,0.0,-0.06839026039442808,518880,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03621807091117035,0.03621807091117035,1.0,False,False,0.005,0.7,1.0,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-11-12,1.7742087122939032,-0.007457615894039704,0.015813253012048056,518880,518880,0.8,9.999999999999998e-05,0.19999999999999996,-0.07533784799555276,518880,1.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.012711864406779627,0.015813253012048056,1.0,False,False,0.005,0.7,0.8,False,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
2018-11-13,1.7694739818533858,-0.002668643439584839,0.013951734539969785,518880,518880,0.8,0.0,0.0,-0.07780544158133185,518880,0.8,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.03534303534303529,0.013951734539969785,0.8,False,False,0.005,0.7,0.8,False,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
2018-11-14,1.7689475485378474,-0.0002975083674228163,0.013574660633484115,518880,518880,0.8,0.0,0.0,-0.07807980217885324,518880,0.8,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.03125,0.013574660633484115,0.8,False,False,0.005,0.7,0.8,False,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
2018-11-15,1.775245475635878,0.003560267857142696,0.13288288288288297,159949,159949,1.0,0.0009000000000000001,1.8,-0.07479751933169998,518880,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.13288288288288297,0.13288288288288297,0.8,False,False,0.005,0.7,1.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-16,1.7717161605749716,-0.001988071570576566,0.12304250559284124,159949,159949,1.0,0.0,0.0,-0.07663688808054359,159949,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12304250559284124,0.12304250559284124,1.0,False,False,0.005,0.7,1.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-19,1.7646575304531589,-0.003984063745019917,0.13636363636363646,159949,159949,1.0,0.0,0.0,-0.08031562557823069,159949,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363646,0.13636363636363646,1.0,False,False,0.005,0.7,1.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-20,1.7081884894786576,-0.03200000000000003,0.1282051282051282,159949,159949,1.0,0.0,0.0,-0.10974552555972739,159949,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1282051282051282,0.1282051282051282,1.0,False,False,0.005,0.7,1.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-21,1.7187764346613768,0.006198347107438051,0.11954022988505741,159949,159949,1.0,0.0,0.0,-0.10422741931319668,159949,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11954022988505741,0.11954022988505741,1.0,False,False,0.005,0.7,1.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-22,1.7046591744177515,-0.008213552361396315,0.13114754098360648,159949,159949,1.0,0.0,0.0,-0.11158489430857088,159949,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13114754098360648,0.13114754098360648,1.0,False,False,0.005,0.7,1.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-23,1.6326022076137456,-0.042270600414078596,-0.001097293343087058,518880,518880,0.8,0.0009000000000000001,1.8,-0.14913873424308466,159949,1.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040449438202247334,-0.001097293343087058,1.0,False,False,0.005,0.7,0.8,False,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
2018-11-26,1.6300369597246445,-0.001571263273526191,,,,0.0,0.0004,0.8,-0.15047566130083445,518880,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.001098901098901095,,0.8,False,False,0.005,0.7,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-27,1.6293849449407547,-0.00039999999999995595,-0.008017492711370311,518880,518880,0.8,0.0004,0.8,-0.1508154710363141,,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029032258064515926,-0.008017492711370311,0.0,False,False,0.005,0.7,0.8,False,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
2018-11-28,1.6236383999475765,-0.00352681851579717,-0.012750455373406244,518880,518880,0.8,0.0,0.0,-0.1538103907563917,518880,0.8,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.03711790393013081,-0.012750455373406244,0.8,False,False,0.005,0.7,0.8,False,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
2018-11-29,1.6337037597701296,0.006199261992619887,-0.010148604566872055,518880,518880,0.8,0.0,0.0,-0.14856463967325795,518880,0.8,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.046637744034706996,-0.010148604566872055,0.8,False,False,0.005,0.7,0.8,False,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
2018-11-30,1.6327115614068821,-0.0006073306481140239,0.05369127516778516,159949,159949,1.0,0.0009000000000000001,1.8,-0.1490817424624724,518880,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.05369127516778516,0.05369127516778516,0.8,False,False,0.005,0.7,1.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-03,1.6936673396336868,0.03733407643312092,0.08552631578947367,159954,159954,0.7,0.00085,1.7,-0.11731349519722833,159949,1.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08552631578947367,0.08552631578947367,1.0,False,True,0.005,0.7,0.7,False,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-04,1.6840869991266678,-0.005656565656565693,0.0732240437158469,159954,159954,0.7,0.0,0.0,-0.12230646936580969,159954,0.7,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0732240437158469,0.0732240437158469,0.7,False,True,0.005,0.7,0.7,False,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-05,1.6718604846391028,-0.0072600254582485535,0.07505518763796903,159949,159949,1.0,0.00085,1.7,-0.12867854674275403,159954,0.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.07505518763796903,0.07505518763796903,0.7,False,False,0.005,0.7,1.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
