Date of Data,Code,Company Name,Nikkei Industrial Classification,Sector,Weight
"2026/06/30","4061","DENKA CO., LTD.","Chemicals","Materials","0.0415%"
"2026/06/30","4062","IBIDEN CO., LTD.","Electric Machinery","Technology","2.2789%"
"2026/06/30","4063","SHIN-ETSU CHEMICAL CO., LTD.","Chemicals","Materials","1.6765%"
"2026/06/30","4151","KYOWA KIRIN CO., LTD.","Pharmaceuticals","Technology","0.1238%"
"2026/06/30","4183","MITSUI CHEMICALS, INC.","Chemicals","Materials","0.0408%"
"2026/06/30","4188","MITSUBISHI CHEMICAL GROUP CORP.","Chemicals","Materials","0.0270%"
"2026/06/30","4208","UBE CORP.","Chemicals","Materials","0.0152%"
"2026/06/30","4307","NOMURA RESEARCH INSTITUTE, LTD.","Services","Consumer Goods","0.2197%"
"2026/06/30","4324","DENTSU GROUP INC.","Services","Consumer Goods","0.1482%"
"2026/06/30","4385","MERCARI, INC.","Services","Consumer Goods","0.1957%"
"2026/06/30","4452","KAO CORP.","Chemicals","Materials","0.3084%"
"2026/06/30","4502","TAKEDA PHARMACEUTICAL CO., LTD.","Pharmaceuticals","Technology","0.2466%"
"2026/06/30","4503","ASTELLAS PHARMA INC.","Pharmaceuticals","Technology","0.5203%"
"2026/06/30","4506","SUMITOMO PHARMA CO., LTD.","Pharmaceuticals","Technology","0.0718%"
"2026/06/30","4507","SHIONOGI & CO., LTD.","Pharmaceuticals","Technology","0.4003%"
"2026/06/30","4519","CHUGAI PHARMACEUTICAL CO., LTD.","Pharmaceuticals","Technology","1.0814%"
"2026/06/30","4523","EISAI CO., LTD.","Pharmaceuticals","Technology","0.1971%"
"2026/06/30","4543","TERUMO CORP.","Precision Instruments","Technology","0.8551%"
"2026/06/30","4568","DAIICHI SANKYO CO., LTD.","Pharmaceuticals","Technology","0.3744%"
"2026/06/30","4578","OTSUKA HOLDINGS CO., LTD.","Pharmaceuticals","Technology","0.5170%"
"2026/06/30","4661","ORIENTAL LAND CO., LTD.","Services","Consumer Goods","0.1191%"
"2026/06/30","4689","LY CORP.","Services","Consumer Goods","0.0083%"
"2026/06/30","4704","TREND MICRO INC.","Services","Consumer Goods","0.2862%"
"2026/06/30","4751","CYBERAGENT, INC.","Services","Consumer Goods","0.0521%"
"2026/06/30","4755","RAKUTEN GROUP, INC.","Services","Consumer Goods","0.0360%"
"2026/06/30","4901","FUJIFILM HOLDINGS CORP.","Chemicals","Materials","0.4999%"
"2026/06/30","4902","KONICA MINOLTA, INC.","Precision Instruments","Technology","0.0263%"
"2026/06/30","4911","SHISEIDO CO., LTD.","Chemicals","Materials","0.1253%"
"2026/06/30","5019","IDEMITSU KOSAN CO., LTD.","Petroleum","Materials","0.1146%"
"2026/06/30","5020","ENEOS HOLDINGS, INC.","Petroleum","Materials","0.0573%"
"2026/06/30","5101","THE YOKOHAMA RUBBER CO., LTD.","Rubber","Materials","0.1733%"
"2026/06/30","5108","BRIDGESTONE CORP.","Rubber","Materials","0.3263%"
"2026/06/30","5201","AGC INC.","Glass & Ceramics","Materials","0.0666%"
"2026/06/30","5214","NIPPON ELECTRIC GLASS CO., LTD.","Glass & Ceramics","Materials","0.0940%"
"2026/06/30","5233","TAIHEIYO CEMENT CORP.","Glass & Ceramics","Materials","0.0190%"
"2026/06/30","5301","TOKAI CARBON CO., LTD.","Glass & Ceramics","Materials","0.0820%"
"2026/06/30","5332","TOTO LTD.","Glass & Ceramics","Materials","0.2060%"
"2026/06/30","5333","NGK CORP.","Glass & Ceramics","Materials","0.3604%"
"2026/06/30","5401","NIPPON STEEL CORP.","Steel","Materials","0.0128%"
"2026/06/30","5406","KOBE STEEL, LTD.","Steel","Materials","0.0090%"
"2026/06/30","5411","JFE HOLDINGS, INC.","Steel","Materials","0.0075%"
"2026/06/30","543A","ARCHION CORP.","Automobiles & Auto parts","Technology","0.0138%"
"2026/06/30","5631","THE JAPAN STEEL WORKS, LTD.","Machinery","Capital Goods/Others","0.0735%"
"2026/06/30","5706","MITSUI KINZOKU CO., LTD.","Nonferrous Metals","Materials","0.2036%"
"2026/06/30","5711","MITSUBISHI MATERIALS CORP.","Nonferrous Metals","Materials","0.0206%"
"2026/06/30","5713","SUMITOMO METAL MINING CO., LTD.","Nonferrous Metals","Materials","0.1787%"
"2026/06/30","5714","DOWA HOLDINGS CO., LTD.","Nonferrous Metals","Materials","0.0829%"
"2026/06/30","5801","FURUKAWA ELECTRIC CO., LTD.","Nonferrous Metals","Materials","0.2263%"
"2026/06/30","5802","SUMITOMO ELECTRIC IND., LTD.","Nonferrous Metals","Materials","0.5602%"
"2026/06/30","5803","FUJIKURA LTD.","Nonferrous Metals","Materials","1.7908%"
"2026/06/30","5831","SHIZUOKA FINANCIAL GROUP, INC.","Banking","Financials","0.1447%"
"2026/06/30","6098","RECRUIT HOLDINGS CO., LTD.","Services","Consumer Goods","1.6263%"
"2026/06/30","6103","OKUMA CORP.","Machinery","Capital Goods/Others","0.0885%"
"2026/06/30","6113","AMADA CO., LTD.","Machinery","Capital Goods/Others","0.1412%"
"2026/06/30","6146","DISCO CORP.","Precision Instruments","Technology","0.7776%"
"2026/06/30","6178","JAPAN POST HOLDINGS CO., LTD.","Services","Consumer Goods","0.1038%"
"2026/06/30","6273","SMC CORP.","Machinery","Capital Goods/Others","0.3410%"
"2026/06/30","6301","KOMATSU LTD.","Machinery","Capital Goods/Others","0.3006%"
"2026/06/30","6302","SUMITOMO HEAVY IND., LTD.","Machinery","Capital Goods/Others","0.0484%"
"2026/06/30","6305","HITACHI CONST. MACH. CO., LTD.","Machinery","Capital Goods/Others","0.2514%"
"2026/06/30","6326","KUBOTA CORP.","Machinery","Capital Goods/Others","0.1285%"
"2026/06/30","6361","EBARA CORP.","Machinery","Capital Goods/Others","0.2993%"
"2026/06/30","6367","DAIKIN INDUSTRIES, LTD.","Machinery","Capital Goods/Others","1.1811%"
"2026/06/30","6471","NSK LTD.","Machinery","Capital Goods/Others","0.0544%"
"2026/06/30","6472","NTN CORP.","Machinery","Capital Goods/Others","0.0190%"
"2026/06/30","6473","JTEKT CORP.","Machinery","Capital Goods/Others","0.0953%"
"2026/06/30","6479","MINEBEA MITSUMI INC.","Electric Machinery","Technology","0.2276%"
"2026/06/30","6501","HITACHI, LTD.","Electric Machinery","Technology","0.2139%"
"2026/06/30","6503","MITSUBISHI ELECTRIC CORP.","Electric Machinery","Technology","0.2811%"
"2026/06/30","6504","FUJI ELECTRIC CO., LTD.","Electric Machinery","Technology","0.1293%"
"2026/06/30","6506","YASKAWA ELECTRIC CORP.","Electric Machinery","Technology","0.3362%"
"2026/06/30","6526","SOCIONEXT INC.","Electric Machinery","Technology","0.1221%"
"2026/06/30","6532","BAYCURRENT, INC.","Services","Consumer Goods","0.2888%"
"2026/06/30","6645","OMRON CORP.","Electric Machinery","Technology","0.2775%"
